activity_id,week,location_id,co_share_group
A001,21,PLAT:BET:S15:EB,g1
A001,21,PLAT:BET:S16:EB,g1
A001,21,PLAT:BET:S17:EB,g1
A001,21,SEC:BET:S15_S16:EB,g1
A001,21,SEC:BET:S16_S17:EB,g1
A001,23,PLAT:BET:S15:EB,g1
A001,23,PLAT:BET:S16:EB,g1
A001,23,PLAT:BET:S17:EB,g1
A001,23,SEC:BET:S15_S16:EB,g1
A001,23,SEC:BET:S16_S17:EB,g1
A002,7,PLAT:BET:S11:WB,g1
A002,7,PLAT:BET:S12:WB,g1
A002,7,PLAT:BET:S13:WB,g1
A002,7,SEC:BET:S11_S12:WB,g1
A002,7,SEC:BET:S12_S13:WB,g1
A003,11,PLAT:BET:H01:EB,g1
A003,11,PLAT:BET:H02:EB,g1
A003,11,PLAT:BET:S15:EB,g1
A003,11,PLAT:BET:S16:EB,g1
A003,11,SEC:BET:H01_H02:EB,g1
A003,11,SEC:BET:H02_S15:EB,g1
A003,11,SEC:BET:S15_S16:EB,g1
A003,13,PLAT:BET:H01:EB,g1
A003,13,PLAT:BET:H02:EB,g1
A003,13,PLAT:BET:S15:EB,g1
A003,13,PLAT:BET:S16:EB,g1
A003,13,SEC:BET:H01_H02:EB,g1
A003,13,SEC:BET:H02_S15:EB,g1
A003,13,SEC:BET:S15_S16:EB,g1
A003,16,PLAT:BET:H01:EB,g1
A003,16,PLAT:BET:H02:EB,g1
A003,16,PLAT:BET:S15:EB,g1
A003,16,PLAT:BET:S16:EB,g1
A003,16,SEC:BET:H01_H02:EB,g1
A003,16,SEC:BET:H02_S15:EB,g1
A003,16,SEC:BET:S15_S16:EB,g1
A003,17,PLAT:BET:H01:EB,g1
A003,17,PLAT:BET:H02:EB,g1
A003,17,PLAT:BET:S15:EB,g1
A003,17,PLAT:BET:S16:EB,g1
A003,17,SEC:BET:H01_H02:EB,g1
A003,17,SEC:BET:H02_S15:EB,g1
A003,17,SEC:BET:S15_S16:EB,g1
A003,18,PLAT:BET:H01:EB,g1
A003,18,PLAT:BET:H02:EB,g1
A003,18,PLAT:BET:S15:EB,g1
A003,18,PLAT:BET:S16:EB,g1
A003,18,SEC:BET:H01_H02:EB,g1
A003,18,SEC:BET:H02_S15:EB,g1
A003,18,SEC:BET:S15_S16:EB,g2
A004,20,PLAT:ALP:H01:EB,g1
A004,20,PLAT:ALP:S03:EB,g1
A004,20,PLAT:ALP:S04:EB,g1
A004,20,SEC:ALP:S03_S04:EB,g1
A004,20,SEC:ALP:S04_H01:EB,g1
A004,21,PLAT:ALP:H01:EB,g1
A004,21,PLAT:ALP:S03:EB,g1
A004,21,PLAT:ALP:S04:EB,g1
A004,21,SEC:ALP:S03_S04:EB,g1
A004,21,SEC:ALP:S04_H01:EB,g1
A004,23,PLAT:ALP:H01:EB,g1
A004,23,PLAT:ALP:S03:EB,g1
A004,23,PLAT:ALP:S04:EB,g1
A004,23,SEC:ALP:S03_S04:EB,g1
A004,23,SEC:ALP:S04_H01:EB,g1
A006,2,PLAT:ALP:H01:WB,g1
A006,2,PLAT:ALP:H02:WB,g1
A006,2,PLAT:ALP:S03:WB,g1
A006,2,PLAT:ALP:S04:WB,g1
A006,2,SEC:ALP:H01_H02:WB,g1
A006,2,SEC:ALP:S03_S04:WB,g1
A006,2,SEC:ALP:S04_H01:WB,g1
A006,9,PLAT:ALP:H01:WB,g1
A006,9,PLAT:ALP:H02:WB,g1
A006,9,PLAT:ALP:S03:WB,g1
A006,9,PLAT:ALP:S04:WB,g1
A006,9,SEC:ALP:H01_H02:WB,g1
A006,9,SEC:ALP:S03_S04:WB,g1
A006,9,SEC:ALP:S04_H01:WB,g1
A007,15,PLAT:BET:H01:EB,g1
A007,15,PLAT:BET:H02:EB,g1
A007,15,SEC:BET:H01_H02:EB,g1
A007,16,PLAT:BET:H01:EB,g1
A007,16,PLAT:BET:H02:EB,g1
A007,16,SEC:BET:H01_H02:EB,g1
A007,17,PLAT:BET:H01:EB,g1
A007,17,PLAT:BET:H02:EB,g1
A007,17,SEC:BET:H01_H02:EB,g1
A007,18,PLAT:BET:H01:EB,g1
A007,18,PLAT:BET:H02:EB,g1
A007,18,SEC:BET:H01_H02:EB,g1
A007,20,PLAT:BET:H01:EB,g1
A007,20,PLAT:BET:H02:EB,g1
A007,20,SEC:BET:H01_H02:EB,g1
A007,22,PLAT:BET:H01:EB,g1
A007,22,PLAT:BET:H02:EB,g1
A007,22,SEC:BET:H01_H02:EB,g1
A007,23,PLAT:BET:H01:EB,g1
A007,23,PLAT:BET:H02:EB,g1
A007,23,SEC:BET:H01_H02:EB,g1
A008,17,PLAT:BET:S17:EB,g1
A008,17,PLAT:BET:S18:EB,g1
A008,17,SEC:BET:S17_S18:EB,g1
A008,18,PLAT:BET:S17:EB,g1
A008,18,PLAT:BET:S18:EB,g1
A008,18,SEC:BET:S17_S18:EB,g1
A008,19,PLAT:BET:S17:EB,g1
A008,19,PLAT:BET:S18:EB,g1
A008,19,SEC:BET:S17_S18:EB,g1
A008,20,PLAT:BET:S17:EB,g1
A008,20,PLAT:BET:S18:EB,g1
A008,20,SEC:BET:S17_S18:EB,g1
A008,21,PLAT:BET:S17:EB,g1
A008,21,PLAT:BET:S18:EB,g1
A008,21,SEC:BET:S17_S18:EB,g1
A009,2,PLAT:ALP:S05:EB,g1
A009,2,PLAT:ALP:S06:EB,g1
A009,2,SEC:ALP:S05_S06:EB,g1
A009,13,PLAT:ALP:S05:EB,g1
A009,13,PLAT:ALP:S06:EB,g1
A009,13,SEC:ALP:S05_S06:EB,g1
A009,14,PLAT:ALP:S05:EB,g1
A009,14,PLAT:ALP:S06:EB,g1
A009,14,SEC:ALP:S05_S06:EB,g1
A009,15,PLAT:ALP:S05:EB,g1
A009,15,PLAT:ALP:S06:EB,g1
A009,15,SEC:ALP:S05_S06:EB,g1
A009,17,PLAT:ALP:S05:EB,g1
A009,17,PLAT:ALP:S06:EB,g1
A009,17,SEC:ALP:S05_S06:EB,g1
A009,18,PLAT:ALP:S05:EB,g1
A009,18,PLAT:ALP:S06:EB,g1
A009,18,SEC:ALP:S05_S06:EB,g1
A009,20,PLAT:ALP:S05:EB,g1
A009,20,PLAT:ALP:S06:EB,g1
A009,20,SEC:ALP:S05_S06:EB,g1
A011,16,PLAT:BET:S15:EB,g1
A011,16,PLAT:BET:S16:EB,g2
A011,16,PLAT:BET:S17:EB,g2
A011,16,SEC:BET:S15_S16:EB,g1
A011,16,SEC:BET:S16_S17:EB,g1
A011,24,PLAT:BET:S15:EB,g1
A011,24,PLAT:BET:S16:EB,g1
A011,24,PLAT:BET:S17:EB,g1
A011,24,SEC:BET:S15_S16:EB,g1
A011,24,SEC:BET:S16_S17:EB,g1
A012,11,PLAT:BET:H01:WB,g1
A012,11,PLAT:BET:H02:WB,g1
A012,11,PLAT:BET:S15:WB,g1
A012,11,SEC:BET:H01_H02:WB,g1
A012,11,SEC:BET:H02_S15:WB,g1
A012,15,PLAT:BET:H01:WB,g1
A012,15,PLAT:BET:H02:WB,g1
A012,15,PLAT:BET:S15:WB,g1
A012,15,SEC:BET:H01_H02:WB,g1
A012,15,SEC:BET:H02_S15:WB,g1
A012,16,PLAT:BET:H01:WB,g1
A012,16,PLAT:BET:H02:WB,g1
A012,16,PLAT:BET:S15:WB,g1
A012,16,SEC:BET:H01_H02:WB,g1
A012,16,SEC:BET:H02_S15:WB,g1
A012,17,PLAT:BET:H01:WB,g1
A012,17,PLAT:BET:H02:WB,g1
A012,17,PLAT:BET:S15:WB,g1
A012,17,SEC:BET:H01_H02:WB,g1
A012,17,SEC:BET:H02_S15:WB,g1
A012,18,PLAT:BET:H01:WB,g1
A012,18,PLAT:BET:H02:WB,g1
A012,18,PLAT:BET:S15:WB,g1
A012,18,SEC:BET:H01_H02:WB,g1
A012,18,SEC:BET:H02_S15:WB,g1
A012,20,PLAT:BET:H01:WB,g1
A012,20,PLAT:BET:H02:WB,g1
A012,20,PLAT:BET:S15:WB,g1
A012,20,SEC:BET:H01_H02:WB,g1
A012,20,SEC:BET:H02_S15:WB,g1
A012,21,PLAT:BET:H01:WB,g1
A012,21,PLAT:BET:H02:WB,g1
A012,21,PLAT:BET:S15:WB,g1
A012,21,SEC:BET:H01_H02:WB,g1
A012,21,SEC:BET:H02_S15:WB,g1
A013,22,PLAT:ALP:S05:WB,g1
A013,22,PLAT:ALP:S06:WB,g1
A013,22,SEC:ALP:S05_S06:WB,g1
A013,23,PLAT:ALP:S05:WB,g1
A013,23,PLAT:ALP:S06:WB,g1
