activity_id,access_seq,week,eclo,access_night
A001,1,21,0,1
A001,2,22,0,1
A002,1,3,0,1
A002,2,4,0,1
A002,3,5,0,1
A002,4,7,0,1
A002,5,13,0,1
A002,6,23,0,2
A003,1,11,0,2
A003,2,12,0,1
A003,3,16,0,3
A003,4,17,0,3
A003,5,18,0,2
A003,6,20,0,3
A004,1,22,1,3
A004,2,23,1,3
A006,1,4,0,1
A006,2,6,0,1
A006,3,8,0,1
A006,4,10,0,1
A006,5,11,0,1
A006,6,12,0,1
A006,7,15,0,3
A006,8,18,0,1
A006,9,22,0,1
A006,10,23,0,2
A007,1,15,0,1
A007,2,16,1,1
A007,3,18,1,2
A007,4,19,1,2
A007,5,23,1,1
A008,1,19,0,2
A008,2,20,0,3
A008,3,22,0,3
A008,4,23,0,3
A008,5,25,0,3
A008,6,26,0,2
A009,1,3,0,3
A009,2,4,0,2
A009,3,5,0,1
A009,4,7,0,3
A009,5,10,0,1
A009,6,12,0,3
A009,7,23,0,1
A011,1,16,0,3
A011,2,22,0,1
A012,1,4,0,1
A012,2,8,0,1
A012,3,12,0,1
A012,4,15,0,3
A012,5,18,0,1
A012,6,19,0,3
A012,7,20,0,1
A013,1,21,0,3
A013,2,22,0,2
A013,3,23,0,2
A013,4,24,0,2
A013,5,26,0,1
A014,1,13,0,1
A014,2,16,0,3
A014,3,17,0,2
A014,4,18,0,3
A014,5,20,0,3
A014,6,21,0,3
A014,7,25,0,3
A017,1,17,0,3
A017,2,18,0,1
A017,3,19,0,1
A017,4,20,0,2
A017,5,21,0,2
A017,6,22,0,3
A017,7,23,0,1
A019,1,12,0,1
A019,2,13,0,2
A019,3,14,0,2
A019,4,26,0,3
A020,1,16,0,2
A020,2,18,0,2
A020,3,19,0,3
A020,4,22,0,2
A021,1,10,0,3
A021,2,25,0,1
A021,3,29,0,2
A023,1,22,0,2
A023,2,23,0,3
A023,3,24,0,3
A023,4,26,0,3
A023,5,27,0,3
A023,6,28,0,2
A023,7,29,0,3
A025,1,8,0,2
A025,2,9,0,1
A025,3,11,0,1
A025,4,13,0,3
A025,5,14,0,2
A025,6,17,0,1
A025,7,29,0,1
A028,1,10,0,1
A028,2,11,0,1
A031,1,1,0,1
A031,2,7,0,1
A035,1,4,0,1
A035,2,6,0,1
A035,3,9,0,1
A035,4,10,0,3
A035,5,11,0,3
A035,6,13,0,3
A035,7,15,0,1
A035,8,18,0,1
A035,9,22,0,2
A036,1,22,0,3
A036,2,23,1,3
A036,3,24,1,1
A036,4,25,1,2
A036,5,26,1,1
A037,1,14,0,1
A037,2,15,0,3
A038,1,20,1,3
A038,2,22,0,1
A038,3,25,0,3
A039,1,8,1,2
A039,2,9,1,3
A039,3,12,0,1
A039,4,14,1,3
A039,5,15,1,2
A040,1,17,0,3
A040,2,19,0,1
A040,3,20,0,2
A040,4,21,0,2
A040,5,22,0,1
A040,6,25,1,2
A040,7,26,0,3
A040,8,27,0,2
A041,1,11,0,1
A041,2,14,0,1
A041,3,16,0,2
A041,4,19,0,3
A041,5,26,0,1
A041,6,27,0,3
A042,1,24,1,1
A042,2,25,1,3
A043,1,14,0,2
A043,2,26,0,2
A046,1,11,0,2
A046,2,14,0,3
A046,3,18,0,3
A046,4,19,0,2
A046,5,23,0,1
A047,1,19,0,2
A047,2,21,0,1
A048,1,3,0,1
A048,2,14,0,3
A048,3,19,0,1
A049,1,20,0,1
A049,2,22,0,1
A049,3,23,0,3
A049,4,24,0,1
A049,5,26,0,3
A050,1,18,0,3
A050,2,19,0,3
A050,3,22,0,2
A050,4,23,0,2
A050,5,26,0,2
A051,1,27,0,1
A051,2,28,0,3
A054,1,17,0,3
A054,2,19,0,2
A055,1,16,0,2
A056,1,18,0,1
A056,2,22,0,1
A057,1,15,0,1
A057,2,16,0,3
A057,3,18,0,3
A057,4,19,0,3
A057,5,21,0,3
A057,6,24,0,1
A057,7,25,0,3
A058,1,2,0,1
A058,2,4,0,1
A058,3,5,0,3
A058,4,6,0,2
A058,5,7,0,3
A058,6,8,0,3
A058,7,11,0,3
A058,8,12,0,3
A059,1,14,1,3
A059,2,15,1,2
A059,3,16,0,1
A059,4,17,1,1
A059,5,18,1,3
A060,1,14,1,3
A060,2,17,1,1
A061,1,4,0,1
A061,2,5,0,3
A061,3,6,0,2
A061,4,7,0,1
A061,5,8,0,1
A061,6,9,0,3
A061,7,10,0,2
A061,8,12,0,2
A063,1,8,0,3
A063,2,14,0,1
A064,1,17,0,2
A065,1,22,0,2
A065,2,23,0,3
A066,1,27,0,2
A069,1,11,0,1
A069,2,22,0,1
A069,3,23,0,2
A070,1,13,0,3
A070,2,15,0,3
A070,3,18,0,2
A070,4,22,0,3
A070,5,23,0,1
A070,6,24,0,3
A070,7,27,0,1
A071,1,26,0,3
A072,1,27,0,2
A073,1,24,0,3
A073,2,27,0,3
A074,1,21,0,1
A075,1,25,0,1
