activity_id,week,location_id,co_share_group
A001,21,PLAT:BET:S15:EB,g2
A001,21,PLAT:BET:S16:EB,g2
A001,21,PLAT:BET:S17:EB,g1
A001,21,SEC:BET:S15_S16:EB,g2
A001,21,SEC:BET:S16_S17:EB,g1
A001,22,PLAT:BET:S15:EB,g1
A001,22,PLAT:BET:S16:EB,g2
A001,22,PLAT:BET:S17:EB,g1
A001,22,SEC:BET:S15_S16:EB,g1
A001,22,SEC:BET:S16_S17:EB,g1
A002,1,PLAT:BET:S11:WB,g1
A002,1,PLAT:BET:S12:WB,g1
A002,1,PLAT:BET:S13:WB,g1
A002,1,SEC:BET:S11_S12:WB,g1
A002,1,SEC:BET:S12_S13:WB,g1
A003,11,PLAT:BET:H01:EB,g1
A003,11,PLAT:BET:H02:EB,g1
A003,11,PLAT:BET:S15:EB,g2
A003,11,PLAT:BET:S16:EB,g1
A003,11,SEC:BET:H01_H02:EB,g1
A003,11,SEC:BET:H02_S15:EB,g1
A003,11,SEC:BET:S15_S16:EB,g1
A003,12,PLAT:BET:H01:EB,g1
A003,12,PLAT:BET:H02:EB,g1
A003,12,PLAT:BET:S15:EB,g1
A003,12,PLAT:BET:S16:EB,g1
A003,12,SEC:BET:H01_H02:EB,g1
A003,12,SEC:BET:H02_S15:EB,g1
A003,12,SEC:BET:S15_S16:EB,g1
A003,13,PLAT:BET:H01:EB,g1
A003,13,PLAT:BET:H02:EB,g1
A003,13,PLAT:BET:S15:EB,g1
A003,13,PLAT:BET:S16:EB,g1
A003,13,SEC:BET:H01_H02:EB,g1
A003,13,SEC:BET:H02_S15:EB,g2
A003,13,SEC:BET:S15_S16:EB,g1
A003,14,PLAT:BET:H01:EB,g1
A003,14,PLAT:BET:H02:EB,g1
A003,14,PLAT:BET:S15:EB,g2
A003,14,PLAT:BET:S16:EB,g1
A003,14,SEC:BET:H01_H02:EB,g1
A003,14,SEC:BET:H02_S15:EB,g1
A003,14,SEC:BET:S15_S16:EB,g1
A003,15,PLAT:BET:H01:EB,g1
A003,15,PLAT:BET:H02:EB,g1
A003,15,PLAT:BET:S15:EB,g2
A003,15,PLAT:BET:S16:EB,g2
A003,15,SEC:BET:H01_H02:EB,g1
A003,15,SEC:BET:H02_S15:EB,g2
A003,15,SEC:BET:S15_S16:EB,g2
A004,16,PLAT:ALP:H01:EB,g1
A004,16,PLAT:ALP:S03:EB,g1
A004,16,PLAT:ALP:S04:EB,g1
A004,16,SEC:ALP:S03_S04:EB,g1
A004,16,SEC:ALP:S04_H01:EB,g1
A004,17,PLAT:ALP:H01:EB,g1
A004,17,PLAT:ALP:S03:EB,g1
A004,17,PLAT:ALP:S04:EB,g1
A004,17,SEC:ALP:S03_S04:EB,g1
A004,17,SEC:ALP:S04_H01:EB,g1
A004,18,PLAT:ALP:H01:EB,g1
A004,18,PLAT:ALP:S03:EB,g1
A004,18,PLAT:ALP:S04:EB,g1
A004,18,SEC:ALP:S03_S04:EB,g1
A004,18,SEC:ALP:S04_H01:EB,g1
A006,8,PLAT:ALP:H01:WB,g1
A006,8,PLAT:ALP:H02:WB,g1
A006,8,PLAT:ALP:S03:WB,g1
A006,8,PLAT:ALP:S04:WB,g1
A006,8,SEC:ALP:H01_H02:WB,g1
A006,8,SEC:ALP:S03_S04:WB,g1
A006,8,SEC:ALP:S04_H01:WB,g1
A006,13,PLAT:ALP:H01:WB,g1
A006,13,PLAT:ALP:H02:WB,g1
A006,13,PLAT:ALP:S03:WB,g1
A006,13,PLAT:ALP:S04:WB,g1
A006,13,SEC:ALP:H01_H02:WB,g1
A006,13,SEC:ALP:S03_S04:WB,g1
A006,13,SEC:ALP:S04_H01:WB,g1
A007,16,PLAT:BET:H01:EB,g1
A007,16,PLAT:BET:H02:EB,g1
A007,16,SEC:BET:H01_H02:EB,g1
A007,17,PLAT:BET:H01:EB,g1
A007,17,PLAT:BET:H02:EB,g1
A007,17,SEC:BET:H01_H02:EB,g1
A007,18,PLAT:BET:H01:EB,g1
A007,18,PLAT:BET:H02:EB,g1
A007,18,SEC:BET:H01_H02:EB,g1
A007,19,PLAT:BET:H01:EB,g1
A007,19,PLAT:BET:H02:EB,g1
A007,19,SEC:BET:H01_H02:EB,g1
A007,21,PLAT:BET:H01:EB,g1
A007,21,PLAT:BET:H02:EB,g1
A007,21,SEC:BET:H01_H02:EB,g1
A007,22,PLAT:BET:H01:EB,g1
A007,22,PLAT:BET:H02:EB,g1
A007,22,SEC:BET:H01_H02:EB,g1
