activity_id,week,location_id,co_share_group
COMP,6,PLAT:LNX:N3:EB,g1
COMP,6,PLAT:LNX:X2:EB,g1
COMP,6,SEC:LNX:X2_N3:EB,g1
DIRECT,2,PLAT:LNX:N3:EB,g1
DIRECT,2,PLAT:LNX:X2:EB,g1
DIRECT,2,SEC:LNX:X2_N3:EB,g1
DIRECT,3,PLAT:LNX:N3:EB,g1
DIRECT,3,PLAT:LNX:X2:EB,g1
DIRECT,3,SEC:LNX:X2_N3:EB,g1
DIRECT,4,PLAT:LNX:N3:EB,g1
DIRECT,4,PLAT:LNX:X2:EB,g1
DIRECT,4,SEC:LNX:X2_N3:EB,g1
FOLLOW,7,PLAT:LNY:S3:WB,g1
FOLLOW,7,PLAT:LNY:S4:WB,g1
FOLLOW,7,PLAT:LNY:X2:WB,g1
FOLLOW,7,SEC:LNY:S3_S4:WB,g1
FOLLOW,7,SEC:LNY:X2_S3:WB,g1
