activity_id,week,location_id,co_share_group
Z501,1,PLAT:L01:N005:WB,g1
Z501,1,PLAT:L01:N009:WB,g1
Z501,1,SEC:L01:N009_N005:WB,g1
Z501,2,PLAT:L01:N005:WB,g1
Z501,2,PLAT:L01:N009:WB,g1
Z501,2,SEC:L01:N009_N005:WB,g1
Z502,1,PLAT:L01:N005:WB,g1
Z502,1,PLAT:L01:N009:WB,g1
Z502,1,SEC:L01:N009_N005:WB,g1
Z502,2,PLAT:L01:N005:WB,g1
Z502,2,PLAT:L01:N009:WB,g1
Z502,2,SEC:L01:N009_N005:WB,g1
Z503,1,PLAT:L01:N005:WB,g1
Z503,1,PLAT:L01:N009:WB,g1
Z503,1,SEC:L01:N009_N005:WB,g1
Z503,2,PLAT:L01:N005:WB,g1
Z503,2,PLAT:L01:N009:WB,g1
Z503,2,SEC:L01:N009_N005:WB,g1
Z504,1,PLAT:L02:N003:WB,g1
Z504,1,PLAT:L02:N007:WB,g1
Z504,1,SEC:L02:N007_N003:WB,g1
Z504,2,PLAT:L02:N003:WB,g1
Z504,2,PLAT:L02:N007:WB,g1
Z504,2,SEC:L02:N007_N003:WB,g1
Z505,1,PLAT:L01:N002:EB,g1
Z505,1,PLAT:L01:N009:EB,g2
Z505,1,SEC:L01:N002_N009:EB,g2
Z505,9,PLAT:L01:N002:EB,g1
Z505,9,PLAT:L01:N009:EB,g1
Z505,9,SEC:L01:N002_N009:EB,g1
Z506,1,PLAT:L01:N002:EB,g1
Z506,1,PLAT:L01:N009:EB,g2
Z506,1,SEC:L01:N002_N009:EB,g2
Z506,6,PLAT:L01:N002:EB,g2
Z506,6,PLAT:L01:N009:EB,g2
Z506,6,SEC:L01:N002_N009:EB,g1
Z507,1,PLAT:L02:N003:WB,g1
Z507,1,PLAT:L02:N007:WB,g1
Z507,1,SEC:L02:N007_N003:WB,g1
Z507,2,PLAT:L02:N003:WB,g1
Z507,2,PLAT:L02:N007:WB,g1
Z507,2,SEC:L02:N007_N003:WB,g1
Z508,1,PLAT:L02:N001:EB,g1
Z508,1,PLAT:L02:N007:EB,g1
Z508,1,SEC:L02:N001_N007:EB,g1
Z508,2,PLAT:L02:N001:EB,g1
Z508,2,PLAT:L02:N007:EB,g1
Z508,2,SEC:L02:N001_N007:EB,g1
Z509,18,PLAT:L01:N002:EB,g1
Z509,18,PLAT:L01:N009:EB,g1
Z509,18,SEC:L01:N002_N009:EB,g1
Z510,1,PLAT:L01:N002:EB,g1
Z510,1,PLAT:L01:N009:EB,g1
Z510,1,SEC:L01:N002_N009:EB,g2
Z510,3,PLAT:L01:N002:EB,g1
Z510,3,PLAT:L01:N009:EB,g1
Z510,3,SEC:L01:N002_N009:EB,g1
Z511,1,PLAT:L02:N001:EB,g1
Z511,1,PLAT:L02:N007:EB,g1
Z511,1,SEC:L02:N001_N007:EB,g1
