activity_id,week,location_id,co_share_group
Z501,2,PLAT:L02:N001:EB,g2
Z501,2,PLAT:L02:N007:EB,g2
Z501,2,SEC:L02:N007_N001:EB,g1
Z501,4,PLAT:L02:N001:EB,g1
Z501,4,PLAT:L02:N007:EB,g1
Z501,4,SEC:L02:N007_N001:EB,g1
Z502,1,PLAT:L01:N005:EB,g1
Z502,1,PLAT:L01:N006:EB,g1
Z502,1,SEC:L01:N005_N006:EB,g1
Z502,2,PLAT:L01:N005:EB,g1
Z502,2,PLAT:L01:N006:EB,g1
Z502,2,SEC:L01:N005_N006:EB,g1
Z503,1,PLAT:L01:N003:WB,g1
Z503,1,PLAT:L01:N006:WB,g1
Z503,1,SEC:L01:N006_N003:WB,g1
Z503,2,PLAT:L01:N003:WB,g1
Z503,2,PLAT:L01:N006:WB,g1
Z503,2,SEC:L01:N006_N003:WB,g1
Z504,17,PLAT:L01:N002:EB,g1
Z504,17,PLAT:L01:N004:EB,g1
Z504,17,SEC:L01:N002_N004:EB,g1
Z505,1,PLAT:L01:N003:WB,g1
Z505,1,PLAT:L01:N006:WB,g1
Z505,1,SEC:L01:N006_N003:WB,g1
Z505,2,PLAT:L01:N003:WB,g1
Z505,2,PLAT:L01:N006:WB,g1
Z505,2,SEC:L01:N006_N003:WB,g1
Z506,1,PLAT:L01:N005:EB,g1
Z506,1,PLAT:L01:N006:EB,g1
Z506,1,SEC:L01:N005_N006:EB,g1
Z506,2,PLAT:L01:N005:EB,g1
Z506,2,PLAT:L01:N006:EB,g1
Z506,2,SEC:L01:N005_N006:EB,g1
Z507,1,PLAT:L02:N001:WB,g1
Z507,1,PLAT:L02:N010:WB,g1
Z507,1,SEC:L02:N001_N010:WB,g1
Z507,2,PLAT:L02:N001:WB,g1
Z507,2,PLAT:L02:N010:WB,g1
Z507,2,SEC:L02:N001_N010:WB,g1
Z508,1,PLAT:L01:N003:WB,g1
Z508,1,PLAT:L01:N006:WB,g1
Z508,1,SEC:L01:N006_N003:WB,g1
