activity_id,access_seq,week,eclo,access_night
Z501,1,1,0,1
Z501,2,2,0,1
Z502,1,16,0,1
Z503,1,1,0,1
Z503,2,12,0,1
Z504,1,2,0,1
Z504,2,8,0,1
Z505,1,1,0,1
Z505,2,2,0,1
Z506,1,3,0,1
Z506,2,10,0,1
Z507,1,1,0,1
Z507,2,2,0,1
Z508,1,1,0,1
Z508,2,2,0,1
Z509,1,3,0,1
Z509,2,5,0,1
Z510,1,1,0,1
Z510,2,2,0,1
Z511,1,1,0,1
Z511,2,2,0,1
Z512,1,3,0,1
Z512,2,4,0,1
Z513,1,1,0,1
Z513,2,2,0,1
Z514,1,1,0,1
Z514,2,2,0,1
Z515,1,1,0,1
Z515,2,2,0,1
Z516,1,3,0,1
Z516,2,7,0,1
Z517,1,1,0,1
Z517,2,2,0,1
Z518,1,18,0,1
Z519,1,3,0,1
Z519,2,4,0,1
Z520,1,3,0,1
Z520,2,4,0,1
Z521,1,3,0,1
Z521,2,4,0,1
Z522,1,4,0,1
Z522,2,6,0,1
Z523,1,3,0,1
Z523,2,12,0,1
Z524,1,4,0,1
Z524,2,6,0,1
Z525,1,3,0,1
Z525,2,4,0,1
Z526,1,3,0,1
Z526,2,6,0,1
Z527,1,5,0,1
Z527,2,6,0,1
Z528,1,5,0,1
Z528,2,7,0,1
Z529,1,3,0,1
Z529,2,11,0,1
Z530,1,1,0,1
Z530,2,2,0,1
Z531,1,5,0,1
Z531,2,6,0,1
Z532,1,1,0,1
Z532,2,4,0,1
Z533,1,17,0,1
Z534,1,5,0,1
Z534,2,8,0,1
Z535,1,3,0,1
Z535,2,4,0,1
Z536,1,6,0,1
Z536,2,8,0,1
Z537,1,1,0,1
Z537,2,2,0,1
Z538,1,2,0,1
Z538,2,11,0,1
Z539,1,3,0,1
Z539,2,6,0,1
Z540,1,5,0,1
Z540,2,6,0,1
Z541,1,5,0,1
Z541,2,6,0,1
Z542,1,5,0,1
Z542,2,6,0,1
Z543,1,3,0,1
Z543,2,6,0,1
Z544,1,7,0,1
Z544,2,8,0,1
Z545,1,7,0,1
Z545,2,8,0,1
Z546,1,3,0,1
Z546,2,4,0,1
Z547,1,7,0,1
Z547,2,8,0,1
Z548,1,3,0,1
Z548,2,4,0,1
Z549,1,1,0,1
Z550,1,5,0,1
Z550,2,6,0,1
Z551,1,7,0,1
Z551,2,8,0,1
Z552,1,3,0,1
Z552,2,8,0,1
Z553,1,5,0,1
Z553,2,7,0,1
Z554,1,9,0,1
Z554,2,10,0,1
Z555,1,3,0,1
Z555,2,4,0,1
Z556,1,5,0,1
Z556,2,12,0,1
Z557,1,9,0,1
Z557,2,10,0,1
Z558,1,9,0,1
Z558,2,10,0,1
Z559,1,7,0,1
Z559,2,8,0,1
Z560,1,9,0,1
Z560,2,10,0,1
Z561,1,7,0,1
Z561,2,9,0,1
Z562,1,5,0,1
Z562,2,6,0,1
Z563,1,4,1,1
Z563,2,5,1,1
Z564,1,7,0,1
Z564,2,8,0,1
Z565,1,1,0,1
Z565,2,2,0,1
Z566,1,7,0,1
Z566,2,8,0,1
Z567,1,7,0,1
Z567,2,8,0,1
Z568,1,9,0,1
Z568,2,10,0,1
Z569,1,9,0,1
Z569,2,10,0,1
Z570,1,16,0,1
Z571,1,5,0,1
Z571,2,6,0,1
Z572,1,3,0,1
Z572,2,9,0,1
Z572,3,10,0,1
Z573,1,13,0,1
Z574,1,10,0,1
Z574,2,14,0,1
Z575,1,3,0,1
Z575,2,10,0,1
Z576,1,11,0,1
Z576,2,12,0,1
Z577,1,9,0,1
Z577,2,10,0,1
Z578,1,4,0,1
Z578,2,5,0,1
Z579,1,11,0,1
Z579,2,13,0,1
Z580,1,6,0,1
Z580,2,8,0,1
Z581,1,9,0,1
Z581,2,14,0,1
Z582,1,4,0,1
Z582,2,5,0,1
Z583,1,11,0,1
Z583,2,12,0,1
Z584,1,9,0,1
Z584,2,10,0,1
Z585,1,9,0,1
Z585,2,10,0,1
Z586,1,7,0,1
Z586,2,8,0,1
Z587,1,7,0,1
Z587,2,9,0,1
Z588,1,11,0,1
Z588,2,12,0,1
Z589,1,15,0,2
Z590,1,9,0,1
Z590,2,10,0,1
Z591,1,18,0,2
Z592,1,16,0,1
Z593,1,11,0,1
Z593,2,12,0,1
Z594,1,6,0,1
Z594,2,7,0,1
Z595,1,14,0,1
Z596,1,11,0,1
Z596,2,12,0,1
Z597,1,7,0,1
Z597,2,9,0,1
Z598,1,11,0,1
Z598,2,12,0,1
Z599,1,8,0,1
Z599,2,10,0,1
Z600,1,11,0,1
Z600,2,12,0,1
Z601,1,11,0,1
Z601,2,12,0,1
Z602,1,11,0,1
Z602,2,12,0,1
Z603,1,11,0,1
Z603,2,12,0,1
Z604,1,11,0,1
Z604,2,13,0,1
Z605,1,8,0,1
Z605,2,11,0,1
Z605,3,12,0,1
Z606,1,11,0,1
Z606,2,12,0,1
