activity_id,week,location_id,co_share_group
Z501,1,PLAT:L02:N007:EB,g1
Z501,1,PLAT:L02:N010:EB,g1
Z501,1,SEC:L02:N007_N010:EB,g1
Z501,2,PLAT:L02:N007:EB,g1
Z501,2,PLAT:L02:N010:EB,g1
Z501,2,SEC:L02:N007_N010:EB,g1
Z502,16,PLAT:L02:N005:WB,g1
Z502,16,PLAT:L02:N010:WB,g1
Z502,16,SEC:L02:N010_N005:WB,g1
Z503,1,PLAT:L01:N004:EB,g1
Z503,1,PLAT:L01:N009:EB,g1
Z503,1,SEC:L01:N004_N009:EB,g1
Z503,5,PLAT:L01:N004:EB,g1
Z503,5,PLAT:L01:N009:EB,g1
Z503,5,SEC:L01:N004_N009:EB,g1
Z504,1,PLAT:L01:N004:EB,g1
Z504,1,PLAT:L01:N009:EB,g1
Z504,1,SEC:L01:N004_N009:EB,g1
Z504,2,PLAT:L01:N004:EB,g1
Z504,2,PLAT:L01:N009:EB,g2
Z504,2,SEC:L01:N004_N009:EB,g1
Z505,1,PLAT:L01:N001:WB,g1
Z505,1,PLAT:L01:N009:WB,g1
Z505,1,SEC:L01:N009_N001:WB,g1
Z505,2,PLAT:L01:N001:WB,g1
Z505,2,PLAT:L01:N009:WB,g1
Z505,2,SEC:L01:N009_N001:WB,g1
Z506,1,PLAT:L01:N004:EB,g1
Z506,1,PLAT:L01:N009:EB,g1
Z506,1,SEC:L01:N004_N009:EB,g1
Z506,7,PLAT:L01:N004:EB,g1
Z506,7,PLAT:L01:N009:EB,g1
Z506,7,SEC:L01:N004_N009:EB,g1
Z507,1,PLAT:L02:N007:EB,g1
Z507,1,PLAT:L02:N010:EB,g1
Z507,1,SEC:L02:N007_N010:EB,g1
Z507,2,PLAT:L02:N007:EB,g1
Z507,2,PLAT:L02:N010:EB,g1
Z507,2,SEC:L02:N007_N010:EB,g1
Z508,1,PLAT:L02:N007:EB,g1
Z508,1,PLAT:L02:N010:EB,g1
Z508,1,SEC:L02:N007_N010:EB,g1
Z508,2,PLAT:L02:N007:EB,g1
Z508,2,PLAT:L02:N010:EB,g1
Z508,2,SEC:L02:N007_N010:EB,g1
Z509,3,PLAT:L02:N007:EB,g1
Z509,3,PLAT:L02:N010:EB,g1
Z509,3,SEC:L02:N007_N010:EB,g1
Z509,5,PLAT:L02:N007:EB,g1
Z509,5,PLAT:L02:N010:EB,g1
Z509,5,SEC:L02:N007_N010:EB,g1
Z510,1,PLAT:L01:N001:WB,g1
Z510,1,PLAT:L01:N009:WB,g1
Z510,1,SEC:L01:N009_N001:WB,g1
Z510,2,PLAT:L01:N001:WB,g1
Z510,2,PLAT:L01:N009:WB,g1
Z510,2,SEC:L01:N009_N001:WB,g1
Z511,1,PLAT:L02:N005:WB,g1
Z511,1,PLAT:L02:N010:WB,g1
Z511,1,SEC:L02:N010_N005:WB,g1
Z511,2,PLAT:L02:N005:WB,g1
Z511,2,PLAT:L02:N010:WB,g1
Z511,2,SEC:L02:N010_N005:WB,g1
Z512,3,PLAT:L02:N007:EB,g1
Z512,3,PLAT:L02:N010:EB,g1
Z512,3,SEC:L02:N007_N010:EB,g1
Z512,4,PLAT:L02:N007:EB,g1
Z512,4,PLAT:L02:N010:EB,g1
Z512,4,SEC:L02:N007_N010:EB,g1
Z513,1,PLAT:L02:N005:WB,g1
Z513,1,PLAT:L02:N010:WB,g1
Z513,1,SEC:L02:N010_N005:WB,g1
Z513,2,PLAT:L02:N005:WB,g1
Z513,2,PLAT:L02:N010:WB,g1
Z513,2,SEC:L02:N010_N005:WB,g1
Z514,1,PLAT:L02:N007:EB,g1
Z514,1,PLAT:L02:N010:EB,g1
Z514,1,SEC:L02:N007_N010:EB,g1
Z514,2,PLAT:L02:N007:EB,g1
Z514,2,PLAT:L02:N010:EB,g1
Z514,2,SEC:L02:N007_N010:EB,g1
Z515,1,PLAT:L02:N005:WB,g1
Z515,1,PLAT:L02:N010:WB,g1
Z515,1,SEC:L02:N010_N005:WB,g1
Z515,2,PLAT:L02:N005:WB,g1
Z515,2,PLAT:L02:N010:WB,g1
Z515,2,SEC:L02:N010_N005:WB,g1
Z516,3,PLAT:L02:N007:EB,g1
Z516,3,PLAT:L02:N010:EB,g1
Z516,3,SEC:L02:N007_N010:EB,g1
Z516,7,PLAT:L02:N007:EB,g1
Z516,7,PLAT:L02:N010:EB,g1
Z516,7,SEC:L02:N007_N010:EB,g1
Z517,1,PLAT:L01:N001:WB,g1
Z517,1,PLAT:L01:N009:WB,g1
Z517,1,SEC:L01:N009_N001:WB,g1
Z517,2,PLAT:L01:N001:WB,g1
Z517,2,PLAT:L01:N009:WB,g1
Z517,2,SEC:L01:N009_N001:WB,g1
Z518,18,PLAT:L01:N004:EB,g1
Z518,18,PLAT:L01:N009:EB,g1
Z518,18,SEC:L01:N004_N009:EB,g1
Z519,3,PLAT:L01:N001:WB,g1
Z519,3,PLAT:L01:N009:WB,g1
Z519,3,SEC:L01:N009_N001:WB,g1
Z519,4,PLAT:L01:N001:WB,g1
Z519,4,PLAT:L01:N009:WB,g1
Z519,4,SEC:L01:N009_N001:WB,g1
Z520,3,PLAT:L02:N005:WB,g1
Z520,3,PLAT:L02:N010:WB,g1
Z520,3,SEC:L02:N010_N005:WB,g1
Z520,4,PLAT:L02:N005:WB,g1
Z520,4,PLAT:L02:N010:WB,g1
Z520,4,SEC:L02:N010_N005:WB,g1
Z521,3,PLAT:L01:N001:WB,g1
Z521,3,PLAT:L01:N009:WB,g1
Z521,3,SEC:L01:N009_N001:WB,g1
Z521,4,PLAT:L01:N001:WB,g1
Z521,4,PLAT:L01:N009:WB,g1
Z521,4,SEC:L01:N009_N001:WB,g1
Z522,4,PLAT:L02:N007:EB,g1
Z522,4,PLAT:L02:N010:EB,g1
Z522,4,SEC:L02:N007_N010:EB,g1
Z522,6,PLAT:L02:N007:EB,g1
Z522,6,PLAT:L02:N010:EB,g1
Z522,6,SEC:L02:N007_N010:EB,g1
Z523,3,PLAT:L02:N005:WB,g1
Z523,3,PLAT:L02:N010:WB,g1
Z523,3,SEC:L02:N010_N005:WB,g1
Z523,12,PLAT:L02:N005:WB,g1
Z523,12,PLAT:L02:N010:WB,g1
Z523,12,SEC:L02:N010_N005:WB,g1
Z524,4,PLAT:L02:N007:EB,g1
Z524,4,PLAT:L02:N010:EB,g1
Z524,4,SEC:L02:N007_N010:EB,g1
Z524,6,PLAT:L02:N007:EB,g1
Z524,6,PLAT:L02:N010:EB,g1
Z524,6,SEC:L02:N007_N010:EB,g1
Z525,3,PLAT:L01:N001:WB,g1
Z525,3,PLAT:L01:N009:WB,g1
Z525,3,SEC:L01:N009_N001:WB,g1
Z525,4,PLAT:L01:N001:WB,g1
Z525,4,PLAT:L01:N009:WB,g1
Z525,4,SEC:L01:N009_N001:WB,g1
Z526,2,PLAT:L01:N004:EB,g1
Z526,2,PLAT:L01:N009:EB,g1
Z526,2,SEC:L01:N004_N009:EB,g2
Z526,4,PLAT:L01:N004:EB,g1
Z526,4,PLAT:L01:N009:EB,g1
Z526,4,SEC:L01:N004_N009:EB,g1
Z527,5,PLAT:L01:N001:WB,g1
Z527,5,PLAT:L01:N009:WB,g1
Z527,5,SEC:L01:N009_N001:WB,g1
Z527,6,PLAT:L01:N001:WB,g1
Z527,6,PLAT:L01:N009:WB,g1
Z527,6,SEC:L01:N009_N001:WB,g1
Z528,5,PLAT:L02:N007:EB,g1
Z528,5,PLAT:L02:N010:EB,g1
Z528,5,SEC:L02:N007_N010:EB,g1
Z528,7,PLAT:L02:N007:EB,g1
Z528,7,PLAT:L02:N010:EB,g1
Z528,7,SEC:L02:N007_N010:EB,g1
Z529,2,PLAT:L01:N004:EB,g1
Z529,2,PLAT:L01:N009:EB,g1
Z529,2,SEC:L01:N004_N009:EB,g2
Z529,4,PLAT:L01:N004:EB,g1
Z529,4,PLAT:L01:N009:EB,g1
Z529,4,SEC:L01:N004_N009:EB,g1
Z530,1,PLAT:L02:N005:WB,g1
Z530,1,PLAT:L02:N010:WB,g1
Z530,1,SEC:L02:N010_N005:WB,g1
Z530,2,PLAT:L02:N005:WB,g1
Z530,2,PLAT:L02:N010:WB,g1
Z530,2,SEC:L02:N010_N005:WB,g1
