activity_id,week,location_id,co_share_group
Z501,2,PLAT:L01:N002:EB,g1
Z501,2,PLAT:L01:N011:EB,g1
Z501,2,SEC:L01:N011_N002:EB,g1
Z501,7,PLAT:L01:N002:EB,g1
Z501,7,PLAT:L01:N011:EB,g1
Z501,7,SEC:L01:N011_N002:EB,g1
Z501,8,PLAT:L01:N002:EB,g1
Z501,8,PLAT:L01:N011:EB,g1
Z501,8,SEC:L01:N011_N002:EB,g1
Z501,9,PLAT:L01:N002:EB,g1
Z501,9,PLAT:L01:N011:EB,g1
Z501,9,SEC:L01:N011_N002:EB,g1
Z501,10,PLAT:L01:N002:EB,g1
Z501,10,PLAT:L01:N011:EB,g1
Z501,10,SEC:L01:N011_N002:EB,g1
Z501,12,PLAT:L01:N002:EB,g1
Z501,12,PLAT:L01:N011:EB,g1
Z501,12,SEC:L01:N011_N002:EB,g1
Z501,13,PLAT:L01:N002:EB,g1
Z501,13,PLAT:L01:N011:EB,g1
Z501,13,SEC:L01:N011_N002:EB,g1
Z502,22,PLAT:L01:N002:WB,g1
Z502,22,PLAT:L01:N011:WB,g1
Z502,22,SEC:L01:N011_N002:WB,g1
Z502,23,PLAT:L01:N002:WB,g1
Z502,23,PLAT:L01:N011:WB,g1
Z502,23,SEC:L01:N011_N002:WB,g1
Z502,24,PLAT:L01:N002:WB,g1
Z502,24,PLAT:L01:N011:WB,g1
Z502,24,SEC:L01:N011_N002:WB,g1
Z502,25,PLAT:L01:N002:WB,g1
Z502,25,PLAT:L01:N011:WB,g1
Z502,25,SEC:L01:N011_N002:WB,g1
Z502,26,PLAT:L01:N002:WB,g1
Z502,26,PLAT:L01:N011:WB,g1
Z502,26,SEC:L01:N011_N002:WB,g1
Z503,2,PLAT:L02:N005:WB,g1
Z503,2,PLAT:L02:N007:WB,g1
Z503,2,PLAT:L02:N010:WB,g1
Z503,2,SEC:L02:N005_N007:WB,g1
Z503,2,SEC:L02:N007_N010:WB,g1
Z503,5,PLAT:L02:N005:WB,g1
Z503,5,PLAT:L02:N007:WB,g1
Z503,5,PLAT:L02:N010:WB,g1
Z503,5,SEC:L02:N005_N007:WB,g1
Z503,5,SEC:L02:N007_N010:WB,g1
Z503,6,PLAT:L02:N005:WB,g1
Z503,6,PLAT:L02:N007:WB,g1
Z503,6,PLAT:L02:N010:WB,g1
Z503,6,SEC:L02:N005_N007:WB,g1
Z503,6,SEC:L02:N007_N010:WB,g1
Z503,8,PLAT:L02:N005:WB,g1
Z503,8,PLAT:L02:N007:WB,g1
Z503,8,PLAT:L02:N010:WB,g1
Z503,8,SEC:L02:N005_N007:WB,g1
Z503,8,SEC:L02:N007_N010:WB,g1
Z503,9,PLAT:L02:N005:WB,g1
Z503,9,PLAT:L02:N007:WB,g1
Z503,9,PLAT:L02:N010:WB,g1
Z503,9,SEC:L02:N005_N007:WB,g1
Z503,9,SEC:L02:N007_N010:WB,g1
Z503,10,PLAT:L02:N005:WB,g1
Z503,10,PLAT:L02:N007:WB,g1
Z503,10,PLAT:L02:N010:WB,g1
Z503,10,SEC:L02:N005_N007:WB,g1
Z503,10,SEC:L02:N007_N010:WB,g1
Z503,16,PLAT:L02:N005:WB,g1
Z503,16,PLAT:L02:N007:WB,g1
Z503,16,PLAT:L02:N010:WB,g1
Z503,16,SEC:L02:N005_N007:WB,g1
Z503,16,SEC:L02:N007_N010:WB,g1
Z504,12,PLAT:L01:N001:EB,g1
Z504,12,PLAT:L01:N008:EB,g1
Z504,12,PLAT:L01:N017:EB,g1
Z504,12,SEC:L01:N008_N017:EB,g1
Z504,12,SEC:L01:N017_N001:EB,g1
Z504,13,PLAT:L01:N001:EB,g1
Z504,13,PLAT:L01:N008:EB,g1
Z504,13,PLAT:L01:N017:EB,g1
Z504,13,SEC:L01:N008_N017:EB,g1
Z504,13,SEC:L01:N017_N001:EB,g1
Z504,14,PLAT:L01:N001:EB,g1
Z504,14,PLAT:L01:N008:EB,g1
Z504,14,PLAT:L01:N017:EB,g1
Z504,14,SEC:L01:N008_N017:EB,g1
Z504,14,SEC:L01:N017_N001:EB,g1
Z504,15,PLAT:L01:N001:EB,g1
