activity_id,week,location_id,co_share_group
COMP,5,PLAT:LNX:N3:EB,g1
COMP,5,PLAT:LNX:X2:EB,g1
COMP,5,SEC:LNX:X2_N3:EB,g1
DIRECT,2,PLAT:LNX:N3:EB,g1
DIRECT,2,PLAT:LNX:X2:EB,g1
DIRECT,2,SEC:LNX:X2_N3:EB,g1
DIRECT,3,PLAT:LNX:N3:EB,g1
DIRECT,3,PLAT:LNX:X2:EB,g1
DIRECT,3,SEC:LNX:X2_N3:EB,g1
DIRECT,4,PLAT:LNX:N3:EB,g1
DIRECT,4,PLAT:LNX:X2:EB,g1
DIRECT,4,SEC:LNX:X2_N3:EB,g1
FOLLOW,6,PLAT:LNY:S3:WB,g1
FOLLOW,6,PLAT:LNY:S4:WB,g1
FOLLOW,6,PLAT:LNY:X2:WB,g1
FOLLOW,6,SEC:LNY:S3_S4:WB,g1
FOLLOW,6,SEC:LNY:X2_S3:WB,g1
PEER,5,PLAT:LNY:S3:EB,g1
PEER,5,PLAT:LNY:S4:EB,g1
PEER,5,SEC:LNY:S3_S4:EB,g1
