activity_id,week,location_id,co_share_group
Z501,22,PLAT:L02:N015:EB,g1
Z501,22,PLAT:L02:N016:EB,g2
Z501,22,PLAT:L02:N017:EB,g2
Z501,22,SEC:L02:N015_N016:EB,g3
Z501,22,SEC:L02:N016_N017:EB,g1
Z501,23,PLAT:L02:N015:EB,g2
Z501,23,PLAT:L02:N016:EB,g2
Z501,23,PLAT:L02:N017:EB,g2
Z501,23,SEC:L02:N015_N016:EB,g1
Z501,23,SEC:L02:N016_N017:EB,g3
Z502,1,PLAT:L02:N011:WB,g1
Z502,1,PLAT:L02:N012:WB,g1
Z502,1,PLAT:L02:N013:WB,g1
Z502,1,SEC:L02:N011_N012:WB,g1
Z502,1,SEC:L02:N012_N013:WB,g1
Z503,11,PLAT:L02:N001:EB,g1
Z503,11,PLAT:L02:N002:EB,g1
Z503,11,PLAT:L02:N015:EB,g1
Z503,11,PLAT:L02:N016:EB,g1
Z503,11,SEC:L02:N001_N002:EB,g1
Z503,11,SEC:L02:N002_N015:EB,g1
Z503,11,SEC:L02:N015_N016:EB,g1
Z503,12,PLAT:L02:N001:EB,g1
Z503,12,PLAT:L02:N002:EB,g1
Z503,12,PLAT:L02:N015:EB,g1
Z503,12,PLAT:L02:N016:EB,g1
Z503,12,SEC:L02:N001_N002:EB,g1
Z503,12,SEC:L02:N002_N015:EB,g1
Z503,12,SEC:L02:N015_N016:EB,g1
Z503,14,PLAT:L02:N001:EB,g1
Z503,14,PLAT:L02:N002:EB,g1
Z503,14,PLAT:L02:N015:EB,g2
Z503,14,PLAT:L02:N016:EB,g2
Z503,14,SEC:L02:N001_N002:EB,g1
Z503,14,SEC:L02:N002_N015:EB,g1
Z503,14,SEC:L02:N015_N016:EB,g2
Z503,15,PLAT:L02:N001:EB,g1
Z503,15,PLAT:L02:N002:EB,g1
Z503,15,PLAT:L02:N015:EB,g1
Z503,15,PLAT:L02:N016:EB,g1
Z503,15,SEC:L02:N001_N002:EB,g1
Z503,15,SEC:L02:N002_N015:EB,g1
Z503,15,SEC:L02:N015_N016:EB,g2
Z503,16,PLAT:L02:N001:EB,g1
Z503,16,PLAT:L02:N002:EB,g1
Z503,16,PLAT:L02:N015:EB,g1
Z503,16,PLAT:L02:N016:EB,g2
Z503,16,SEC:L02:N001_N002:EB,g1
Z503,16,SEC:L02:N002_N015:EB,g1
Z503,16,SEC:L02:N015_N016:EB,g1
Z504,17,PLAT:L01:N001:EB,g1
Z504,17,PLAT:L01:N005:EB,g1
Z504,17,PLAT:L01:N006:EB,g1
Z504,17,SEC:L01:N005_N006:EB,g1
Z504,17,SEC:L01:N006_N001:EB,g1
Z504,20,PLAT:L01:N001:EB,g1
Z504,20,PLAT:L01:N005:EB,g1
Z504,20,PLAT:L01:N006:EB,g1
Z504,20,SEC:L01:N005_N006:EB,g1
Z504,20,SEC:L01:N006_N001:EB,g1
