activity_id,week,location_id,co_share_group
Z501,21,PLAT:L02:N015:EB,g1
Z501,21,PLAT:L02:N016:EB,g2
Z501,21,PLAT:L02:N017:EB,g1
Z501,21,SEC:L02:N015_N016:EB,g1
Z501,21,SEC:L02:N016_N017:EB,g1
Z501,23,PLAT:L02:N015:EB,g1
Z501,23,PLAT:L02:N016:EB,g1
Z501,23,PLAT:L02:N017:EB,g1
Z501,23,SEC:L02:N015_N016:EB,g1
Z501,23,SEC:L02:N016_N017:EB,g1
Z502,8,PLAT:L02:N011:WB,g1
Z502,8,PLAT:L02:N012:WB,g1
Z502,8,PLAT:L02:N013:WB,g1
Z502,8,SEC:L02:N011_N012:WB,g1
Z502,8,SEC:L02:N012_N013:WB,g1
Z503,11,PLAT:L02:N001:EB,g1
Z503,11,PLAT:L02:N002:EB,g1
Z503,11,PLAT:L02:N015:EB,g1
Z503,11,PLAT:L02:N016:EB,g1
Z503,11,SEC:L02:N001_N002:EB,g1
Z503,11,SEC:L02:N002_N015:EB,g1
Z503,11,SEC:L02:N015_N016:EB,g1
Z503,12,PLAT:L02:N001:EB,g1
Z503,12,PLAT:L02:N002:EB,g1
Z503,12,PLAT:L02:N015:EB,g1
Z503,12,PLAT:L02:N016:EB,g1
Z503,12,SEC:L02:N001_N002:EB,g1
Z503,12,SEC:L02:N002_N015:EB,g1
Z503,12,SEC:L02:N015_N016:EB,g1
Z503,13,PLAT:L02:N001:EB,g1
Z503,13,PLAT:L02:N002:EB,g1
Z503,13,PLAT:L02:N015:EB,g2
Z503,13,PLAT:L02:N016:EB,g2
Z503,13,SEC:L02:N001_N002:EB,g1
Z503,13,SEC:L02:N002_N015:EB,g1
Z503,13,SEC:L02:N015_N016:EB,g2
Z503,14,PLAT:L02:N001:EB,g1
Z503,14,PLAT:L02:N002:EB,g1
Z503,14,PLAT:L02:N015:EB,g1
Z503,14,PLAT:L02:N016:EB,g2
Z503,14,SEC:L02:N001_N002:EB,g1
Z503,14,SEC:L02:N002_N015:EB,g2
Z503,14,SEC:L02:N015_N016:EB,g1
Z503,18,PLAT:L02:N001:EB,g1
Z503,18,PLAT:L02:N002:EB,g1
Z503,18,PLAT:L02:N015:EB,g1
Z503,18,PLAT:L02:N016:EB,g1
Z503,18,SEC:L02:N001_N002:EB,g1
Z503,18,SEC:L02:N002_N015:EB,g2
