scenario,contract_number,simulated_completion_date,overrun_days
A,KHX,2032-01-25,0
A,KHY,2032-05-02,0
A,KIRR,2032-05-02,35
A,KVXE01C1,2032-03-07,0
A,KVXE01C2,2032-02-22,0
A,KVXE01P,2032-04-11,14
A,KVXE02C1,2032-02-22,0
A,KVXE02C2,2032-02-29,0
A,KVXE02P,2032-03-21,0
A,KVXE03C1,2032-03-21,0
A,KVXE03C2,2032-03-07,0
A,KVXE03P,2032-03-28,0
A,KVXE04C1,2032-04-18,21
A,KVXE04C2,2032-02-29,0
A,KVXE04P,2032-03-07,0
A,KVXE05C1,2032-03-14,0
A,KVXE05C2,2032-03-14,0
A,KVXE05P,2032-04-04,7
A,KVXE06C1,2032-03-21,0
A,KVXE06C2,2032-03-28,0
A,KVXE06C3,2032-04-25,28
A,KVXE06P,2032-04-25,28
A,KVXLIVE,2032-04-11,0
A,KVXPM,2032-06-06,28
A,KVXW01C1,2032-03-28,0
A,KVXW01C2,2032-01-18,0
A,KVXW01C3,2032-03-28,0
A,KVXW01P,2032-03-28,0
A,KVXW02C1,2032-05-23,42
A,KVXW02C2,2032-02-22,0
A,KVXW02C3,2032-02-15,0
A,KVXW02P,2032-05-09,28
A,KVXW03C1,2032-02-29,0
A,KVXW03C2,2032-03-21,0
A,KVXW03C3,2032-05-23,42
A,KVXW03P,2032-04-25,14
A,KVXW04C1,2032-02-22,0
A,KVXW04C2,2032-04-25,14
A,KVXW04C3,2032-03-07,0
A,KVXW04P,2032-04-11,0
A,KVXW05C1,2032-02-08,0
A,KVXW05C2,2032-02-29,0
A,KVXW05C3,2032-04-11,0
A,KVXW05P,2032-04-18,7
A,KVXW06C1,2032-04-11,0
A,KVXW06C2,2032-03-28,0
A,KVXW06C3,2032-04-04,0
A,KVXW06P,2032-06-20,70
A,KVYE01C1,2032-02-01,0
A,KVYE01C2,2032-02-01,0
A,KVYE01C3,2032-04-25,28
A,KVYE01P,2032-03-28,0
A,KVYE02C1,2032-02-15,0
A,KVYE02C2,2032-02-15,0
A,KVYE02C3,2032-02-08,0
A,KVYE02P,2032-02-29,0
A,KVYE03C1,2032-03-14,0
A,KVYE03C2,2032-03-21,0
A,KVYE03C3,2032-03-21,0
A,KVYE03P,2032-02-22,0
A,KVYE04C1,2032-04-11,14
A,KVYE04C2,2032-04-11,14
A,KVYE04C3,2032-03-28,0
A,KVYE04P,2032-05-16,49
A,KVYE05C1,2032-03-14,0
A,KVYE05C2,2032-03-28,0
A,KVYE05C3,2032-03-14,0
A,KVYE05P,2032-03-14,0
A,KVYE06C1,2032-03-28,0
A,KVYE06C2,2032-03-21,0
A,KVYE06C3,2032-03-21,0
A,KVYE06P,2032-04-25,28
A,KVYLIVE,2032-04-11,0
A,KVYPM,2032-04-18,0
A,KVYW01C1,2032-04-11,0
A,KVYW01C2,2032-04-04,0
A,KVYW01C3,2032-02-29,0
A,KVYW01P,2032-03-21,0
A,KVYW02C1,2032-01-25,0
A,KVYW02C2,2032-04-04,0
A,KVYW02C3,2032-04-04,0
A,KVYW02P,2032-04-25,14
A,KVYW03C1,2032-03-07,0
A,KVYW03C2,2032-02-29,0
A,KVYW03C3,2032-02-29,0
A,KVYW03P,2032-02-22,0
A,KVYW04C1,2032-06-06,56
A,KVYW04C2,2032-05-16,35
A,KVYW04C3,2032-04-11,0
A,KVYW04P,2032-04-11,0
A,KVYW05C1,2032-03-07,0
A,KVYW05C2,2032-04-11,0
A,KVYW05C3,2032-02-22,0
A,KVYW05P,2032-03-28,0
A,KVYW06C1,2032-03-07,0
A,KVYW06C2,2032-04-18,7
A,KVYW06C3,2032-03-14,0
A,KVYW06P,2032-04-18,7
