activity_id,week,location_id,co_share_group
BC5,1,PLAT:LCB:CB1:EB,g1
BC5,1,PLAT:LCB:CB2:EB,g1
BC5,1,SEC:LCB:CB1_CB2:EB,g1
BC5,2,PLAT:LCB:CB1:EB,g1
BC5,2,PLAT:LCB:CB2:EB,g1
BC5,2,SEC:LCB:CB1_CB2:EB,g1
BC6,1,PLAT:LCB:CB1:EB,g1
BC6,1,PLAT:LCB:CB2:EB,g1
BC6,1,SEC:LCB:CB1_CB2:EB,g1
BC6,2,PLAT:LCB:CB1:EB,g1
BC6,2,PLAT:LCB:CB2:EB,g1
BC6,2,SEC:LCB:CB1_CB2:EB,g1
BC7,1,PLAT:LCB:CB1:EB,g1
BC7,1,PLAT:LCB:CB2:EB,g1
BC7,1,SEC:LCB:CB1_CB2:EB,g1
BC7,2,PLAT:LCB:CB1:EB,g1
BC7,2,PLAT:LCB:CB2:EB,g1
BC7,2,SEC:LCB:CB1_CB2:EB,g1
BPC1,1,PLAT:LCB:CB1:EB,g1
BPC1,1,PLAT:LCB:CB2:EB,g1
BPC1,1,SEC:LCB:CB1_CB2:EB,g4
BPC1,2,PLAT:LCB:CB1:EB,g1
BPC1,2,PLAT:LCB:CB2:EB,g4
BPC1,2,SEC:LCB:CB1_CB2:EB,g4
BPC2,1,PLAT:LCB:CB1:EB,g4
BPC2,1,PLAT:LCB:CB2:EB,g4
BPC2,1,SEC:LCB:CB1_CB2:EB,g3
BPC2,2,PLAT:LCB:CB1:EB,g4
BPC2,2,PLAT:LCB:CB2:EB,g3
BPC2,2,SEC:LCB:CB1_CB2:EB,g3
BPC3,1,PLAT:LCB:CB1:EB,g3
BPC3,1,PLAT:LCB:CB2:EB,g3
BPC3,1,SEC:LCB:CB1_CB2:EB,g2
BPC3,2,PLAT:LCB:CB1:EB,g3
BPC3,2,PLAT:LCB:CB2:EB,g2
BPC3,2,SEC:LCB:CB1_CB2:EB,g2
BPC4,1,PLAT:LCB:CB1:EB,g2
BPC4,1,PLAT:LCB:CB2:EB,g2
BPC4,1,SEC:LCB:CB1_CB2:EB,g1
BPC4,2,PLAT:LCB:CB1:EB,g2
BPC4,2,PLAT:LCB:CB2:EB,g1
BPC4,2,SEC:LCB:CB1_CB2:EB,g1
