activity_id,week,location_id,co_share_group
DX01C1,1,PLAT:LDX:NX3:EB,g1
DX01C1,1,PLAT:LDX:NX4:EB,g1
DX01C1,1,SEC:LDX:NX3_NX4:EB,g1
DX01C1,2,PLAT:LDX:NX3:EB,g1
DX01C1,2,PLAT:LDX:NX4:EB,g1
DX01C1,2,SEC:LDX:NX3_NX4:EB,g1
DX01C2,1,PLAT:LDX:NX3:EB,g1
DX01C2,1,PLAT:LDX:NX4:EB,g1
DX01C2,1,SEC:LDX:NX3_NX4:EB,g1
DX01C2,2,PLAT:LDX:NX3:EB,g1
DX01C2,2,PLAT:LDX:NX4:EB,g1
DX01C2,2,SEC:LDX:NX3_NX4:EB,g1
DX01C3,1,PLAT:LDX:NX3:EB,g1
DX01C3,1,PLAT:LDX:NX4:EB,g1
DX01C3,1,SEC:LDX:NX3_NX4:EB,g1
DX01C3,2,PLAT:LDX:NX3:EB,g1
DX01C3,2,PLAT:LDX:NX4:EB,g1
DX01C3,2,SEC:LDX:NX3_NX4:EB,g1
DX01P,1,PLAT:LDX:NX3:EB,g1
DX01P,1,PLAT:LDX:NX4:EB,g1
DX01P,1,SEC:LDX:NX3_NX4:EB,g1
DX01P,2,PLAT:LDX:NX3:EB,g1
DX01P,2,PLAT:LDX:NX4:EB,g1
DX01P,2,SEC:LDX:NX3_NX4:EB,g1
DX02C1,3,PLAT:LDX:NX3:EB,g1
DX02C1,3,PLAT:LDX:NX4:EB,g1
DX02C1,3,SEC:LDX:NX3_NX4:EB,g1
DX02C1,4,PLAT:LDX:NX3:EB,g1
DX02C1,4,PLAT:LDX:NX4:EB,g1
DX02C1,4,SEC:LDX:NX3_NX4:EB,g1
DX02C2,3,PLAT:LDX:NX3:EB,g1
DX02C2,3,PLAT:LDX:NX4:EB,g1
DX02C2,3,SEC:LDX:NX3_NX4:EB,g1
DX02C2,4,PLAT:LDX:NX3:EB,g1
DX02C2,4,PLAT:LDX:NX4:EB,g1
DX02C2,4,SEC:LDX:NX3_NX4:EB,g1
DX02C3,3,PLAT:LDX:NX3:EB,g1
DX02C3,3,PLAT:LDX:NX4:EB,g1
DX02C3,3,SEC:LDX:NX3_NX4:EB,g1
DX02C3,4,PLAT:LDX:NX3:EB,g1
DX02C3,4,PLAT:LDX:NX4:EB,g1
DX02C3,4,SEC:LDX:NX3_NX4:EB,g1
DX02P,3,PLAT:LDX:NX3:EB,g1
DX02P,3,PLAT:LDX:NX4:EB,g1
DX02P,3,SEC:LDX:NX3_NX4:EB,g1
DX02P,4,PLAT:LDX:NX3:EB,g1
DX02P,4,PLAT:LDX:NX4:EB,g1
DX02P,4,SEC:LDX:NX3_NX4:EB,g1
DX03C1,5,PLAT:LDX:NX3:EB,g1
DX03C1,5,PLAT:LDX:NX4:EB,g1
DX03C1,5,SEC:LDX:NX3_NX4:EB,g1
DX03C1,6,PLAT:LDX:NX3:EB,g1
DX03C1,6,PLAT:LDX:NX4:EB,g1
DX03C1,6,SEC:LDX:NX3_NX4:EB,g1
DX03C2,5,PLAT:LDX:NX3:EB,g1
DX03C2,5,PLAT:LDX:NX4:EB,g1
DX03C2,5,SEC:LDX:NX3_NX4:EB,g1
DX03C2,6,PLAT:LDX:NX3:EB,g1
DX03C2,6,PLAT:LDX:NX4:EB,g1
DX03C2,6,SEC:LDX:NX3_NX4:EB,g1
DX03C3,5,PLAT:LDX:NX3:EB,g1
DX03C3,5,PLAT:LDX:NX4:EB,g1
DX03C3,5,SEC:LDX:NX3_NX4:EB,g1
DX03C3,6,PLAT:LDX:NX3:EB,g1
DX03C3,6,PLAT:LDX:NX4:EB,g1
DX03C3,6,SEC:LDX:NX3_NX4:EB,g1
DX03P,5,PLAT:LDX:NX3:EB,g1
DX03P,5,PLAT:LDX:NX4:EB,g1
DX03P,5,SEC:LDX:NX3_NX4:EB,g1
DX03P,6,PLAT:LDX:NX3:EB,g1
DX03P,6,PLAT:LDX:NX4:EB,g1
DX03P,6,SEC:LDX:NX3_NX4:EB,g1
DX04C1,7,PLAT:LDX:NX3:EB,g1
DX04C1,7,PLAT:LDX:NX4:EB,g1
DX04C1,7,SEC:LDX:NX3_NX4:EB,g1
DX04C1,8,PLAT:LDX:NX3:EB,g1
DX04C1,8,PLAT:LDX:NX4:EB,g1
DX04C1,8,SEC:LDX:NX3_NX4:EB,g1
DX04C2,7,PLAT:LDX:NX3:EB,g1
DX04C2,7,PLAT:LDX:NX4:EB,g1
DX04C2,7,SEC:LDX:NX3_NX4:EB,g1
DX04C2,8,PLAT:LDX:NX3:EB,g1
DX04C2,8,PLAT:LDX:NX4:EB,g1
DX04C2,8,SEC:LDX:NX3_NX4:EB,g1
DX04C3,7,PLAT:LDX:NX3:EB,g1
DX04C3,7,PLAT:LDX:NX4:EB,g1
DX04C3,7,SEC:LDX:NX3_NX4:EB,g1
