activity_id,week,location_id,co_share_group
DX01C1,1,PLAT:LDX:NX3:EB,g1
DX01C1,1,PLAT:LDX:NX4:EB,g1
DX01C1,1,SEC:LDX:NX3_NX4:EB,g1
DX01C1,11,PLAT:LDX:NX3:EB,g1
DX01C1,11,PLAT:LDX:NX4:EB,g1
DX01C1,11,SEC:LDX:NX3_NX4:EB,g1
DX01C2,1,PLAT:LDX:NX3:EB,g1
DX01C2,1,PLAT:LDX:NX4:EB,g1
DX01C2,1,SEC:LDX:NX3_NX4:EB,g1
DX01C2,11,PLAT:LDX:NX3:EB,g1
DX01C2,11,PLAT:LDX:NX4:EB,g1
DX01C2,11,SEC:LDX:NX3_NX4:EB,g1
DX01C3,1,PLAT:LDX:NX3:EB,g1
DX01C3,1,PLAT:LDX:NX4:EB,g1
DX01C3,1,SEC:LDX:NX3_NX4:EB,g1
DX01C3,11,PLAT:LDX:NX3:EB,g1
DX01C3,11,PLAT:LDX:NX4:EB,g1
DX01C3,11,SEC:LDX:NX3_NX4:EB,g1
DX01P,1,PLAT:LDX:NX3:EB,g1
DX01P,1,PLAT:LDX:NX4:EB,g1
DX01P,1,SEC:LDX:NX3_NX4:EB,g1
DX01P,11,PLAT:LDX:NX3:EB,g1
DX01P,11,PLAT:LDX:NX4:EB,g1
DX01P,11,SEC:LDX:NX3_NX4:EB,g1
DX02C1,2,PLAT:LDX:NX3:EB,g1
DX02C1,2,PLAT:LDX:NX4:EB,g1
DX02C1,2,SEC:LDX:NX3_NX4:EB,g1
DX02C1,12,PLAT:LDX:NX3:EB,g1
DX02C1,12,PLAT:LDX:NX4:EB,g1
DX02C1,12,SEC:LDX:NX3_NX4:EB,g1
DX02C2,2,PLAT:LDX:NX3:EB,g1
DX02C2,2,PLAT:LDX:NX4:EB,g1
DX02C2,2,SEC:LDX:NX3_NX4:EB,g1
DX02C2,12,PLAT:LDX:NX3:EB,g1
DX02C2,12,PLAT:LDX:NX4:EB,g1
DX02C2,12,SEC:LDX:NX3_NX4:EB,g1
DX02C3,2,PLAT:LDX:NX3:EB,g1
DX02C3,2,PLAT:LDX:NX4:EB,g1
DX02C3,2,SEC:LDX:NX3_NX4:EB,g1
DX02C3,12,PLAT:LDX:NX3:EB,g1
DX02C3,12,PLAT:LDX:NX4:EB,g1
DX02C3,12,SEC:LDX:NX3_NX4:EB,g1
DX02P,2,PLAT:LDX:NX3:EB,g1
DX02P,2,PLAT:LDX:NX4:EB,g1
DX02P,2,SEC:LDX:NX3_NX4:EB,g1
DX02P,12,PLAT:LDX:NX3:EB,g1
DX02P,12,PLAT:LDX:NX4:EB,g1
DX02P,12,SEC:LDX:NX3_NX4:EB,g1
DX03C1,3,PLAT:LDX:NX3:EB,g1
DX03C1,3,PLAT:LDX:NX4:EB,g1
DX03C1,3,SEC:LDX:NX3_NX4:EB,g1
DX03C1,13,PLAT:LDX:NX3:EB,g1
DX03C1,13,PLAT:LDX:NX4:EB,g1
DX03C1,13,SEC:LDX:NX3_NX4:EB,g1
DX03C2,3,PLAT:LDX:NX3:EB,g1
DX03C2,3,PLAT:LDX:NX4:EB,g1
DX03C2,3,SEC:LDX:NX3_NX4:EB,g1
DX03C2,13,PLAT:LDX:NX3:EB,g1
DX03C2,13,PLAT:LDX:NX4:EB,g1
DX03C2,13,SEC:LDX:NX3_NX4:EB,g1
DX03C3,3,PLAT:LDX:NX3:EB,g1
DX03C3,3,PLAT:LDX:NX4:EB,g1
DX03C3,3,SEC:LDX:NX3_NX4:EB,g1
DX03C3,13,PLAT:LDX:NX3:EB,g1
DX03C3,13,PLAT:LDX:NX4:EB,g1
DX03C3,13,SEC:LDX:NX3_NX4:EB,g1
DX03P,3,PLAT:LDX:NX3:EB,g1
DX03P,3,PLAT:LDX:NX4:EB,g1
DX03P,3,SEC:LDX:NX3_NX4:EB,g1
DX03P,13,PLAT:LDX:NX3:EB,g1
DX03P,13,PLAT:LDX:NX4:EB,g1
DX03P,13,SEC:LDX:NX3_NX4:EB,g1
DX04C1,4,PLAT:LDX:NX3:EB,g1
DX04C1,4,PLAT:LDX:NX4:EB,g1
DX04C1,4,SEC:LDX:NX3_NX4:EB,g1
DX04C1,14,PLAT:LDX:NX3:EB,g1
DX04C1,14,PLAT:LDX:NX4:EB,g1
DX04C1,14,SEC:LDX:NX3_NX4:EB,g1
DX04C2,4,PLAT:LDX:NX3:EB,g1
DX04C2,4,PLAT:LDX:NX4:EB,g1
DX04C2,4,SEC:LDX:NX3_NX4:EB,g1
DX04C2,14,PLAT:LDX:NX3:EB,g1
DX04C2,14,PLAT:LDX:NX4:EB,g1
DX04C2,14,SEC:LDX:NX3_NX4:EB,g1
DX04C3,4,PLAT:LDX:NX3:EB,g1
DX04C3,4,PLAT:LDX:NX4:EB,g1
DX04C3,4,SEC:LDX:NX3_NX4:EB,g1
