activity_id,week,location_id,co_share_group
MX1,1,PLAT:MPX:MPX1:EB,g1
MX1,1,PLAT:MPX:MPX2:EB,g1
MX1,1,SEC:MPX:MPX1_MPX2:EB,g1
MX1,2,PLAT:MPX:MPX1:EB,g1
MX1,2,PLAT:MPX:MPX2:EB,g1
MX1,2,SEC:MPX:MPX1_MPX2:EB,g1
MX2,3,PLAT:MPX:MPX1:EB,g1
MX2,3,PLAT:MPX:MPX2:EB,g1
MX2,3,SEC:MPX:MPX1_MPX2:EB,g1
MX2,4,PLAT:MPX:MPX1:EB,g1
MX2,4,PLAT:MPX:MPX2:EB,g1
MX2,4,SEC:MPX:MPX1_MPX2:EB,g1
MX2,5,PLAT:MPX:MPX1:EB,g1
MX2,5,PLAT:MPX:MPX2:EB,g1
MX2,5,SEC:MPX:MPX1_MPX2:EB,g1
MY1,1,PLAT:MPY:MPY1:EB,g1
MY1,1,PLAT:MPY:MPY2:EB,g1
MY1,1,SEC:MPY:MPY1_MPY2:EB,g1
MY1,2,PLAT:MPY:MPY1:EB,g1
MY1,2,PLAT:MPY:MPY2:EB,g1
MY1,2,SEC:MPY:MPY1_MPY2:EB,g1
MY2,3,PLAT:MPY:MPY1:EB,g1
MY2,3,PLAT:MPY:MPY2:EB,g1
MY2,3,SEC:MPY:MPY1_MPY2:EB,g1
MY2,4,PLAT:MPY:MPY1:EB,g1
MY2,4,PLAT:MPY:MPY2:EB,g1
MY2,4,SEC:MPY:MPY1_MPY2:EB,g1
MY2,5,PLAT:MPY:MPY1:EB,g1
MY2,5,PLAT:MPY:MPY2:EB,g1
MY2,5,SEC:MPY:MPY1_MPY2:EB,g1
