activity_id,contract_number,activity_type,start_location_id,end_location_id,total_accesses,planned_start_date,predecessor_activity_id,activity_priority
CAPGPC6,CAPKGPC6,BudgetCap,SEC:CAPLBG:CAPG1_CAPG2:EB,SEC:CAPLBG:CAPG1_CAPG2:EB,1,2040-01-02,,3
CAPGC12,CAPKGC12,BudgetCap,SEC:CAPLBG:CAPG1_CAPG2:EB,SEC:CAPLBG:CAPG1_CAPG2:EB,1,2040-01-02,,3
CAPGPC1,CAPKGPC1,BudgetCap,SEC:CAPLBG:CAPG1_CAPG2:EB,SEC:CAPLBG:CAPG1_CAPG2:EB,1,2040-01-02,,3
CAPGPC5,CAPKGPC5,BudgetCap,SEC:CAPLBG:CAPG1_CAPG2:EB,SEC:CAPLBG:CAPG1_CAPG2:EB,1,2040-01-02,,3
CAPGPC3,CAPKGPC3,BudgetCap,SEC:CAPLBG:CAPG1_CAPG2:EB,SEC:CAPLBG:CAPG1_CAPG2:EB,1,2040-01-02,,3
CAPGC45,CAPKGC45,BudgetCap,SEC:CAPLBG:CAPG1_CAPG2:EB,SEC:CAPLBG:CAPG1_CAPG2:EB,1,2040-01-02,,3
CAPGPC4,CAPKGPC4,BudgetCap,SEC:CAPLBG:CAPG1_CAPG2:EB,SEC:CAPLBG:CAPG1_CAPG2:EB,1,2040-01-02,,3
CAPGPC7,CAPKGPC7,BudgetCap,SEC:CAPLBG:CAPG1_CAPG2:EB,SEC:CAPLBG:CAPG1_CAPG2:EB,1,2040-01-02,,3
CAPGC56,CAPKGC56,BudgetCap,SEC:CAPLBG:CAPG1_CAPG2:EB,SEC:CAPLBG:CAPG1_CAPG2:EB,1,2040-01-02,,3
CAPGC23,CAPKGC23,BudgetCap,SEC:CAPLBG:CAPG1_CAPG2:EB,SEC:CAPLBG:CAPG1_CAPG2:EB,1,2040-01-02,,3
CAPGPC2,CAPKGPC2,BudgetCap,SEC:CAPLBG:CAPG1_CAPG2:EB,SEC:CAPLBG:CAPG1_CAPG2:EB,1,2040-01-02,,3
CAPGC67,CAPKGC67,BudgetCap,SEC:CAPLBG:CAPG1_CAPG2:EB,SEC:CAPLBG:CAPG1_CAPG2:EB,1,2040-01-02,,3
CAPGC34,CAPKGC34,BudgetCap,SEC:CAPLBG:CAPG1_CAPG2:EB,SEC:CAPLBG:CAPG1_CAPG2:EB,1,2040-01-02,,3
