activity_id,week,location_id,co_share_group
CBDBC5,1,PLAT:CBDLCB:CBDCB1:EB,g4
CBDBC5,1,PLAT:CBDLCB:CBDCB2:EB,g1
CBDBC5,1,SEC:CBDLCB:CBDCB1_CBDCB2:EB,g4
CBDBC5,2,PLAT:CBDLCB:CBDCB1:EB,g2
CBDBC5,2,PLAT:CBDLCB:CBDCB2:EB,g2
CBDBC5,2,SEC:CBDLCB:CBDCB1_CBDCB2:EB,g2
CBDBC6,1,PLAT:CBDLCB:CBDCB1:EB,g1
CBDBC6,1,PLAT:CBDLCB:CBDCB2:EB,g4
CBDBC6,1,SEC:CBDLCB:CBDCB1_CBDCB2:EB,g1
CBDBC6,2,PLAT:CBDLCB:CBDCB1:EB,g2
CBDBC6,2,PLAT:CBDLCB:CBDCB2:EB,g2
CBDBC6,2,SEC:CBDLCB:CBDCB1_CBDCB2:EB,g3
CBDBC7,1,PLAT:CBDLCB:CBDCB1:EB,g3
CBDBC7,1,PLAT:CBDLCB:CBDCB2:EB,g3
CBDBC7,1,SEC:CBDLCB:CBDCB1_CBDCB2:EB,g1
CBDBC7,2,PLAT:CBDLCB:CBDCB1:EB,g4
CBDBC7,2,PLAT:CBDLCB:CBDCB2:EB,g4
CBDBC7,2,SEC:CBDLCB:CBDCB1_CBDCB2:EB,g2
CBDBPC1,1,PLAT:CBDLCB:CBDCB1:EB,g1
CBDBPC1,1,PLAT:CBDLCB:CBDCB2:EB,g3
CBDBPC1,1,SEC:CBDLCB:CBDCB1_CBDCB2:EB,g3
CBDBPC1,2,PLAT:CBDLCB:CBDCB1:EB,g1
CBDBPC1,2,PLAT:CBDLCB:CBDCB2:EB,g2
CBDBPC1,2,SEC:CBDLCB:CBDCB1_CBDCB2:EB,g1
CBDBPC2,1,PLAT:CBDLCB:CBDCB1:EB,g3
CBDBPC2,1,PLAT:CBDLCB:CBDCB2:EB,g1
CBDBPC2,1,SEC:CBDLCB:CBDCB1_CBDCB2:EB,g2
CBDBPC2,2,PLAT:CBDLCB:CBDCB1:EB,g2
CBDBPC2,2,PLAT:CBDLCB:CBDCB2:EB,g4
CBDBPC2,2,SEC:CBDLCB:CBDCB1_CBDCB2:EB,g4
CBDBPC3,1,PLAT:CBDLCB:CBDCB1:EB,g2
CBDBPC3,1,PLAT:CBDLCB:CBDCB2:EB,g4
CBDBPC3,1,SEC:CBDLCB:CBDCB1_CBDCB2:EB,g4
CBDBPC3,2,PLAT:CBDLCB:CBDCB1:EB,g3
CBDBPC3,2,PLAT:CBDLCB:CBDCB2:EB,g3
CBDBPC3,2,SEC:CBDLCB:CBDCB1_CBDCB2:EB,g3
CBDBPC4,1,PLAT:CBDLCB:CBDCB1:EB,g4
CBDBPC4,1,PLAT:CBDLCB:CBDCB2:EB,g2
CBDBPC4,1,SEC:CBDLCB:CBDCB1_CBDCB2:EB,g1
CBDBPC4,2,PLAT:CBDLCB:CBDCB1:EB,g4
CBDBPC4,2,PLAT:CBDLCB:CBDCB2:EB,g1
CBDBPC4,2,SEC:CBDLCB:CBDCB1_CBDCB2:EB,g2
