activity_id,week,location_id,co_share_group
ICBIC12,1,PLAT:ICBLIB:ICBI1:EB,g1
ICBIC12,1,PLAT:ICBLIB:ICBI2:EB,g2
ICBIC12,1,PLAT:ICBLIB:ICBI3:EB,g2
ICBIC12,1,SEC:ICBLIB:ICBI1_ICBI2:EB,g1
ICBIC12,1,SEC:ICBLIB:ICBI2_ICBI3:EB,g1
ICBIC12,2,PLAT:ICBLIB:ICBI1:EB,g1
ICBIC12,2,PLAT:ICBLIB:ICBI2:EB,g2
ICBIC12,2,PLAT:ICBLIB:ICBI3:EB,g2
ICBIC12,2,SEC:ICBLIB:ICBI1_ICBI2:EB,g1
ICBIC12,2,SEC:ICBLIB:ICBI2_ICBI3:EB,g1
ICBIC23,1,PLAT:ICBLIB:ICBI2:EB,g2
ICBIC23,1,PLAT:ICBLIB:ICBI3:EB,g2
ICBIC23,1,PLAT:ICBLIB:ICBI4:EB,g2
ICBIC23,1,SEC:ICBLIB:ICBI2_ICBI3:EB,g1
ICBIC23,1,SEC:ICBLIB:ICBI3_ICBI4:EB,g1
ICBIC23,2,PLAT:ICBLIB:ICBI2:EB,g2
ICBIC23,2,PLAT:ICBLIB:ICBI3:EB,g2
ICBIC23,2,PLAT:ICBLIB:ICBI4:EB,g2
ICBIC23,2,SEC:ICBLIB:ICBI2_ICBI3:EB,g1
ICBIC23,2,SEC:ICBLIB:ICBI3_ICBI4:EB,g1
ICBIC34,1,PLAT:ICBLIB:ICBI3:EB,g2
ICBIC34,1,PLAT:ICBLIB:ICBI4:EB,g2
ICBIC34,1,PLAT:ICBLIB:ICBI5:EB,g1
ICBIC34,1,SEC:ICBLIB:ICBI3_ICBI4:EB,g1
ICBIC34,1,SEC:ICBLIB:ICBI4_ICBI5:EB,g1
ICBIC34,2,PLAT:ICBLIB:ICBI3:EB,g2
ICBIC34,2,PLAT:ICBLIB:ICBI4:EB,g2
ICBIC34,2,PLAT:ICBLIB:ICBI5:EB,g1
ICBIC34,2,SEC:ICBLIB:ICBI3_ICBI4:EB,g1
ICBIC34,2,SEC:ICBLIB:ICBI4_ICBI5:EB,g1
ICBIPC1,1,PLAT:ICBLIB:ICBI1:EB,g1
ICBIPC1,1,PLAT:ICBLIB:ICBI2:EB,g2
ICBIPC1,1,SEC:ICBLIB:ICBI1_ICBI2:EB,g1
ICBIPC1,2,PLAT:ICBLIB:ICBI1:EB,g1
ICBIPC1,2,PLAT:ICBLIB:ICBI2:EB,g1
ICBIPC1,2,SEC:ICBLIB:ICBI1_ICBI2:EB,g1
ICBIPC2,1,PLAT:ICBLIB:ICBI2:EB,g1
ICBIPC2,1,PLAT:ICBLIB:ICBI3:EB,g2
ICBIPC2,1,SEC:ICBLIB:ICBI2_ICBI3:EB,g1
ICBIPC2,2,PLAT:ICBLIB:ICBI2:EB,g2
ICBIPC2,2,PLAT:ICBLIB:ICBI3:EB,g1
ICBIPC2,2,SEC:ICBLIB:ICBI2_ICBI3:EB,g1
ICBIPC3,1,PLAT:ICBLIB:ICBI3:EB,g1
ICBIPC3,1,PLAT:ICBLIB:ICBI4:EB,g1
ICBIPC3,1,SEC:ICBLIB:ICBI3_ICBI4:EB,g1
ICBIPC3,2,PLAT:ICBLIB:ICBI3:EB,g2
ICBIPC3,2,PLAT:ICBLIB:ICBI4:EB,g1
ICBIPC3,2,SEC:ICBLIB:ICBI3_ICBI4:EB,g1
ICBIPC4,1,PLAT:ICBLIB:ICBI4:EB,g2
ICBIPC4,1,PLAT:ICBLIB:ICBI5:EB,g1
ICBIPC4,1,SEC:ICBLIB:ICBI4_ICBI5:EB,g1
ICBIPC4,2,PLAT:ICBLIB:ICBI4:EB,g2
ICBIPC4,2,PLAT:ICBLIB:ICBI5:EB,g1
ICBIPC4,2,SEC:ICBLIB:ICBI4_ICBI5:EB,g1
