activity_id,week,location_id,co_share_group
SYNQ007,12,PLAT:SYNLNX:SYNN3:WB,g1
SYNQ007,12,PLAT:SYNLNX:SYNN4:WB,g1
SYNQ007,12,PLAT:SYNLNX:SYNX2:WB,g1
SYNQ007,12,SEC:SYNLNX:SYNN3_SYNN4:WB,g1
SYNQ007,12,SEC:SYNLNX:SYNX2_SYNN3:WB,g1
SYNQ007,13,PLAT:SYNLNX:SYNN3:WB,g1
SYNQ007,13,PLAT:SYNLNX:SYNN4:WB,g1
SYNQ007,13,PLAT:SYNLNX:SYNX2:WB,g1
SYNQ007,13,SEC:SYNLNX:SYNN3_SYNN4:WB,g1
SYNQ007,13,SEC:SYNLNX:SYNX2_SYNN3:WB,g1
SYNQ002,4,PLAT:SYNLNX:SYNN3:WB,g1
SYNQ002,4,PLAT:SYNLNX:SYNN4:WB,g1
SYNQ002,4,SEC:SYNLNX:SYNN3_SYNN4:WB,g1
SYNQ002,5,PLAT:SYNLNX:SYNN3:WB,g1
SYNQ002,5,PLAT:SYNLNX:SYNN4:WB,g1
SYNQ002,5,SEC:SYNLNX:SYNN3_SYNN4:WB,g1
SYNQ009,4,PLAT:SYNLNX:SYNN3:WB,g1
SYNQ009,4,PLAT:SYNLNX:SYNN4:WB,g1
SYNQ009,4,SEC:SYNLNX:SYNN3_SYNN4:WB,g1
SYNQ009,5,PLAT:SYNLNX:SYNN3:WB,g1
SYNQ009,5,PLAT:SYNLNX:SYNN4:WB,g1
SYNQ009,5,SEC:SYNLNX:SYNN3_SYNN4:WB,g1
