station_id,line_code,seq,is_interchange
SYNN3,SYNLNX,3,0
ICBI5,ICBLIB,5,0
SYNX2,SYNLNX,2,1
PCPN4,PCPLNX,4,0
SYNN4,SYNLNX,4,0
ICBI3,ICBLIB,3,0
SYNX2,SYNLNY,2,1
PCPN3,PCPLNX,3,0
SYNS3,SYNLNY,3,0
SYNX1,SYNLNX,1,1
PCPX1,PCPLNY,1,1
PCPS3,PCPLNY,3,0
ICBI2,ICBLIB,2,0
PCPX2,PCPLNY,2,1
ICBI1,ICBLIB,1,0
CAPG2,CAPLBG,2,0
PCPX2,PCPLNX,2,1
ICBI4,ICBLIB,4,0
ICBI7,ICBLIB,7,0
SYNX1,SYNLNY,1,1
PCPS4,PCPLNY,4,0
PCPX1,PCPLNX,1,1
SYNS4,SYNLNY,4,0
CAPG1,CAPLBG,1,0
CBDCB2,CBDLCB,2,0
CBDCB1,CBDLCB,1,0
ICBI6,ICBLIB,6,0
