contract_number,contract_description,contract_award_date,activity_type,nature_of_activity,contract_priority,contract_completion_date,planned_completion_date,number_of_workfronts,access_type,number_of_maximum_access_per_week
CAPKGPC5,CAP B excess budget GPC5,2039-05-27,BudgetCap,CAP Non-live (Consist),3,2040-01-08,2040-01-08,1,PC,1
CAPKGC56,CAP B excess budget GC56,2039-05-27,BudgetCap,CAP Non-live (Consist),3,2040-01-08,2040-01-08,1,C,1
CAPKGC12,CAP B excess budget GC12,2039-05-27,BudgetCap,CAP Non-live (Consist),3,2040-01-08,2040-01-08,1,C,1
CAPKGPC3,CAP B excess budget GPC3,2039-05-27,BudgetCap,CAP Non-live (Consist),3,2040-01-08,2040-01-08,1,PC,1
CAPKGPC6,CAP B excess budget GPC6,2039-05-27,BudgetCap,CAP Non-live (Consist),3,2040-01-08,2040-01-08,1,PC,1
CAPKGPC2,CAP B excess budget GPC2,2039-05-27,BudgetCap,CAP Non-live (Consist),3,2040-01-08,2040-01-08,1,PC,1
CAPKGC67,CAP B excess budget GC67,2039-05-27,BudgetCap,CAP Non-live (Consist),3,2040-01-08,2040-01-08,1,C,1
CAPKGPC1,CAP B excess budget GPC1,2039-05-27,BudgetCap,CAP Non-live (Consist),3,2040-01-08,2040-01-08,1,PC,1
CAPKGC34,CAP B excess budget GC34,2039-05-27,BudgetCap,CAP Non-live (Consist),3,2040-01-08,2040-01-08,1,C,1
CAPKGPC4,CAP B excess budget GPC4,2039-05-27,BudgetCap,CAP Non-live (Consist),3,2040-01-08,2040-01-08,1,PC,1
CAPKGPC7,CAP B excess budget GPC7,2039-05-27,BudgetCap,CAP Non-live (Consist),3,2040-01-08,2040-01-08,1,PC,1
CAPKGC23,CAP B excess budget GC23,2039-05-27,BudgetCap,CAP Non-live (Consist),3,2040-01-08,2040-01-08,1,C,1
CAPKGC45,CAP B excess budget GC45,2039-05-27,BudgetCap,CAP Non-live (Consist),3,2040-01-08,2040-01-08,1,C,1
