sector_id,line_code,from_station_id,to_station_id,seq,is_shared
SEC:CBDLCB:CBDCB1_CBDCB2,CBDLCB,CBDCB1,CBDCB2,1,0
SEC:SYNLNX:SYNX2_SYNN3,SYNLNX,SYNX2,SYNN3,2,0
SEC:SYNLNX:SYNX1_SYNX2,SYNLNX,SYNX1,SYNX2,1,1
SEC:ICBLIB:ICBI5_ICBI6,ICBLIB,ICBI5,ICBI6,5,0
SEC:CAPLBG:CAPG1_CAPG2,CAPLBG,CAPG1,CAPG2,1,0
SEC:ICBLIB:ICBI1_ICBI2,ICBLIB,ICBI1,ICBI2,1,0
SEC:PCPLNY:PCPX1_PCPX2,PCPLNY,PCPX1,PCPX2,1,1
SEC:PCPLNX:PCPX2_PCPN3,PCPLNX,PCPX2,PCPN3,2,0
SEC:SYNLNY:SYNS3_SYNS4,SYNLNY,SYNS3,SYNS4,3,0
SEC:ICBLIB:ICBI2_ICBI3,ICBLIB,ICBI2,ICBI3,2,0
SEC:PCPLNX:PCPX1_PCPX2,PCPLNX,PCPX1,PCPX2,1,1
SEC:PCPLNY:PCPS3_PCPS4,PCPLNY,PCPS3,PCPS4,3,0
SEC:SYNLNY:SYNX1_SYNX2,SYNLNY,SYNX1,SYNX2,1,1
SEC:ICBLIB:ICBI3_ICBI4,ICBLIB,ICBI3,ICBI4,3,0
SEC:PCPLNY:PCPX2_PCPS3,PCPLNY,PCPX2,PCPS3,2,0
SEC:SYNLNY:SYNX2_SYNS3,SYNLNY,SYNX2,SYNS3,2,0
SEC:ICBLIB:ICBI4_ICBI5,ICBLIB,ICBI4,ICBI5,4,0
SEC:PCPLNX:PCPN3_PCPN4,PCPLNX,PCPN3,PCPN4,3,0
SEC:SYNLNX:SYNN3_SYNN4,SYNLNX,SYNN3,SYNN4,3,0
SEC:ICBLIB:ICBI6_ICBI7,ICBLIB,ICBI6,ICBI7,6,0
