location_id,location_kind,line_code,bound,supply_capacity
PLAT:SYNLNY:SYNX2:WB,platform,SYNLNY,WB,1
PLAT:PCPLNX:PCPN3:EB,platform,PCPLNX,EB,1
SEC:PCPLNX:PCPN3_PCPN4:EB,tunnel sector,PCPLNX,EB,1
PLAT:ICBLIB:ICBI1:EB,platform,ICBLIB,EB,1
SEC:SYNLNY:SYNX1_SYNX2:EB,tunnel sector,SYNLNY,EB,1
PLAT:SYNLNY:SYNS4:WB,platform,SYNLNY,WB,1
SEC:SYNLNX:SYNN3_SYNN4:WB,tunnel sector,SYNLNX,WB,1
PLAT:ICBLIB:ICBI2:EB,platform,ICBLIB,EB,1
PLAT:PCPLNX:PCPX2:EB,platform,PCPLNX,EB,1
PLAT:PCPLNX:PCPN4:EB,platform,PCPLNX,EB,1
SEC:ICBLIB:ICBI5_ICBI6:EB,tunnel sector,ICBLIB,EB,1
PLAT:SYNLNY:SYNS3:EB,platform,SYNLNY,EB,1
PLAT:SYNLNY:SYNX1:EB,platform,SYNLNY,EB,1
PLAT:PCPLNY:PCPS4:WB,platform,PCPLNY,WB,1
PLAT:CAPLBG:CAPG2:EB,platform,CAPLBG,EB,6
PLAT:CBDLCB:CBDCB2:EB,platform,CBDLCB,EB,1
SEC:PCPLNX:PCPX1_PCPX2:EB,tunnel sector,PCPLNX,EB,1
SEC:SYNLNX:SYNX2_SYNN3:WB,tunnel sector,SYNLNX,WB,1
PLAT:SYNLNY:SYNX2:EB,platform,SYNLNY,EB,1
PLAT:PCPLNY:PCPX1:WB,platform,PCPLNY,WB,1
PLAT:SYNLNY:SYNS4:EB,platform,SYNLNY,EB,1
SEC:PCPLNX:PCPX1_PCPX2:WB,tunnel sector,PCPLNX,WB,1
SEC:SYNLNX:SYNX1_SYNX2:EB,tunnel sector,SYNLNX,EB,1
SEC:SYNLNX:SYNX2_SYNN3:EB,tunnel sector,SYNLNX,EB,1
SEC:SYNLNX:SYNX1_SYNX2:WB,tunnel sector,SYNLNX,WB,1
PLAT:SYNLNX:SYNN3:WB,platform,SYNLNX,WB,1
SEC:ICBLIB:ICBI3_ICBI4:EB,tunnel sector,ICBLIB,EB,1
SEC:SYNLNY:SYNS3_SYNS4:EB,tunnel sector,SYNLNY,EB,1
SEC:PCPLNY:PCPX1_PCPX2:EB,tunnel sector,PCPLNY,EB,1
PLAT:PCPLNY:PCPX2:WB,platform,PCPLNY,WB,1
PLAT:SYNLNX:SYNX1:WB,platform,SYNLNX,WB,1
SEC:ICBLIB:ICBI1_ICBI2:EB,tunnel sector,ICBLIB,EB,1
PLAT:SYNLNX:SYNX1:EB,platform,SYNLNX,EB,1
SEC:PCPLNX:PCPX2_PCPN3:WB,tunnel sector,PCPLNX,WB,1
PLAT:SYNLNY:SYNS3:WB,platform,SYNLNY,WB,1
SEC:CBDLCB:CBDCB1_CBDCB2:EB,tunnel sector,CBDLCB,EB,1
PLAT:PCPLNX:PCPN4:WB,platform,PCPLNX,WB,1
PLAT:ICBLIB:ICBI6:EB,platform,ICBLIB,EB,1
PLAT:SYNLNX:SYNN3:EB,platform,SYNLNX,EB,1
PLAT:SYNLNX:SYNX2:EB,platform,SYNLNX,EB,1
PLAT:PCPLNX:PCPX1:WB,platform,PCPLNX,WB,1
SEC:SYNLNX:SYNN3_SYNN4:EB,tunnel sector,SYNLNX,EB,1
SEC:PCPLNY:PCPX2_PCPS3:EB,tunnel sector,PCPLNY,EB,1
SEC:ICBLIB:ICBI4_ICBI5:EB,tunnel sector,ICBLIB,EB,1
PLAT:PCPLNX:PCPN3:WB,platform,PCPLNX,WB,1
SEC:SYNLNY:SYNX1_SYNX2:WB,tunnel sector,SYNLNY,WB,1
PLAT:PCPLNX:PCPX2:WB,platform,PCPLNX,WB,1
PLAT:ICBLIB:ICBI4:EB,platform,ICBLIB,EB,1
PLAT:SYNLNX:SYNN4:WB,platform,SYNLNX,WB,1
SEC:PCPLNY:PCPX2_PCPS3:WB,tunnel sector,PCPLNY,WB,1
PLAT:PCPLNY:PCPS4:EB,platform,PCPLNY,EB,1
SEC:SYNLNY:SYNX2_SYNS3:EB,tunnel sector,SYNLNY,EB,1
SEC:SYNLNY:SYNX2_SYNS3:WB,tunnel sector,SYNLNY,WB,1
PLAT:SYNLNX:SYNX2:WB,platform,SYNLNX,WB,1
