activity_id,week,location_id,co_share_group
Z501,7,PLAT:L01:N004:WB,g1
Z501,7,PLAT:L01:N008:WB,g1
Z501,7,PLAT:L01:N010:WB,g1
Z501,7,SEC:L01:N004_N010:WB,g1
Z501,7,SEC:L01:N008_N004:WB,g1
Z501,8,PLAT:L01:N004:WB,g1
Z501,8,PLAT:L01:N008:WB,g1
Z501,8,PLAT:L01:N010:WB,g1
Z501,8,SEC:L01:N004_N010:WB,g1
Z501,8,SEC:L01:N008_N004:WB,g1
Z502,9,PLAT:L01:N004:WB,g1
Z502,9,PLAT:L01:N010:WB,g1
Z502,9,SEC:L01:N004_N010:WB,g1
Z503,1,PLAT:L04:N013:EB,g3
Z503,1,PLAT:L04:N021:EB,g7
Z503,1,SEC:L04:N013_N021:EB,g5
Z507,1,PLAT:L04:N013:EB,g2
Z507,1,PLAT:L04:N021:EB,g6
Z507,1,SEC:L04:N013_N021:EB,g7
Z508,1,PLAT:L04:N013:EB,g3
Z508,1,PLAT:L04:N021:EB,g4
Z508,1,SEC:L04:N013_N021:EB,g1
Z509,1,PLAT:L04:N013:EB,g4
Z509,1,PLAT:L04:N021:EB,g2
Z509,1,SEC:L04:N013_N021:EB,g6
Z510,1,PLAT:L04:N013:EB,g7
Z510,1,PLAT:L04:N021:EB,g5
Z510,1,SEC:L04:N013_N021:EB,g5
Z511,1,PLAT:L04:N013:EB,g1
Z511,1,PLAT:L04:N021:EB,g5
Z511,1,SEC:L04:N013_N021:EB,g1
Z516,1,PLAT:L04:N013:EB,g1
Z516,1,PLAT:L04:N021:EB,g1
Z516,1,SEC:L04:N013_N021:EB,g3
Z518,1,PLAT:L04:N013:EB,g5
Z518,1,PLAT:L04:N021:EB,g7
Z518,1,SEC:L04:N013_N021:EB,g4
Z519,1,PLAT:L04:N013:EB,g1
Z519,1,PLAT:L04:N021:EB,g6
Z519,1,SEC:L04:N013_N021:EB,g5
Z522,1,PLAT:L04:N013:EB,g4
Z522,1,PLAT:L04:N021:EB,g5
Z522,1,SEC:L04:N013_N021:EB,g4
Z532,1,PLAT:L04:N013:EB,g6
Z532,1,PLAT:L04:N021:EB,g3
Z532,1,SEC:L04:N013_N021:EB,g2
Z535,1,PLAT:L04:N013:EB,g6
Z535,1,PLAT:L04:N021:EB,g7
Z535,1,SEC:L04:N013_N021:EB,g1
Z538,1,PLAT:L04:N013:EB,g5
Z538,1,PLAT:L04:N021:EB,g7
Z538,1,SEC:L04:N013_N021:EB,g7
Z504,1,PLAT:L02:N009:EB,g2
Z504,1,PLAT:L02:N015:EB,g2
Z504,1,PLAT:L02:N019:EB,g1
Z504,1,SEC:L02:N009_N015:EB,g1
Z504,1,SEC:L02:N019_N009:EB,g1
Z504,2,PLAT:L02:N009:EB,g2
Z504,2,PLAT:L02:N015:EB,g2
Z504,2,PLAT:L02:N019:EB,g1
Z504,2,SEC:L02:N009_N015:EB,g1
Z504,2,SEC:L02:N019_N009:EB,g1
Z514,1,PLAT:L02:N014:EB,g1
Z514,1,PLAT:L02:N017:EB,g1
Z514,1,SEC:L02:N014_N017:EB,g1
Z514,2,PLAT:L02:N014:EB,g1
Z514,2,PLAT:L02:N017:EB,g1
Z514,2,SEC:L02:N014_N017:EB,g1
Z520,1,PLAT:L02:N009:EB,g2
Z520,1,PLAT:L02:N014:EB,g2
Z520,1,PLAT:L02:N015:EB,g2
Z520,1,SEC:L02:N009_N015:EB,g1
Z520,1,SEC:L02:N015_N014:EB,g1
