activity_id,contract_number,activity_type,start_location_id,end_location_id,total_accesses,planned_start_date,predecessor_activity_id,activity_priority
Z516,K540,BudgetCap,SEC:L04:N013_N021:EB,SEC:L04:N013_N021:EB,1,2040-01-02,,3
Z535,K506,BudgetCap,SEC:L04:N013_N021:EB,SEC:L04:N013_N021:EB,1,2040-01-02,,3
Z522,K522,BudgetCap,SEC:L04:N013_N021:EB,SEC:L04:N013_N021:EB,1,2040-01-02,,3
Z519,K532,BudgetCap,SEC:L04:N013_N021:EB,SEC:L04:N013_N021:EB,1,2040-01-02,,3
Z538,K536,BudgetCap,SEC:L04:N013_N021:EB,SEC:L04:N013_N021:EB,1,2040-01-02,,3
Z507,K516,BudgetCap,SEC:L04:N013_N021:EB,SEC:L04:N013_N021:EB,1,2040-01-02,,3
Z503,K530,BudgetCap,SEC:L04:N013_N021:EB,SEC:L04:N013_N021:EB,1,2040-01-02,,3
Z509,K535,BudgetCap,SEC:L04:N013_N021:EB,SEC:L04:N013_N021:EB,1,2040-01-02,,3
Z510,K533,BudgetCap,SEC:L04:N013_N021:EB,SEC:L04:N013_N021:EB,1,2040-01-02,,3
Z532,K525,BudgetCap,SEC:L04:N013_N021:EB,SEC:L04:N013_N021:EB,1,2040-01-02,,3
Z508,K503,BudgetCap,SEC:L04:N013_N021:EB,SEC:L04:N013_N021:EB,1,2040-01-02,,3
Z518,K521,BudgetCap,SEC:L04:N013_N021:EB,SEC:L04:N013_N021:EB,1,2040-01-02,,3
Z511,K504,BudgetCap,SEC:L04:N013_N021:EB,SEC:L04:N013_N021:EB,1,2040-01-02,,3
