activity_id,week,location_id,co_share_group
Z506,1,PLAT:L05:N005:EB,g1
Z506,1,PLAT:L05:N012:EB,g2
Z506,1,SEC:L05:N012_N005:EB,g3
Z506,2,PLAT:L05:N005:EB,g2
Z506,2,PLAT:L05:N012:EB,g1
Z506,2,SEC:L05:N012_N005:EB,g1
Z513,1,PLAT:L05:N005:EB,g3
Z513,1,PLAT:L05:N012:EB,g4
Z513,1,SEC:L05:N012_N005:EB,g1
Z513,2,PLAT:L05:N005:EB,g2
Z513,2,PLAT:L05:N012:EB,g1
Z513,2,SEC:L05:N012_N005:EB,g2
Z521,1,PLAT:L05:N005:EB,g3
Z521,1,PLAT:L05:N012:EB,g2
Z521,1,SEC:L05:N012_N005:EB,g1
Z521,2,PLAT:L05:N005:EB,g4
Z521,2,PLAT:L05:N012:EB,g4
Z521,2,SEC:L05:N012_N005:EB,g3
Z525,1,PLAT:L05:N005:EB,g1
Z525,1,PLAT:L05:N012:EB,g2
Z525,1,SEC:L05:N012_N005:EB,g4
Z525,2,PLAT:L05:N005:EB,g1
Z525,2,PLAT:L05:N012:EB,g3
Z525,2,SEC:L05:N012_N005:EB,g4
Z537,1,PLAT:L05:N005:EB,g4
Z537,1,PLAT:L05:N012:EB,g3
Z537,1,SEC:L05:N012_N005:EB,g3
Z537,2,PLAT:L05:N005:EB,g3
Z537,2,PLAT:L05:N012:EB,g4
Z537,2,SEC:L05:N012_N005:EB,g3
Z539,1,PLAT:L05:N005:EB,g2
Z539,1,PLAT:L05:N012:EB,g2
Z539,1,SEC:L05:N012_N005:EB,g3
Z539,2,PLAT:L05:N005:EB,g1
Z539,2,PLAT:L05:N012:EB,g3
Z539,2,SEC:L05:N012_N005:EB,g1
Z542,1,PLAT:L05:N005:EB,g2
Z542,1,PLAT:L05:N012:EB,g1
Z542,1,SEC:L05:N012_N005:EB,g2
Z542,2,PLAT:L05:N005:EB,g4
Z542,2,PLAT:L05:N012:EB,g2
Z542,2,SEC:L05:N012_N005:EB,g1
