scenario,contract_number,simulated_completion_date,overrun_days
A,AGGKC1,2040-02-12,14
A,AGGKC2,2040-03-25,28
A,AGGKC3,2040-05-06,42
A,FPDKCOMP,2040-02-05,0
A,FPDKDIRECT,2040-01-29,0
A,FPDKFOLLOW,2040-02-12,0
A,IRRKIC12,2040-01-22,7
A,IRRKIC23,2040-01-22,7
A,IRRKIC34,2040-01-22,7
A,IRRKIPC1,2040-01-22,7
A,IRRKIPC2,2040-02-12,28
A,IRRKIPC3,2040-01-22,7
A,IRRKIPC4,2040-02-12,28
A,IRRKIPM6,2040-02-05,7
A,MPAKMX1,2040-01-22,14
A,MPAKMX2,2040-02-12,35
A,MPAKMY1,2040-01-22,14
A,MPAKMY2,2040-02-12,35
A,PCPKCHAIN,2040-02-12,0
A,PCPKCOMP,2040-02-05,0
A,PCPKDIRECT,2040-01-29,0
A,PCPKPREPEER,2040-01-08,0
A,PRDKLATE,2040-01-15,0
A,PRDKPRE,2040-01-08,0
