activity_id,week,location_id,co_share_group
AGGTC11,1,PLAT:AGGLCZ:AGGV1:EB,g1
AGGTC11,1,PLAT:AGGLCZ:AGGV2:EB,g1
AGGTC11,1,PLAT:AGGLCZ:AGGV3:EB,g1
AGGTC11,1,SEC:AGGLCZ:AGGV1_AGGV2:EB,g1
AGGTC11,1,SEC:AGGLCZ:AGGV2_AGGV3:EB,g1
AGGTC11,2,PLAT:AGGLCZ:AGGV1:EB,g1
AGGTC11,2,PLAT:AGGLCZ:AGGV2:EB,g1
AGGTC11,2,PLAT:AGGLCZ:AGGV3:EB,g1
AGGTC11,2,SEC:AGGLCZ:AGGV1_AGGV2:EB,g1
AGGTC11,2,SEC:AGGLCZ:AGGV2_AGGV3:EB,g1
AGGTC11,3,PLAT:AGGLCZ:AGGV1:EB,g1
AGGTC11,3,PLAT:AGGLCZ:AGGV2:EB,g1
AGGTC11,3,PLAT:AGGLCZ:AGGV3:EB,g1
AGGTC11,3,SEC:AGGLCZ:AGGV1_AGGV2:EB,g1
AGGTC11,3,SEC:AGGLCZ:AGGV2_AGGV3:EB,g1
AGGTC12,4,PLAT:AGGLCZ:AGGV1:EB,g2
AGGTC12,4,PLAT:AGGLCZ:AGGV2:EB,g2
AGGTC12,4,PLAT:AGGLCZ:AGGV3:EB,g2
AGGTC12,4,SEC:AGGLCZ:AGGV1_AGGV2:EB,g2
AGGTC12,4,SEC:AGGLCZ:AGGV2_AGGV3:EB,g1
AGGTC12,5,PLAT:AGGLCZ:AGGV1:EB,g2
AGGTC12,5,PLAT:AGGLCZ:AGGV2:EB,g2
AGGTC12,5,PLAT:AGGLCZ:AGGV3:EB,g2
AGGTC12,5,SEC:AGGLCZ:AGGV1_AGGV2:EB,g2
AGGTC12,5,SEC:AGGLCZ:AGGV2_AGGV3:EB,g2
AGGTC21,4,PLAT:AGGLCZ:AGGV1:EB,g1
AGGTC21,4,PLAT:AGGLCZ:AGGV2:EB,g1
AGGTC21,4,PLAT:AGGLCZ:AGGV3:EB,g1
AGGTC21,4,SEC:AGGLCZ:AGGV1_AGGV2:EB,g1
AGGTC21,4,SEC:AGGLCZ:AGGV2_AGGV3:EB,g2
AGGTC21,5,PLAT:AGGLCZ:AGGV1:EB,g1
AGGTC21,5,PLAT:AGGLCZ:AGGV2:EB,g1
AGGTC21,5,PLAT:AGGLCZ:AGGV3:EB,g1
AGGTC21,5,SEC:AGGLCZ:AGGV1_AGGV2:EB,g1
AGGTC21,5,SEC:AGGLCZ:AGGV2_AGGV3:EB,g1
AGGTC22,6,PLAT:AGGLCZ:AGGV1:EB,g1
AGGTC22,6,PLAT:AGGLCZ:AGGV2:EB,g1
AGGTC22,6,PLAT:AGGLCZ:AGGV3:EB,g1
AGGTC22,6,SEC:AGGLCZ:AGGV1_AGGV2:EB,g1
AGGTC22,6,SEC:AGGLCZ:AGGV2_AGGV3:EB,g1
AGGTC22,7,PLAT:AGGLCZ:AGGV1:EB,g1
AGGTC22,7,PLAT:AGGLCZ:AGGV2:EB,g1
AGGTC22,7,PLAT:AGGLCZ:AGGV3:EB,g1
AGGTC22,7,SEC:AGGLCZ:AGGV1_AGGV2:EB,g1
AGGTC22,7,SEC:AGGLCZ:AGGV2_AGGV3:EB,g1
AGGTC22,8,PLAT:AGGLCZ:AGGV1:EB,g1
AGGTC22,8,PLAT:AGGLCZ:AGGV2:EB,g1
AGGTC22,8,PLAT:AGGLCZ:AGGV3:EB,g1
AGGTC22,8,SEC:AGGLCZ:AGGV1_AGGV2:EB,g1
AGGTC22,8,SEC:AGGLCZ:AGGV2_AGGV3:EB,g1
AGGTC31,9,PLAT:AGGLCZ:AGGV1:EB,g1
AGGTC31,9,PLAT:AGGLCZ:AGGV2:EB,g1
AGGTC31,9,PLAT:AGGLCZ:AGGV3:EB,g1
AGGTC31,9,SEC:AGGLCZ:AGGV1_AGGV2:EB,g1
AGGTC31,9,SEC:AGGLCZ:AGGV2_AGGV3:EB,g1
AGGTC31,10,PLAT:AGGLCZ:AGGV1:EB,g1
AGGTC31,10,PLAT:AGGLCZ:AGGV2:EB,g1
AGGTC31,10,PLAT:AGGLCZ:AGGV3:EB,g1
AGGTC31,10,SEC:AGGLCZ:AGGV1_AGGV2:EB,g1
AGGTC31,10,SEC:AGGLCZ:AGGV2_AGGV3:EB,g1
AGGTC31,13,PLAT:AGGLCZ:AGGV1:EB,g1
AGGTC31,13,PLAT:AGGLCZ:AGGV2:EB,g1
AGGTC31,13,PLAT:AGGLCZ:AGGV3:EB,g1
AGGTC31,13,SEC:AGGLCZ:AGGV1_AGGV2:EB,g1
AGGTC31,13,SEC:AGGLCZ:AGGV2_AGGV3:EB,g1
AGGTC32,11,PLAT:AGGLCZ:AGGV1:EB,g1
AGGTC32,11,PLAT:AGGLCZ:AGGV2:EB,g1
AGGTC32,11,PLAT:AGGLCZ:AGGV3:EB,g1
AGGTC32,11,SEC:AGGLCZ:AGGV1_AGGV2:EB,g1
