activity_id,week,location_id,co_share_group
AGGTC11,3,PLAT:AGGLCZ:AGGV1:EB,g1
AGGTC11,3,PLAT:AGGLCZ:AGGV2:EB,g1
AGGTC11,3,PLAT:AGGLCZ:AGGV3:EB,g1
AGGTC11,3,SEC:AGGLCZ:AGGV1_AGGV2:EB,g1
AGGTC11,3,SEC:AGGLCZ:AGGV2_AGGV3:EB,g1
AGGTC11,4,PLAT:AGGLCZ:AGGV1:EB,g1
AGGTC11,4,PLAT:AGGLCZ:AGGV2:EB,g2
AGGTC11,4,PLAT:AGGLCZ:AGGV3:EB,g2
AGGTC11,4,SEC:AGGLCZ:AGGV1_AGGV2:EB,g1
AGGTC11,4,SEC:AGGLCZ:AGGV2_AGGV3:EB,g2
AGGTC12,1,PLAT:AGGLCZ:AGGV1:EB,g1
AGGTC12,1,PLAT:AGGLCZ:AGGV2:EB,g1
AGGTC12,1,PLAT:AGGLCZ:AGGV3:EB,g1
AGGTC12,1,SEC:AGGLCZ:AGGV1_AGGV2:EB,g1
AGGTC12,1,SEC:AGGLCZ:AGGV2_AGGV3:EB,g1
AGGTC12,2,PLAT:AGGLCZ:AGGV1:EB,g2
AGGTC12,2,PLAT:AGGLCZ:AGGV2:EB,g1
AGGTC12,2,PLAT:AGGLCZ:AGGV3:EB,g2
AGGTC12,2,SEC:AGGLCZ:AGGV1_AGGV2:EB,g2
AGGTC12,2,SEC:AGGLCZ:AGGV2_AGGV3:EB,g2
AGGTC12,5,PLAT:AGGLCZ:AGGV1:EB,g1
AGGTC12,5,PLAT:AGGLCZ:AGGV2:EB,g1
AGGTC12,5,PLAT:AGGLCZ:AGGV3:EB,g1
AGGTC12,5,SEC:AGGLCZ:AGGV1_AGGV2:EB,g1
AGGTC12,5,SEC:AGGLCZ:AGGV2_AGGV3:EB,g1
AGGTC21,6,PLAT:AGGLCZ:AGGV1:EB,g2
AGGTC21,6,PLAT:AGGLCZ:AGGV2:EB,g1
