activity_id,week,location_id,co_share_group
AGGTC11,2,PLAT:AGGLCZ:AGGV1:EB,g1
AGGTC11,2,PLAT:AGGLCZ:AGGV2:EB,g1
AGGTC11,2,PLAT:AGGLCZ:AGGV3:EB,g1
AGGTC11,2,SEC:AGGLCZ:AGGV1_AGGV2:EB,g1
AGGTC11,2,SEC:AGGLCZ:AGGV2_AGGV3:EB,g1
AGGTC11,3,PLAT:AGGLCZ:AGGV1:EB,g1
AGGTC11,3,PLAT:AGGLCZ:AGGV2:EB,g1
AGGTC11,3,PLAT:AGGLCZ:AGGV3:EB,g1
AGGTC11,3,SEC:AGGLCZ:AGGV1_AGGV2:EB,g1
AGGTC11,3,SEC:AGGLCZ:AGGV2_AGGV3:EB,g1
AGGTC12,4,PLAT:AGGLCZ:AGGV1:EB,g1
AGGTC12,4,PLAT:AGGLCZ:AGGV2:EB,g1
AGGTC12,4,PLAT:AGGLCZ:AGGV3:EB,g1
AGGTC12,4,SEC:AGGLCZ:AGGV1_AGGV2:EB,g1
AGGTC12,4,SEC:AGGLCZ:AGGV2_AGGV3:EB,g1
AGGTC12,5,PLAT:AGGLCZ:AGGV1:EB,g1
AGGTC12,5,PLAT:AGGLCZ:AGGV2:EB,g1
AGGTC12,5,PLAT:AGGLCZ:AGGV3:EB,g1
AGGTC12,5,SEC:AGGLCZ:AGGV1_AGGV2:EB,g1
AGGTC12,5,SEC:AGGLCZ:AGGV2_AGGV3:EB,g1
AGGTC12,8,PLAT:AGGLCZ:AGGV1:EB,g1
AGGTC12,8,PLAT:AGGLCZ:AGGV2:EB,g1
AGGTC12,8,PLAT:AGGLCZ:AGGV3:EB,g1
AGGTC12,8,SEC:AGGLCZ:AGGV1_AGGV2:EB,g1
AGGTC12,8,SEC:AGGLCZ:AGGV2_AGGV3:EB,g1
AGGTC21,1,PLAT:AGGLCZ:AGGV1:EB,g1
AGGTC21,1,PLAT:AGGLCZ:AGGV2:EB,g1
AGGTC21,1,PLAT:AGGLCZ:AGGV3:EB,g1
AGGTC21,1,SEC:AGGLCZ:AGGV1_AGGV2:EB,g1
AGGTC21,1,SEC:AGGLCZ:AGGV2_AGGV3:EB,g1
AGGTC21,6,PLAT:AGGLCZ:AGGV1:EB,g1
AGGTC21,6,PLAT:AGGLCZ:AGGV2:EB,g1
AGGTC21,6,PLAT:AGGLCZ:AGGV3:EB,g1
AGGTC21,6,SEC:AGGLCZ:AGGV1_AGGV2:EB,g1
AGGTC21,6,SEC:AGGLCZ:AGGV2_AGGV3:EB,g1
AGGTC21,7,PLAT:AGGLCZ:AGGV1:EB,g1
AGGTC21,7,PLAT:AGGLCZ:AGGV2:EB,g1
AGGTC21,7,PLAT:AGGLCZ:AGGV3:EB,g1
AGGTC21,7,SEC:AGGLCZ:AGGV1_AGGV2:EB,g1
AGGTC21,7,SEC:AGGLCZ:AGGV2_AGGV3:EB,g1
AGGTC22,9,PLAT:AGGLCZ:AGGV1:EB,g1
AGGTC22,9,PLAT:AGGLCZ:AGGV2:EB,g1
AGGTC22,9,PLAT:AGGLCZ:AGGV3:EB,g1
AGGTC22,9,SEC:AGGLCZ:AGGV1_AGGV2:EB,g1
AGGTC22,9,SEC:AGGLCZ:AGGV2_AGGV3:EB,g1
AGGTC22,10,PLAT:AGGLCZ:AGGV1:EB,g1
AGGTC22,10,PLAT:AGGLCZ:AGGV2:EB,g1
AGGTC22,10,PLAT:AGGLCZ:AGGV3:EB,g1
AGGTC22,10,SEC:AGGLCZ:AGGV1_AGGV2:EB,g1
AGGTC22,10,SEC:AGGLCZ:AGGV2_AGGV3:EB,g1
AGGTC22,11,PLAT:AGGLCZ:AGGV1:EB,g1
AGGTC22,11,PLAT:AGGLCZ:AGGV2:EB,g1
AGGTC22,11,PLAT:AGGLCZ:AGGV3:EB,g1
AGGTC22,11,SEC:AGGLCZ:AGGV1_AGGV2:EB,g1
AGGTC22,11,SEC:AGGLCZ:AGGV2_AGGV3:EB,g1
AGGTC31,12,PLAT:AGGLCZ:AGGV1:EB,g1
AGGTC31,12,PLAT:AGGLCZ:AGGV2:EB,g1
