activity_id,week,location_id,co_share_group
AGGTC11,4,PLAT:AGGLCZ:AGGV1:EB,g1
AGGTC11,4,PLAT:AGGLCZ:AGGV2:EB,g2
AGGTC11,4,PLAT:AGGLCZ:AGGV3:EB,g2
AGGTC11,4,SEC:AGGLCZ:AGGV1_AGGV2:EB,g1
AGGTC11,4,SEC:AGGLCZ:AGGV2_AGGV3:EB,g2
AGGTC11,10,PLAT:AGGLCZ:AGGV1:EB,g1
AGGTC11,10,PLAT:AGGLCZ:AGGV2:EB,g1
AGGTC11,10,PLAT:AGGLCZ:AGGV3:EB,g1
AGGTC11,10,SEC:AGGLCZ:AGGV1_AGGV2:EB,g1
AGGTC11,10,SEC:AGGLCZ:AGGV2_AGGV3:EB,g1
AGGTC11,13,PLAT:AGGLCZ:AGGV1:EB,g1
AGGTC11,13,PLAT:AGGLCZ:AGGV2:EB,g1
AGGTC11,13,PLAT:AGGLCZ:AGGV3:EB,g1
AGGTC11,13,SEC:AGGLCZ:AGGV1_AGGV2:EB,g1
AGGTC11,13,SEC:AGGLCZ:AGGV2_AGGV3:EB,g1
AGGTC12,11,PLAT:AGGLCZ:AGGV1:EB,g1
AGGTC12,11,PLAT:AGGLCZ:AGGV2:EB,g1
AGGTC12,11,PLAT:AGGLCZ:AGGV3:EB,g1
AGGTC12,11,SEC:AGGLCZ:AGGV1_AGGV2:EB,g1
AGGTC12,11,SEC:AGGLCZ:AGGV2_AGGV3:EB,g1
AGGTC12,14,PLAT:AGGLCZ:AGGV1:EB,g2
AGGTC12,14,PLAT:AGGLCZ:AGGV2:EB,g1
AGGTC12,14,PLAT:AGGLCZ:AGGV3:EB,g2
AGGTC12,14,SEC:AGGLCZ:AGGV1_AGGV2:EB,g2
AGGTC12,14,SEC:AGGLCZ:AGGV2_AGGV3:EB,g1
AGGTC12,15,PLAT:AGGLCZ:AGGV1:EB,g1
AGGTC12,15,PLAT:AGGLCZ:AGGV2:EB,g1
AGGTC12,15,PLAT:AGGLCZ:AGGV3:EB,g1
AGGTC12,15,SEC:AGGLCZ:AGGV1_AGGV2:EB,g1
AGGTC12,15,SEC:AGGLCZ:AGGV2_AGGV3:EB,g1
AGGTC21,1,PLAT:AGGLCZ:AGGV1:EB,g1
AGGTC21,1,PLAT:AGGLCZ:AGGV2:EB,g1
AGGTC21,1,PLAT:AGGLCZ:AGGV3:EB,g1
AGGTC21,1,SEC:AGGLCZ:AGGV1_AGGV2:EB,g1
AGGTC21,1,SEC:AGGLCZ:AGGV2_AGGV3:EB,g1
AGGTC21,6,PLAT:AGGLCZ:AGGV1:EB,g1
AGGTC21,6,PLAT:AGGLCZ:AGGV2:EB,g1
AGGTC21,6,PLAT:AGGLCZ:AGGV3:EB,g1
AGGTC21,6,SEC:AGGLCZ:AGGV1_AGGV2:EB,g1
AGGTC21,6,SEC:AGGLCZ:AGGV2_AGGV3:EB,g1
AGGTC21,7,PLAT:AGGLCZ:AGGV1:EB,g1
AGGTC21,7,PLAT:AGGLCZ:AGGV2:EB,g1
AGGTC21,7,PLAT:AGGLCZ:AGGV3:EB,g1
AGGTC21,7,SEC:AGGLCZ:AGGV1_AGGV2:EB,g1
