station_id,line_code,seq,is_interchange
PCPX2,PCPLNY,2,1
MPAMPY2,MPAMPY,2,0
PCPN3,PCPLNX,3,0
IRRI6,IRRLIB,6,0
MPAMPX2,MPAMPX,2,0
AGGV2,AGGLCZ,2,0
IRRI1,IRRLIB,1,0
FPDN3,FPDLNX,3,0
MPAMPY1,MPAMPY,1,0
FPDN4,FPDLNX,4,0
MPAMPX1,MPAMPX,1,0
PRDS4,PRDLNY,4,0
FPDS3,FPDLNY,3,0
FPDX2,FPDLNX,2,1
FPDX1,FPDLNX,1,1
FPDX1,FPDLNY,1,1
PRDS3,PRDLNY,3,0
IRRI2,IRRLIB,2,0
AGGV1,AGGLCZ,1,0
PRDX1,PRDLNY,1,1
IRRI4,IRRLIB,4,0
IRRI3,IRRLIB,3,0
PRDX2,PRDLNX,2,1
FPDS4,FPDLNY,4,0
IRRI7,IRRLIB,7,0
PRDX2,PRDLNY,2,1
PCPX1,PCPLNY,1,1
AGGV3,AGGLCZ,3,0
IRRI5,IRRLIB,5,0
PRDN4,PRDLNX,4,0
PRDX1,PRDLNX,1,1
PCPN4,PCPLNX,4,0
PRDN3,PRDLNX,3,0
PCPX2,PCPLNX,2,1
PCPS4,PCPLNY,4,0
PCPS3,PCPLNY,3,0
PCPX1,PCPLNX,1,1
FPDX2,FPDLNY,2,1
