activity_id,access_seq,week,eclo,access_night
AGGTC11,1,1,0,1
AGGTC11,2,4,0,1
AGGTC11,3,5,0,1
AGGTC12,1,2,1,1
AGGTC12,2,3,1,1
AGGTC21,1,4,0,1
AGGTC21,2,5,0,1
AGGTC21,3,6,0,1
AGGTC22,1,2,0,1
AGGTC22,2,3,0,1
AGGTC22,3,7,0,1
AGGTC31,1,9,0,1
AGGTC31,2,11,0,1
AGGTC31,3,13,0,1
AGGTC32,1,8,0,1
AGGTC32,2,10,0,1
AGGTC32,3,12,0,1
FPDCOMP,1,9,0,1
FPDDIRECT,1,2,0,1
FPDDIRECT,2,3,0,1
FPDDIRECT,3,4,0,1
FPDFOLLOW,1,10,0,1
IRRIC12,1,1,0,1
IRRIC12,2,2,0,1
IRRIC12,3,3,0,1
IRRIC23,1,1,0,1
IRRIC23,2,2,0,1
IRRIC23,3,3,0,1
IRRIC34,1,1,0,1
IRRIC34,2,2,0,1
IRRIC34,3,3,0,1
IRRIPC1,1,1,1,1
IRRIPC1,2,2,1,1
IRRIPC2,1,1,0,1
IRRIPC2,2,3,0,1
IRRIPC2,3,4,0,1
IRRIPC3,1,1,0,1
IRRIPC3,2,2,0,1
IRRIPC3,3,3,0,1
IRRIPC4,1,1,1,1
IRRIPC4,2,2,1,1
IRRIPM6,1,3,0,1
IRRIPM6,2,4,0,1
IRRIPM6,3,5,0,1
MPAMX1,1,1,0,1
MPAMX1,2,2,0,1
MPAMX1,3,3,0,1
MPAMX2,1,3,1,1
MPAMX2,2,4,1,1
MPAMY1,1,1,1,1
MPAMY1,2,2,1,1
MPAMY2,1,3,0,1
MPAMY2,2,4,0,1
MPAMY2,3,5,0,1
PCPCOMP,1,5,0,1
PCPDIRECT,1,2,0,1
PCPDIRECT,2,3,0,1
PCPDIRECT,3,4,0,1
PCPFOLLOW,1,6,0,1
PCPPEER,1,5,0,1
PCPPREPEER,1,3,0,1
PRDPRED,1,1,0,1
PRDSUCC,1,2,0,1
