activity_id,week,location_id,co_share_group
MPAMX1,1,PLAT:MPAMPX:MPAMPX1:EB,g1
MPAMX1,1,PLAT:MPAMPX:MPAMPX2:EB,g1
MPAMX1,1,SEC:MPAMPX:MPAMPX1_MPAMPX2:EB,g1
MPAMX1,2,PLAT:MPAMPX:MPAMPX1:EB,g1
MPAMX1,2,PLAT:MPAMPX:MPAMPX2:EB,g1
MPAMX1,2,SEC:MPAMPX:MPAMPX1_MPAMPX2:EB,g1
MPAMX2,3,PLAT:MPAMPX:MPAMPX1:EB,g1
MPAMX2,3,PLAT:MPAMPX:MPAMPX2:EB,g1
MPAMX2,3,SEC:MPAMPX:MPAMPX1_MPAMPX2:EB,g1
MPAMX2,4,PLAT:MPAMPX:MPAMPX1:EB,g1
MPAMX2,4,PLAT:MPAMPX:MPAMPX2:EB,g1
MPAMX2,4,SEC:MPAMPX:MPAMPX1_MPAMPX2:EB,g1
MPAMX2,5,PLAT:MPAMPX:MPAMPX1:EB,g1
MPAMX2,5,PLAT:MPAMPX:MPAMPX2:EB,g1
MPAMX2,5,SEC:MPAMPX:MPAMPX1_MPAMPX2:EB,g1
