scenario,contract_number,simulated_completion_date,overrun_days
C,AGGKC1,2040-02-05,7
C,AGGKC2,2040-03-18,21
C,AGGKC3,2040-04-29,35
C,FPDKCOMP,2040-03-04,0
C,FPDKDIRECT,2040-01-29,0
C,FPDKFOLLOW,2040-03-11,0
C,IRRKIC12,2040-01-22,7
C,IRRKIC23,2040-01-22,7
C,IRRKIC34,2040-01-22,7
C,IRRKIPC1,2040-01-15,0
C,IRRKIPC2,2040-02-05,21
C,IRRKIPC3,2040-01-15,0
C,IRRKIPC4,2040-01-22,7
C,IRRKIPM6,2040-02-05,7
C,MPAKMX1,2040-01-15,7
C,MPAKMX2,2040-02-05,28
C,MPAKMY1,2040-01-15,7
C,MPAKMY2,2040-02-05,28
C,PCPKCHAIN,2040-02-12,0
C,PCPKCOMP,2040-02-05,0
C,PCPKDIRECT,2040-01-29,0
C,PCPKPREPEER,2040-01-29,0
C,PRDKLATE,2040-01-22,0
C,PRDKPRE,2040-01-15,0
