sector_id,line_code,from_station_id,to_station_id,seq,is_shared
SEC:IRRLIB:IRRI5_IRRI6,IRRLIB,IRRI5,IRRI6,5,0
SEC:FPDLNX:FPDN3_FPDN4,FPDLNX,FPDN3,FPDN4,3,0
SEC:PRDLNY:PRDX1_PRDX2,PRDLNY,PRDX1,PRDX2,1,1
SEC:AGGLCZ:AGGV1_AGGV2,AGGLCZ,AGGV1,AGGV2,1,0
SEC:MPAMPY:MPAMPY1_MPAMPY2,MPAMPY,MPAMPY1,MPAMPY2,1,0
SEC:PCPLNX:PCPX2_PCPN3,PCPLNX,PCPX2,PCPN3,2,0
SEC:PRDLNX:PRDX1_PRDX2,PRDLNX,PRDX1,PRDX2,1,1
SEC:FPDLNY:FPDS3_FPDS4,FPDLNY,FPDS3,FPDS4,3,0
SEC:IRRLIB:IRRI3_IRRI4,IRRLIB,IRRI3,IRRI4,3,0
SEC:MPAMPX:MPAMPX1_MPAMPX2,MPAMPX,MPAMPX1,MPAMPX2,1,0
SEC:PCPLNY:PCPX1_PCPX2,PCPLNY,PCPX1,PCPX2,1,1
SEC:IRRLIB:IRRI6_IRRI7,IRRLIB,IRRI6,IRRI7,6,0
SEC:IRRLIB:IRRI2_IRRI3,IRRLIB,IRRI2,IRRI3,2,0
SEC:PCPLNX:PCPX1_PCPX2,PCPLNX,PCPX1,PCPX2,1,1
SEC:PCPLNX:PCPN3_PCPN4,PCPLNX,PCPN3,PCPN4,3,0
SEC:PRDLNY:PRDS3_PRDS4,PRDLNY,PRDS3,PRDS4,3,0
SEC:FPDLNX:FPDX2_FPDN3,FPDLNX,FPDX2,FPDN3,2,0
SEC:IRRLIB:IRRI4_IRRI5,IRRLIB,IRRI4,IRRI5,4,0
SEC:FPDLNY:FPDX1_FPDX2,FPDLNY,FPDX1,FPDX2,1,1
SEC:AGGLCZ:AGGV2_AGGV3,AGGLCZ,AGGV2,AGGV3,2,0
SEC:PCPLNY:PCPX2_PCPS3,PCPLNY,PCPX2,PCPS3,2,0
SEC:IRRLIB:IRRI1_IRRI2,IRRLIB,IRRI1,IRRI2,1,0
SEC:PRDLNX:PRDN3_PRDN4,PRDLNX,PRDN3,PRDN4,3,0
SEC:PRDLNY:PRDX2_PRDS3,PRDLNY,PRDX2,PRDS3,2,0
SEC:PCPLNY:PCPS3_PCPS4,PCPLNY,PCPS3,PCPS4,3,0
SEC:PRDLNX:PRDX2_PRDN3,PRDLNX,PRDX2,PRDN3,2,0
SEC:FPDLNX:FPDX1_FPDX2,FPDLNX,FPDX1,FPDX2,1,1
SEC:FPDLNY:FPDX2_FPDS3,FPDLNY,FPDX2,FPDS3,2,0
