activity_id,week,location_id,co_share_group
MPAMY1,1,PLAT:MPAMPY:MPAMPY1:EB,g1
MPAMY1,1,PLAT:MPAMPY:MPAMPY2:EB,g1
MPAMY1,1,SEC:MPAMPY:MPAMPY1_MPAMPY2:EB,g1
MPAMY1,2,PLAT:MPAMPY:MPAMPY1:EB,g1
MPAMY1,2,PLAT:MPAMPY:MPAMPY2:EB,g1
MPAMY1,2,SEC:MPAMPY:MPAMPY1_MPAMPY2:EB,g1
MPAMY2,3,PLAT:MPAMPY:MPAMPY1:EB,g1
MPAMY2,3,PLAT:MPAMPY:MPAMPY2:EB,g1
MPAMY2,3,SEC:MPAMPY:MPAMPY1_MPAMPY2:EB,g1
MPAMY2,4,PLAT:MPAMPY:MPAMPY1:EB,g1
MPAMY2,4,PLAT:MPAMPY:MPAMPY2:EB,g1
MPAMY2,4,SEC:MPAMPY:MPAMPY1_MPAMPY2:EB,g1
MPAMY2,5,PLAT:MPAMPY:MPAMPY1:EB,g1
MPAMY2,5,PLAT:MPAMPY:MPAMPY2:EB,g1
MPAMY2,5,SEC:MPAMPY:MPAMPY1_MPAMPY2:EB,g1
