location_id,location_kind,line_code,bound,supply_capacity
SEC:PRDLNX:PRDN3_PRDN4:WB,tunnel sector,PRDLNX,WB,1
PLAT:PRDLNX:PRDX1:WB,platform,PRDLNX,WB,1
SEC:FPDLNX:FPDN3_FPDN4:WB,tunnel sector,FPDLNX,WB,1
PLAT:PCPLNX:PCPN3:WB,platform,PCPLNX,WB,1
SEC:FPDLNY:FPDX2_FPDS3:WB,tunnel sector,FPDLNY,WB,1
PLAT:PRDLNY:PRDS4:EB,platform,PRDLNY,EB,1
PLAT:PRDLNX:PRDN4:EB,platform,PRDLNX,EB,1
SEC:PRDLNX:PRDX2_PRDN3:EB,tunnel sector,PRDLNX,EB,1
PLAT:PRDLNY:PRDX1:EB,platform,PRDLNY,EB,1
PLAT:AGGLCZ:AGGV2:WB,platform,AGGLCZ,WB,1
PLAT:PRDLNX:PRDX1:EB,platform,PRDLNX,EB,1
PLAT:PCPLNX:PCPX2:WB,platform,PCPLNX,WB,1
SEC:FPDLNX:FPDX2_FPDN3:EB,tunnel sector,FPDLNX,EB,1
SEC:FPDLNX:FPDN3_FPDN4:EB,tunnel sector,FPDLNX,EB,1
PLAT:PCPLNY:PCPX2:EB,platform,PCPLNY,EB,1
SEC:IRRLIB:IRRI3_IRRI4:EB,tunnel sector,IRRLIB,EB,1
SEC:PCPLNX:PCPN3_PCPN4:EB,tunnel sector,PCPLNX,EB,1
PLAT:PCPLNY:PCPS4:WB,platform,PCPLNY,WB,1
SEC:PRDLNY:PRDS3_PRDS4:EB,tunnel sector,PRDLNY,EB,1
PLAT:MPAMPY:MPAMPY1:WB,platform,MPAMPY,WB,1
PLAT:PCPLNY:PCPX1:WB,platform,PCPLNY,WB,1
SEC:PRDLNY:PRDS3_PRDS4:WB,tunnel sector,PRDLNY,WB,1
PLAT:FPDLNY:FPDS3:EB,platform,FPDLNY,EB,1
SEC:PRDLNY:PRDX1_PRDX2:WB,tunnel sector,PRDLNY,WB,1
PLAT:PCPLNY:PCPX2:WB,platform,PCPLNY,WB,1
PLAT:AGGLCZ:AGGV1:WB,platform,AGGLCZ,WB,1
SEC:MPAMPY:MPAMPY1_MPAMPY2:EB,tunnel sector,MPAMPY,EB,1
SEC:AGGLCZ:AGGV2_AGGV3:WB,tunnel sector,AGGLCZ,WB,1
SEC:PCPLNX:PCPX1_PCPX2:EB,tunnel sector,PCPLNX,EB,1
PLAT:IRRLIB:IRRI6:EB,platform,IRRLIB,EB,1
PLAT:AGGLCZ:AGGV3:EB,platform,AGGLCZ,EB,1
PLAT:IRRLIB:IRRI7:EB,platform,IRRLIB,EB,1
SEC:FPDLNX:FPDX1_FPDX2:WB,tunnel sector,FPDLNX,WB,1
SEC:PRDLNX:PRDX2_PRDN3:WB,tunnel sector,PRDLNX,WB,1
SEC:PCPLNY:PCPX2_PCPS3:EB,tunnel sector,PCPLNY,EB,1
PLAT:PCPLNX:PCPN3:EB,platform,PCPLNX,EB,1
SEC:AGGLCZ:AGGV2_AGGV3:EB,tunnel sector,AGGLCZ,EB,1
SEC:FPDLNY:FPDX1_FPDX2:EB,tunnel sector,FPDLNY,EB,1
SEC:IRRLIB:IRRI5_IRRI6:EB,tunnel sector,IRRLIB,EB,1
SEC:PCPLNX:PCPX1_PCPX2:WB,tunnel sector,PCPLNX,WB,1
PLAT:MPAMPX:MPAMPX1:EB,platform,MPAMPX,EB,1
PLAT:FPDLNY:FPDS4:WB,platform,FPDLNY,WB,1
SEC:FPDLNX:FPDX2_FPDN3:WB,tunnel sector,FPDLNX,WB,1
PLAT:IRRLIB:IRRI5:EB,platform,IRRLIB,EB,1
PLAT:MPAMPX:MPAMPX2:EB,platform,MPAMPX,EB,1
PLAT:FPDLNX:FPDX2:WB,platform,FPDLNX,WB,1
PLAT:IRRLIB:IRRI3:EB,platform,IRRLIB,EB,1
PLAT:FPDLNY:FPDX1:WB,platform,FPDLNY,WB,1
PLAT:AGGLCZ:AGGV1:EB,platform,AGGLCZ,EB,1
PLAT:PRDLNY:PRDS4:WB,platform,PRDLNY,WB,1
SEC:PCPLNY:PCPS3_PCPS4:WB,tunnel sector,PCPLNY,WB,1
PLAT:PRDLNY:PRDS3:WB,platform,PRDLNY,WB,1
