activity_id,week,location_id,co_share_group
R02HLA,1,PLAT:R02LIA:R02H1:EB,g1
R02HLA,1,PLAT:R02LIA:R02H2:EB,g1
R02HLA,1,SEC:R02LIA:R02H1_R02H2:EB,g1
R02HLA,2,PLAT:R02LIA:R02H1:EB,g1
R02HLA,2,PLAT:R02LIA:R02H2:EB,g1
R02HLA,2,SEC:R02LIA:R02H1_R02H2:EB,g1
R02HLB,3,PLAT:R02LIB:R02H1:WB,g1
R02HLB,3,PLAT:R02LIB:R02H2:WB,g1
R02HLB,3,SEC:R02LIB:R02H1_R02H2:WB,g1
R02HLC,4,PLAT:R02LIC:R02H1:EB,g1
R02HLC,4,PLAT:R02LIC:R02H2:EB,g1
R02HLC,4,SEC:R02LIC:R02H1_R02H2:EB,g1
R02HLC,5,PLAT:R02LIC:R02H1:EB,g1
R02HLC,5,PLAT:R02LIC:R02H2:EB,g1
R02HLC,5,SEC:R02LIC:R02H1_R02H2:EB,g1
R02OPA,4,PLAT:R02LIA:R02A1:WB,g1
R02OPA,4,PLAT:R02LIA:R02H1:WB,g1
R02OPA,4,SEC:R02LIA:R02A1_R02H1:WB,g1
R02OPA,5,PLAT:R02LIA:R02A1:WB,g1
R02OPA,5,PLAT:R02LIA:R02H1:WB,g1
R02OPA,5,SEC:R02LIA:R02A1_R02H1:WB,g1
R02OPB,4,PLAT:R02LIB:R02B4:EB,g1
R02OPB,4,PLAT:R02LIB:R02H2:EB,g1
R02OPB,4,SEC:R02LIB:R02H2_R02B4:EB,g1
R02OPB,5,PLAT:R02LIB:R02B4:EB,g1
R02OPB,5,PLAT:R02LIB:R02H2:EB,g1
R02OPB,5,SEC:R02LIB:R02H2_R02B4:EB,g1
R02SCC,6,PLAT:R02LIC:R02C4:WB,g1
R02SCC,6,PLAT:R02LIC:R02H2:WB,g1
R02SCC,6,SEC:R02LIC:R02H2_R02C4:WB,g1
