activity_id,week,location_id,co_share_group
R03HLA,1,PLAT:R03LIA:R03H1:EB,g1
R03HLA,1,PLAT:R03LIA:R03H2:EB,g1
R03HLA,1,SEC:R03LIA:R03H1_R03H2:EB,g1
R03HLA,2,PLAT:R03LIA:R03H1:EB,g1
R03HLA,2,PLAT:R03LIA:R03H2:EB,g1
R03HLA,2,SEC:R03LIA:R03H1_R03H2:EB,g1
R03HLB,3,PLAT:R03LIB:R03H1:WB,g1
R03HLB,3,PLAT:R03LIB:R03H2:WB,g1
R03HLB,3,SEC:R03LIB:R03H1_R03H2:WB,g1
R03HLC,4,PLAT:R03LIC:R03H1:EB,g1
R03HLC,4,PLAT:R03LIC:R03H2:EB,g1
R03HLC,4,SEC:R03LIC:R03H1_R03H2:EB,g1
R03HLC,5,PLAT:R03LIC:R03H1:EB,g1
R03HLC,5,PLAT:R03LIC:R03H2:EB,g1
R03HLC,5,SEC:R03LIC:R03H1_R03H2:EB,g1
R03OPA,4,PLAT:R03LIA:R03A1:WB,g1
R03OPA,4,PLAT:R03LIA:R03H1:WB,g1
R03OPA,4,SEC:R03LIA:R03A1_R03H1:WB,g1
R03OPA,5,PLAT:R03LIA:R03A1:WB,g1
R03OPA,5,PLAT:R03LIA:R03H1:WB,g1
R03OPA,5,SEC:R03LIA:R03A1_R03H1:WB,g1
R03OPB,4,PLAT:R03LIB:R03B4:EB,g1
R03OPB,4,PLAT:R03LIB:R03H2:EB,g1
R03OPB,4,SEC:R03LIB:R03H2_R03B4:EB,g1
R03OPB,5,PLAT:R03LIB:R03B4:EB,g1
R03OPB,5,PLAT:R03LIB:R03H2:EB,g1
R03OPB,5,SEC:R03LIB:R03H2_R03B4:EB,g1
R03SCC,6,PLAT:R03LIC:R03C4:WB,g1
R03SCC,6,PLAT:R03LIC:R03H2:WB,g1
R03SCC,6,SEC:R03LIC:R03H2_R03C4:WB,g1
