line_code,line_name
R01LIC,R01 Interchange holdout LIC
R07LIA,R07 Interchange holdout LIA
R03LIA,R03 Interchange holdout LIA
R06LIB,R06 Interchange holdout LIB
R05LIB,R05 Interchange holdout LIB
R07LIC,R07 Interchange holdout LIC
R02LIA,R02 Interchange holdout LIA
R04LIB,R04 Interchange holdout LIB
R08LIA,R08 Interchange holdout LIA
R06LIC,R06 Interchange holdout LIC
R01LIB,R01 Interchange holdout LIB
R02LIC,R02 Interchange holdout LIC
R05LIC,R05 Interchange holdout LIC
R03LIC,R03 Interchange holdout LIC
R06LIA,R06 Interchange holdout LIA
R02LIB,R02 Interchange holdout LIB
R04LIC,R04 Interchange holdout LIC
R08LIC,R08 Interchange holdout LIC
R07LIB,R07 Interchange holdout LIB
R01LIA,R01 Interchange holdout LIA
R03LIB,R03 Interchange holdout LIB
R04LIA,R04 Interchange holdout LIA
R08LIB,R08 Interchange holdout LIB
R05LIA,R05 Interchange holdout LIA
