activity_id,week,location_id,co_share_group
R05HLA,1,PLAT:R05LIA:R05H1:EB,g1
R05HLA,1,PLAT:R05LIA:R05H2:EB,g1
R05HLA,1,SEC:R05LIA:R05H1_R05H2:EB,g1
R05HLA,2,PLAT:R05LIA:R05H1:EB,g1
R05HLA,2,PLAT:R05LIA:R05H2:EB,g1
R05HLA,2,SEC:R05LIA:R05H1_R05H2:EB,g1
R05HLB,3,PLAT:R05LIB:R05H1:WB,g1
R05HLB,3,PLAT:R05LIB:R05H2:WB,g1
R05HLB,3,SEC:R05LIB:R05H1_R05H2:WB,g1
R05HLC,4,PLAT:R05LIC:R05H1:EB,g1
R05HLC,4,PLAT:R05LIC:R05H2:EB,g1
R05HLC,4,SEC:R05LIC:R05H1_R05H2:EB,g1
R05HLC,5,PLAT:R05LIC:R05H1:EB,g1
R05HLC,5,PLAT:R05LIC:R05H2:EB,g1
R05HLC,5,SEC:R05LIC:R05H1_R05H2:EB,g1
R05OPA,4,PLAT:R05LIA:R05A1:WB,g1
R05OPA,4,PLAT:R05LIA:R05H1:WB,g1
R05OPA,4,SEC:R05LIA:R05A1_R05H1:WB,g1
R05OPA,5,PLAT:R05LIA:R05A1:WB,g1
R05OPA,5,PLAT:R05LIA:R05H1:WB,g1
R05OPA,5,SEC:R05LIA:R05A1_R05H1:WB,g1
R05OPB,4,PLAT:R05LIB:R05B4:EB,g1
R05OPB,4,PLAT:R05LIB:R05H2:EB,g1
R05OPB,4,SEC:R05LIB:R05H2_R05B4:EB,g1
R05OPB,5,PLAT:R05LIB:R05B4:EB,g1
R05OPB,5,PLAT:R05LIB:R05H2:EB,g1
R05OPB,5,SEC:R05LIB:R05H2_R05B4:EB,g1
R05SCC,6,PLAT:R05LIC:R05C4:WB,g1
R05SCC,6,PLAT:R05LIC:R05H2:WB,g1
R05SCC,6,SEC:R05LIC:R05H2_R05C4:WB,g1
