activity_id,week,location_id,co_share_group
R06HLA,1,PLAT:R06LIA:R06H1:EB,g1
R06HLA,1,PLAT:R06LIA:R06H2:EB,g1
R06HLA,1,SEC:R06LIA:R06H1_R06H2:EB,g1
R06HLA,2,PLAT:R06LIA:R06H1:EB,g1
R06HLA,2,PLAT:R06LIA:R06H2:EB,g1
R06HLA,2,SEC:R06LIA:R06H1_R06H2:EB,g1
R06HLB,3,PLAT:R06LIB:R06H1:WB,g1
R06HLB,3,PLAT:R06LIB:R06H2:WB,g1
R06HLB,3,SEC:R06LIB:R06H1_R06H2:WB,g1
R06HLC,4,PLAT:R06LIC:R06H1:EB,g1
R06HLC,4,PLAT:R06LIC:R06H2:EB,g1
R06HLC,4,SEC:R06LIC:R06H1_R06H2:EB,g1
R06HLC,5,PLAT:R06LIC:R06H1:EB,g1
R06HLC,5,PLAT:R06LIC:R06H2:EB,g1
R06HLC,5,SEC:R06LIC:R06H1_R06H2:EB,g1
R06OPA,4,PLAT:R06LIA:R06A1:WB,g1
R06OPA,4,PLAT:R06LIA:R06H1:WB,g1
R06OPA,4,SEC:R06LIA:R06A1_R06H1:WB,g1
R06OPA,5,PLAT:R06LIA:R06A1:WB,g1
R06OPA,5,PLAT:R06LIA:R06H1:WB,g1
R06OPA,5,SEC:R06LIA:R06A1_R06H1:WB,g1
R06OPB,4,PLAT:R06LIB:R06B4:EB,g1
R06OPB,4,PLAT:R06LIB:R06H2:EB,g1
R06OPB,4,SEC:R06LIB:R06H2_R06B4:EB,g1
R06OPB,5,PLAT:R06LIB:R06B4:EB,g1
R06OPB,5,PLAT:R06LIB:R06H2:EB,g1
R06OPB,5,SEC:R06LIB:R06H2_R06B4:EB,g1
R06SCC,6,PLAT:R06LIC:R06C4:WB,g1
R06SCC,6,PLAT:R06LIC:R06H2:WB,g1
R06SCC,6,SEC:R06LIC:R06H2_R06C4:WB,g1
