station_id,line_code,seq,is_interchange
R06B1,R06LIB,1,0
R01B1,R01LIB,1,0
R08H2,R08LIC,3,1
R06H1,R06LIB,2,1
R03A4,R03LIA,4,0
R01H2,R01LIC,3,1
R04H2,R04LIB,3,1
R08B4,R08LIB,4,0
R08H1,R08LIA,2,1
R05H1,R05LIB,2,1
R06B4,R06LIB,4,0
R07A4,R07LIA,4,0
R07H1,R07LIC,2,1
R02A1,R02LIA,1,0
R04H1,R04LIC,2,1
R01H2,R01LIA,3,1
R08C1,R08LIC,1,0
R05B4,R05LIB,4,0
R02A4,R02LIA,4,0
R02H1,R02LIC,2,1
R05H1,R05LIC,2,1
R04B1,R04LIB,1,0
R07B1,R07LIB,1,0
R07H2,R07LIA,3,1
R03H1,R03LIA,2,1
R01B4,R01LIB,4,0
R03A1,R03LIA,1,0
R02H1,R02LIB,2,1
R02H2,R02LIA,3,1
R02B1,R02LIB,1,0
R04H2,R04LIA,3,1
R05H2,R05LIA,3,1
R04A1,R04LIA,1,0
R05C1,R05LIC,1,0
R01H1,R01LIC,2,1
R08H2,R08LIA,3,1
R03B1,R03LIB,1,0
R01C4,R01LIC,4,0
R03H1,R03LIC,2,1
R05A1,R05LIA,1,0
R03H2,R03LIA,3,1
R04H1,R04LIB,2,1
R06H1,R06LIA,2,1
R07H1,R07LIA,2,1
R08C4,R08LIC,4,0
R01H1,R01LIA,2,1
R04H2,R04LIC,3,1
R06H2,R06LIA,3,1
R05H1,R05LIA,2,1
R04C1,R04LIC,1,0
R04C4,R04LIC,4,0
R06H2,R06LIC,3,1
R03H1,R03LIB,2,1
R06H2,R06LIB,3,1
R05H2,R05LIB,3,1
R05A4,R05LIA,4,0
R01A1,R01LIA,1,0
R08H1,R08LIB,2,1
R01C1,R01LIC,1,0
R04A4,R04LIA,4,0
R05C4,R05LIC,4,0
R01H2,R01LIB,3,1
R05B1,R05LIB,1,0
R02H2,R02LIB,3,1
R07C1,R07LIC,1,0
R06H1,R06LIC,2,1
R08A1,R08LIA,1,0
R01A4,R01LIA,4,0
R01H1,R01LIB,2,1
R05H2,R05LIC,3,1
R07B4,R07LIB,4,0
R04B4,R04LIB,4,0
R08B1,R08LIB,1,0
R02C1,R02LIC,1,0
R07H2,R07LIC,3,1
R03C1,R03LIC,1,0
R02C4,R02LIC,4,0
R02H2,R02LIC,3,1
R07H1,R07LIB,2,1
R06C4,R06LIC,4,0
R04H1,R04LIA,2,1
R08A4,R08LIA,4,0
R03B4,R03LIB,4,0
R03H2,R03LIB,3,1
R02B4,R02LIB,4,0
R08H2,R08LIB,3,1
R07H2,R07LIB,3,1
R06C1,R06LIC,1,0
R07A1,R07LIA,1,0
R02H1,R02LIA,2,1
R06A4,R06LIA,4,0
R03H2,R03LIC,3,1
R08H1,R08LIC,2,1
R06A1,R06LIA,1,0
R03C4,R03LIC,4,0
R07C4,R07LIC,4,0
