activity_id,week,location_id,co_share_group
R07HLA,1,PLAT:R07LIA:R07H1:EB,g1
R07HLA,1,PLAT:R07LIA:R07H2:EB,g1
R07HLA,1,SEC:R07LIA:R07H1_R07H2:EB,g1
R07HLA,2,PLAT:R07LIA:R07H1:EB,g1
R07HLA,2,PLAT:R07LIA:R07H2:EB,g1
R07HLA,2,SEC:R07LIA:R07H1_R07H2:EB,g1
R07HLB,3,PLAT:R07LIB:R07H1:WB,g1
R07HLB,3,PLAT:R07LIB:R07H2:WB,g1
R07HLB,3,SEC:R07LIB:R07H1_R07H2:WB,g1
R07HLC,4,PLAT:R07LIC:R07H1:EB,g1
R07HLC,4,PLAT:R07LIC:R07H2:EB,g1
R07HLC,4,SEC:R07LIC:R07H1_R07H2:EB,g1
R07HLC,5,PLAT:R07LIC:R07H1:EB,g1
R07HLC,5,PLAT:R07LIC:R07H2:EB,g1
R07HLC,5,SEC:R07LIC:R07H1_R07H2:EB,g1
R07OPA,4,PLAT:R07LIA:R07A1:WB,g1
R07OPA,4,PLAT:R07LIA:R07H1:WB,g1
R07OPA,4,SEC:R07LIA:R07A1_R07H1:WB,g1
R07OPA,5,PLAT:R07LIA:R07A1:WB,g1
R07OPA,5,PLAT:R07LIA:R07H1:WB,g1
R07OPA,5,SEC:R07LIA:R07A1_R07H1:WB,g1
R07OPB,4,PLAT:R07LIB:R07B4:EB,g1
R07OPB,4,PLAT:R07LIB:R07H2:EB,g1
R07OPB,4,SEC:R07LIB:R07H2_R07B4:EB,g1
R07OPB,5,PLAT:R07LIB:R07B4:EB,g1
R07OPB,5,PLAT:R07LIB:R07H2:EB,g1
R07OPB,5,SEC:R07LIB:R07H2_R07B4:EB,g1
R07SCC,6,PLAT:R07LIC:R07C4:WB,g1
R07SCC,6,PLAT:R07LIC:R07H2:WB,g1
R07SCC,6,SEC:R07LIC:R07H2_R07C4:WB,g1
