sector_id,line_code,from_station_id,to_station_id,seq,is_shared
SEC:R07LIA:R07A1_R07H1,R07LIA,R07A1,R07H1,1,0
SEC:R07LIA:R07H2_R07A4,R07LIA,R07H2,R07A4,3,0
SEC:R01LIA:R01H2_R01A4,R01LIA,R01H2,R01A4,3,0
SEC:R06LIA:R06H1_R06H2,R06LIA,R06H1,R06H2,2,1
SEC:R05LIC:R05H2_R05C4,R05LIC,R05H2,R05C4,3,0
SEC:R08LIB:R08H1_R08H2,R08LIB,R08H1,R08H2,2,1
SEC:R07LIB:R07B1_R07H1,R07LIB,R07B1,R07H1,1,0
SEC:R04LIA:R04A1_R04H1,R04LIA,R04A1,R04H1,1,0
SEC:R07LIA:R07H1_R07H2,R07LIA,R07H1,R07H2,2,1
SEC:R03LIC:R03H1_R03H2,R03LIC,R03H1,R03H2,2,1
SEC:R02LIA:R02A1_R02H1,R02LIA,R02A1,R02H1,1,0
SEC:R04LIB:R04H1_R04H2,R04LIB,R04H1,R04H2,2,1
SEC:R08LIB:R08H2_R08B4,R08LIB,R08H2,R08B4,3,0
SEC:R03LIA:R03A1_R03H1,R03LIA,R03A1,R03H1,1,0
SEC:R03LIA:R03H2_R03A4,R03LIA,R03H2,R03A4,3,0
SEC:R02LIB:R02H1_R02H2,R02LIB,R02H1,R02H2,2,1
SEC:R01LIB:R01H1_R01H2,R01LIB,R01H1,R01H2,2,1
SEC:R04LIB:R04H2_R04B4,R04LIB,R04H2,R04B4,3,0
SEC:R01LIC:R01H1_R01H2,R01LIC,R01H1,R01H2,2,1
SEC:R07LIC:R07H1_R07H2,R07LIC,R07H1,R07H2,2,1
SEC:R03LIB:R03H2_R03B4,R03LIB,R03H2,R03B4,3,0
SEC:R04LIC:R04H1_R04H2,R04LIC,R04H1,R04H2,2,1
SEC:R05LIB:R05H1_R05H2,R05LIB,R05H1,R05H2,2,1
SEC:R04LIB:R04B1_R04H1,R04LIB,R04B1,R04H1,1,0
SEC:R05LIC:R05C1_R05H1,R05LIC,R05C1,R05H1,1,0
SEC:R05LIA:R05A1_R05H1,R05LIA,R05A1,R05H1,1,0
SEC:R08LIA:R08A1_R08H1,R08LIA,R08A1,R08H1,1,0
SEC:R01LIC:R01C1_R01H1,R01LIC,R01C1,R01H1,1,0
SEC:R06LIB:R06H2_R06B4,R06LIB,R06H2,R06B4,3,0
SEC:R06LIB:R06H1_R06H2,R06LIB,R06H1,R06H2,2,1
SEC:R05LIB:R05H2_R05B4,R05LIB,R05H2,R05B4,3,0
SEC:R01LIC:R01H2_R01C4,R01LIC,R01H2,R01C4,3,0
SEC:R02LIA:R02H1_R02H2,R02LIA,R02H1,R02H2,2,1
SEC:R03LIB:R03B1_R03H1,R03LIB,R03B1,R03H1,1,0
SEC:R05LIA:R05H1_R05H2,R05LIA,R05H1,R05H2,2,1
SEC:R03LIC:R03H2_R03C4,R03LIC,R03H2,R03C4,3,0
SEC:R07LIC:R07C1_R07H1,R07LIC,R07C1,R07H1,1,0
SEC:R05LIB:R05B1_R05H1,R05LIB,R05B1,R05H1,1,0
SEC:R05LIA:R05H2_R05A4,R05LIA,R05H2,R05A4,3,0
SEC:R06LIC:R06H2_R06C4,R06LIC,R06H2,R06C4,3,0
SEC:R05LIC:R05H1_R05H2,R05LIC,R05H1,R05H2,2,1
SEC:R02LIA:R02H2_R02A4,R02LIA,R02H2,R02A4,3,0
SEC:R01LIB:R01H2_R01B4,R01LIB,R01H2,R01B4,3,0
SEC:R08LIC:R08H1_R08H2,R08LIC,R08H1,R08H2,2,1
SEC:R01LIA:R01A1_R01H1,R01LIA,R01A1,R01H1,1,0
SEC:R08LIC:R08C1_R08H1,R08LIC,R08C1,R08H1,1,0
SEC:R06LIA:R06H2_R06A4,R06LIA,R06H2,R06A4,3,0
SEC:R07LIC:R07H2_R07C4,R07LIC,R07H2,R07C4,3,0
SEC:R08LIB:R08B1_R08H1,R08LIB,R08B1,R08H1,1,0
SEC:R06LIA:R06A1_R06H1,R06LIA,R06A1,R06H1,1,0
SEC:R01LIA:R01H1_R01H2,R01LIA,R01H1,R01H2,2,1
SEC:R08LIA:R08H2_R08A4,R08LIA,R08H2,R08A4,3,0
SEC:R01LIB:R01B1_R01H1,R01LIB,R01B1,R01H1,1,0
SEC:R02LIB:R02B1_R02H1,R02LIB,R02B1,R02H1,1,0
SEC:R04LIA:R04H1_R04H2,R04LIA,R04H1,R04H2,2,1
SEC:R04LIA:R04H2_R04A4,R04LIA,R04H2,R04A4,3,0
SEC:R06LIC:R06H1_R06H2,R06LIC,R06H1,R06H2,2,1
SEC:R02LIC:R02H1_R02H2,R02LIC,R02H1,R02H2,2,1
SEC:R06LIB:R06B1_R06H1,R06LIB,R06B1,R06H1,1,0
SEC:R02LIC:R02C1_R02H1,R02LIC,R02C1,R02H1,1,0
