activity_id,access_seq,week,eclo,access_night
R01HLA,1,1,1,1
R01HLA,2,2,1,1
R01HLB,1,1,0,1
R01HLC,1,1,0,1
R01HLC,2,2,0,1
R01OPA,1,3,0,1
R01OPA,2,5,0,1
R01OPB,1,3,0,1
R01OPB,2,4,0,1
R01SCC,1,3,0,1
R02HLA,1,1,1,1
R02HLA,2,2,1,1
R02HLB,1,1,0,1
R02HLC,1,1,0,1
R02HLC,2,2,0,1
R02OPA,1,4,0,1
R02OPA,2,5,0,1
R02OPB,1,3,0,1
R02OPB,2,4,0,1
R02SCC,1,3,0,1
R03HLA,1,1,1,1
R03HLA,2,2,1,1
R03HLB,1,1,0,1
R03HLC,1,1,0,1
R03HLC,2,2,0,1
R03OPA,1,4,0,1
R03OPA,2,5,0,1
R03OPB,1,2,0,1
R03OPB,2,3,0,1
R03SCC,1,3,0,1
R04HLA,1,1,1,1
R04HLA,2,2,1,1
R04HLB,1,1,0,1
R04HLC,1,1,0,1
R04HLC,2,2,0,1
R04OPA,1,4,0,1
R04OPA,2,5,0,1
R04OPB,1,3,0,1
R04OPB,2,4,0,1
R04SCC,1,3,0,1
R05HLA,1,1,1,1
R05HLA,2,2,1,1
R05HLB,1,1,0,1
R05HLC,1,1,0,1
R05HLC,2,2,0,1
R05OPA,1,3,0,1
R05OPA,2,4,0,1
R05OPB,1,2,0,1
R05OPB,2,4,0,1
R05SCC,1,3,0,1
R06HLA,1,1,1,1
R06HLA,2,2,1,1
R06HLB,1,1,0,1
R06HLC,1,1,0,1
R06HLC,2,2,0,1
R06OPA,1,4,0,1
R06OPA,2,5,0,1
R06OPB,1,2,0,1
R06OPB,2,3,0,1
R06SCC,1,3,0,1
R07HLA,1,1,1,1
R07HLA,2,2,1,1
R07HLB,1,1,0,1
R07HLC,1,1,0,1
R07HLC,2,2,0,1
R07OPA,1,3,0,1
R07OPA,2,4,0,1
R07OPB,1,3,0,1
R07OPB,2,4,0,1
R07SCC,1,3,0,1
R08HLA,1,1,1,1
R08HLA,2,2,1,1
R08HLB,1,1,0,1
R08HLC,1,1,0,1
R08HLC,2,2,0,1
R08OPA,1,3,0,1
R08OPA,2,4,0,1
R08OPB,1,2,0,1
R08OPB,2,4,0,1
R08SCC,1,3,0,1
