activity_id,week,location_id,co_share_group
R01HLA,1,PLAT:R01LIA:R01H1:EB,g1
R01HLA,1,PLAT:R01LIA:R01H2:EB,g1
R01HLA,1,SEC:R01LIA:R01H1_R01H2:EB,g1
R01HLA,2,PLAT:R01LIA:R01H1:EB,g1
R01HLA,2,PLAT:R01LIA:R01H2:EB,g1
R01HLA,2,SEC:R01LIA:R01H1_R01H2:EB,g1
R01HLB,1,PLAT:R01LIB:R01H1:WB,g1
R01HLB,1,PLAT:R01LIB:R01H2:WB,g1
R01HLB,1,SEC:R01LIB:R01H1_R01H2:WB,g1
R01HLC,1,PLAT:R01LIC:R01H1:EB,g1
R01HLC,1,PLAT:R01LIC:R01H2:EB,g1
R01HLC,1,SEC:R01LIC:R01H1_R01H2:EB,g1
R01HLC,2,PLAT:R01LIC:R01H1:EB,g1
R01HLC,2,PLAT:R01LIC:R01H2:EB,g1
R01HLC,2,SEC:R01LIC:R01H1_R01H2:EB,g1
R01OPA,3,PLAT:R01LIA:R01A1:WB,g1
R01OPA,3,PLAT:R01LIA:R01H1:WB,g1
R01OPA,3,SEC:R01LIA:R01A1_R01H1:WB,g1
R01OPA,5,PLAT:R01LIA:R01A1:WB,g1
R01OPA,5,PLAT:R01LIA:R01H1:WB,g1
R01OPA,5,SEC:R01LIA:R01A1_R01H1:WB,g1
R01OPB,3,PLAT:R01LIB:R01B4:EB,g1
R01OPB,3,PLAT:R01LIB:R01H2:EB,g1
R01OPB,3,SEC:R01LIB:R01H2_R01B4:EB,g1
R01OPB,4,PLAT:R01LIB:R01B4:EB,g1
R01OPB,4,PLAT:R01LIB:R01H2:EB,g1
R01OPB,4,SEC:R01LIB:R01H2_R01B4:EB,g1
R01SCC,3,PLAT:R01LIC:R01C4:WB,g1
R01SCC,3,PLAT:R01LIC:R01H2:WB,g1
R01SCC,3,SEC:R01LIC:R01H2_R01C4:WB,g1
R02HLA,1,PLAT:R02LIA:R02H1:EB,g1
R02HLA,1,PLAT:R02LIA:R02H2:EB,g1
R02HLA,1,SEC:R02LIA:R02H1_R02H2:EB,g1
R02HLA,2,PLAT:R02LIA:R02H1:EB,g1
R02HLA,2,PLAT:R02LIA:R02H2:EB,g1
R02HLA,2,SEC:R02LIA:R02H1_R02H2:EB,g1
R02HLB,1,PLAT:R02LIB:R02H1:WB,g1
R02HLB,1,PLAT:R02LIB:R02H2:WB,g1
R02HLB,1,SEC:R02LIB:R02H1_R02H2:WB,g1
R02HLC,1,PLAT:R02LIC:R02H1:EB,g1
R02HLC,1,PLAT:R02LIC:R02H2:EB,g1
R02HLC,1,SEC:R02LIC:R02H1_R02H2:EB,g1
R02HLC,2,PLAT:R02LIC:R02H1:EB,g1
R02HLC,2,PLAT:R02LIC:R02H2:EB,g1
R02HLC,2,SEC:R02LIC:R02H1_R02H2:EB,g1
R02OPA,4,PLAT:R02LIA:R02A1:WB,g1
R02OPA,4,PLAT:R02LIA:R02H1:WB,g1
R02OPA,4,SEC:R02LIA:R02A1_R02H1:WB,g1
R02OPA,5,PLAT:R02LIA:R02A1:WB,g1
R02OPA,5,PLAT:R02LIA:R02H1:WB,g1
R02OPA,5,SEC:R02LIA:R02A1_R02H1:WB,g1
R02OPB,3,PLAT:R02LIB:R02B4:EB,g1
R02OPB,3,PLAT:R02LIB:R02H2:EB,g1
R02OPB,3,SEC:R02LIB:R02H2_R02B4:EB,g1
R02OPB,4,PLAT:R02LIB:R02B4:EB,g1
R02OPB,4,PLAT:R02LIB:R02H2:EB,g1
R02OPB,4,SEC:R02LIB:R02H2_R02B4:EB,g1
R02SCC,3,PLAT:R02LIC:R02C4:WB,g1
R02SCC,3,PLAT:R02LIC:R02H2:WB,g1
R02SCC,3,SEC:R02LIC:R02H2_R02C4:WB,g1
R03HLA,1,PLAT:R03LIA:R03H1:EB,g1
R03HLA,1,PLAT:R03LIA:R03H2:EB,g1
R03HLA,1,SEC:R03LIA:R03H1_R03H2:EB,g1
R03HLA,2,PLAT:R03LIA:R03H1:EB,g1
R03HLA,2,PLAT:R03LIA:R03H2:EB,g1
R03HLA,2,SEC:R03LIA:R03H1_R03H2:EB,g1
R03HLB,1,PLAT:R03LIB:R03H1:WB,g1
R03HLB,1,PLAT:R03LIB:R03H2:WB,g1
R03HLB,1,SEC:R03LIB:R03H1_R03H2:WB,g1
R03HLC,1,PLAT:R03LIC:R03H1:EB,g1
R03HLC,1,PLAT:R03LIC:R03H2:EB,g1
R03HLC,1,SEC:R03LIC:R03H1_R03H2:EB,g1
R03HLC,2,PLAT:R03LIC:R03H1:EB,g1
R03HLC,2,PLAT:R03LIC:R03H2:EB,g1
R03HLC,2,SEC:R03LIC:R03H1_R03H2:EB,g1
R03OPA,4,PLAT:R03LIA:R03A1:WB,g1
R03OPA,4,PLAT:R03LIA:R03H1:WB,g1
R03OPA,4,SEC:R03LIA:R03A1_R03H1:WB,g1
R03OPA,5,PLAT:R03LIA:R03A1:WB,g1
R03OPA,5,PLAT:R03LIA:R03H1:WB,g1
R03OPA,5,SEC:R03LIA:R03A1_R03H1:WB,g1
R03OPB,2,PLAT:R03LIB:R03B4:EB,g1
R03OPB,2,PLAT:R03LIB:R03H2:EB,g1
R03OPB,2,SEC:R03LIB:R03H2_R03B4:EB,g1
R03OPB,3,PLAT:R03LIB:R03B4:EB,g1
R03OPB,3,PLAT:R03LIB:R03H2:EB,g1
R03OPB,3,SEC:R03LIB:R03H2_R03B4:EB,g1
R03SCC,3,PLAT:R03LIC:R03C4:WB,g1
R03SCC,3,PLAT:R03LIC:R03H2:WB,g1
R03SCC,3,SEC:R03LIC:R03H2_R03C4:WB,g1
R04HLA,1,PLAT:R04LIA:R04H1:EB,g1
R04HLA,1,PLAT:R04LIA:R04H2:EB,g1
R04HLA,1,SEC:R04LIA:R04H1_R04H2:EB,g1
R04HLA,2,PLAT:R04LIA:R04H1:EB,g1
R04HLA,2,PLAT:R04LIA:R04H2:EB,g1
R04HLA,2,SEC:R04LIA:R04H1_R04H2:EB,g1
R04HLB,1,PLAT:R04LIB:R04H1:WB,g1
R04HLB,1,PLAT:R04LIB:R04H2:WB,g1
R04HLB,1,SEC:R04LIB:R04H1_R04H2:WB,g1
R04HLC,1,PLAT:R04LIC:R04H1:EB,g1
