scenario,contract_number,simulated_completion_date,overrun_days
C,R01KCC,2037-01-25,0
C,R01KLA,2037-01-18,0
C,R01KLB,2037-01-11,0
C,R01KLC,2037-01-18,0
C,R01KPA,2037-02-08,0
C,R01KPB,2037-02-01,0
C,R02KCC,2037-01-25,0
C,R02KLA,2037-01-18,0
C,R02KLB,2037-01-11,0
C,R02KLC,2037-01-18,0
C,R02KPA,2037-02-08,0
C,R02KPB,2037-01-25,0
C,R03KCC,2037-01-25,0
C,R03KLA,2037-01-18,0
C,R03KLB,2037-01-11,0
C,R03KLC,2037-01-18,0
C,R03KPA,2037-02-01,0
C,R03KPB,2037-02-01,0
C,R04KCC,2037-01-25,0
C,R04KLA,2037-01-18,0
C,R04KLB,2037-01-11,0
C,R04KLC,2037-01-18,0
C,R04KPA,2037-02-08,0
C,R04KPB,2037-02-01,0
C,R05KCC,2037-01-25,0
C,R05KLA,2037-01-18,0
C,R05KLB,2037-01-11,0
C,R05KLC,2037-01-18,0
C,R05KPA,2037-02-01,0
C,R05KPB,2037-02-01,0
C,R06KCC,2037-01-25,0
C,R06KLA,2037-01-18,0
C,R06KLB,2037-01-11,0
C,R06KLC,2037-01-18,0
C,R06KPA,2037-02-01,0
C,R06KPB,2037-02-01,0
C,R07KCC,2037-01-25,0
C,R07KLA,2037-01-18,0
C,R07KLB,2037-01-11,0
C,R07KLC,2037-01-18,0
C,R07KPA,2037-02-01,0
C,R07KPB,2037-01-25,0
C,R08KCC,2037-01-25,0
C,R08KLA,2037-01-18,0
C,R08KLB,2037-01-11,0
C,R08KLC,2037-01-18,0
C,R08KPA,2037-02-08,0
C,R08KPB,2037-02-01,0
