activity_id,week,location_id,co_share_group
R001,1,PLAT:LNX:X1:EB,g1
R001,1,PLAT:LNX:X2:EB,g1
R001,1,PLAT:LNX:X3:EB,g1
R001,1,SEC:LNX:X1_X2:EB,g1
R001,1,SEC:LNX:X2_X3:EB,g1
R001,2,PLAT:LNX:X1:EB,g1
R001,2,PLAT:LNX:X2:EB,g1
R001,2,PLAT:LNX:X3:EB,g1
R001,2,SEC:LNX:X1_X2:EB,g1
R001,2,SEC:LNX:X2_X3:EB,g1
R001,3,PLAT:LNX:X1:EB,g1
R001,3,PLAT:LNX:X2:EB,g1
R001,3,PLAT:LNX:X3:EB,g1
R001,3,SEC:LNX:X1_X2:EB,g1
R001,3,SEC:LNX:X2_X3:EB,g1
R002,4,PLAT:LNY:X1:WB,g1
R002,4,PLAT:LNY:X2:WB,g1
R002,4,PLAT:LNY:X3:WB,g1
R002,4,SEC:LNY:X1_X2:WB,g1
R002,4,SEC:LNY:X2_X3:WB,g1
R002,5,PLAT:LNY:X1:WB,g1
R002,5,PLAT:LNY:X2:WB,g1
R002,5,PLAT:LNY:X3:WB,g1
R002,5,SEC:LNY:X1_X2:WB,g1
R002,5,SEC:LNY:X2_X3:WB,g1
R002,6,PLAT:LNY:X1:WB,g1
R002,6,PLAT:LNY:X2:WB,g1
R002,6,PLAT:LNY:X3:WB,g1
R002,6,SEC:LNY:X1_X2:WB,g1
R002,6,SEC:LNY:X2_X3:WB,g1
