activity_id,week,location_id,co_share_group
T001,1,PLAT:LNX:X1:EB,g1
T001,1,PLAT:LNX:X2:EB,g1
T001,1,PLAT:LNX:X3:EB,g1
T001,1,SEC:LNX:X1_X2:EB,g1
T001,1,SEC:LNX:X2_X3:EB,g1
T001,2,PLAT:LNX:X1:EB,g1
T001,2,PLAT:LNX:X2:EB,g1
T001,2,PLAT:LNX:X3:EB,g1
T001,2,SEC:LNX:X1_X2:EB,g1
T001,2,SEC:LNX:X2_X3:EB,g1
T002,3,PLAT:LNY:X1:WB,g1
T002,3,PLAT:LNY:X2:WB,g1
T002,3,PLAT:LNY:X3:WB,g1
T002,3,SEC:LNY:X1_X2:WB,g1
T002,3,SEC:LNY:X2_X3:WB,g1
T002,4,PLAT:LNY:X1:WB,g1
T002,4,PLAT:LNY:X2:WB,g1
T002,4,PLAT:LNY:X3:WB,g1
T002,4,SEC:LNY:X1_X2:WB,g1
T002,4,SEC:LNY:X2_X3:WB,g1
T003,5,PLAT:LNX:X1:EB,g1
T003,5,PLAT:LNX:X2:EB,g1
T003,5,PLAT:LNX:X3:EB,g1
T003,5,SEC:LNX:X1_X2:EB,g1
T003,5,SEC:LNX:X2_X3:EB,g1
T003,6,PLAT:LNX:X1:EB,g1
T003,6,PLAT:LNX:X2:EB,g1
T003,6,PLAT:LNX:X3:EB,g1
T003,6,SEC:LNX:X1_X2:EB,g1
T003,6,SEC:LNX:X2_X3:EB,g1
T004,7,PLAT:LNY:X1:WB,g1
T004,7,PLAT:LNY:X2:WB,g1
T004,7,PLAT:LNY:X3:WB,g1
T004,7,SEC:LNY:X1_X2:WB,g1
T004,7,SEC:LNY:X2_X3:WB,g1
T004,8,PLAT:LNY:X1:WB,g1
T004,8,PLAT:LNY:X2:WB,g1
T004,8,PLAT:LNY:X3:WB,g1
T004,8,SEC:LNY:X1_X2:WB,g1
T004,8,SEC:LNY:X2_X3:WB,g1
T005,9,PLAT:LNX:X1:EB,g1
T005,9,PLAT:LNX:X2:EB,g1
T005,9,PLAT:LNX:X3:EB,g1
T005,9,SEC:LNX:X1_X2:EB,g1
T005,9,SEC:LNX:X2_X3:EB,g1
T005,10,PLAT:LNX:X1:EB,g1
T005,10,PLAT:LNX:X2:EB,g1
T005,10,PLAT:LNX:X3:EB,g1
T005,10,SEC:LNX:X1_X2:EB,g1
T005,10,SEC:LNX:X2_X3:EB,g1
T006,11,PLAT:LNY:X1:WB,g1
T006,11,PLAT:LNY:X2:WB,g1
T006,11,PLAT:LNY:X3:WB,g1
T006,11,SEC:LNY:X1_X2:WB,g1
T006,11,SEC:LNY:X2_X3:WB,g1
T006,12,PLAT:LNY:X1:WB,g1
T006,12,PLAT:LNY:X2:WB,g1
T006,12,PLAT:LNY:X3:WB,g1
T006,12,SEC:LNY:X1_X2:WB,g1
T006,12,SEC:LNY:X2_X3:WB,g1
T007,13,PLAT:LNX:X1:EB,g1
T007,13,PLAT:LNX:X2:EB,g1
T007,13,PLAT:LNX:X3:EB,g1
T007,13,SEC:LNX:X1_X2:EB,g1
T007,13,SEC:LNX:X2_X3:EB,g1
T007,14,PLAT:LNX:X1:EB,g1
T007,14,PLAT:LNX:X2:EB,g1
T007,14,PLAT:LNX:X3:EB,g1
T007,14,SEC:LNX:X1_X2:EB,g1
T007,14,SEC:LNX:X2_X3:EB,g1
T008,15,PLAT:LNY:X1:WB,g1
T008,15,PLAT:LNY:X2:WB,g1
T008,15,PLAT:LNY:X3:WB,g1
T008,15,SEC:LNY:X1_X2:WB,g1
T008,15,SEC:LNY:X2_X3:WB,g1
T008,16,PLAT:LNY:X1:WB,g1
T008,16,PLAT:LNY:X2:WB,g1
T008,16,PLAT:LNY:X3:WB,g1
T008,16,SEC:LNY:X1_X2:WB,g1
T008,16,SEC:LNY:X2_X3:WB,g1
