activity_id,week,location_id,co_share_group
T001,15,PLAT:LNX:X1:EB,g1
T001,15,PLAT:LNX:X2:EB,g1
T001,15,PLAT:LNX:X3:EB,g1
T001,15,SEC:LNX:X1_X2:EB,g1
T001,15,SEC:LNX:X2_X3:EB,g1
T001,16,PLAT:LNX:X1:EB,g1
T001,16,PLAT:LNX:X2:EB,g1
T001,16,PLAT:LNX:X3:EB,g1
T001,16,SEC:LNX:X1_X2:EB,g1
T001,16,SEC:LNX:X2_X3:EB,g1
T001,17,PLAT:LNX:X1:EB,g1
T001,17,PLAT:LNX:X2:EB,g1
T001,17,PLAT:LNX:X3:EB,g1
T001,17,SEC:LNX:X1_X2:EB,g1
T001,17,SEC:LNX:X2_X3:EB,g1
T002,1,PLAT:LNY:X1:WB,g1
T002,1,PLAT:LNY:X2:WB,g1
T002,1,PLAT:LNY:X3:WB,g1
T002,1,SEC:LNY:X1_X2:WB,g1
T002,1,SEC:LNY:X2_X3:WB,g1
T002,2,PLAT:LNY:X1:WB,g1
T002,2,PLAT:LNY:X2:WB,g1
T002,2,PLAT:LNY:X3:WB,g1
T002,2,SEC:LNY:X1_X2:WB,g1
T002,2,SEC:LNY:X2_X3:WB,g1
T002,3,PLAT:LNY:X1:WB,g1
T002,3,PLAT:LNY:X2:WB,g1
T002,3,PLAT:LNY:X3:WB,g1
T002,3,SEC:LNY:X1_X2:WB,g1
T002,3,SEC:LNY:X2_X3:WB,g1
T003,4,PLAT:LNX:X1:EB,g1
T003,4,PLAT:LNX:X2:EB,g1
T003,4,PLAT:LNX:X3:EB,g1
T003,4,SEC:LNX:X1_X2:EB,g1
T003,4,SEC:LNX:X2_X3:EB,g1
T003,5,PLAT:LNX:X1:EB,g1
T003,5,PLAT:LNX:X2:EB,g1
T003,5,PLAT:LNX:X3:EB,g1
T003,5,SEC:LNX:X1_X2:EB,g1
T003,5,SEC:LNX:X2_X3:EB,g1
T003,6,PLAT:LNX:X1:EB,g1
T003,6,PLAT:LNX:X2:EB,g1
T003,6,PLAT:LNX:X3:EB,g1
T003,6,SEC:LNX:X1_X2:EB,g1
T003,6,SEC:LNX:X2_X3:EB,g1
T004,18,PLAT:LNY:X1:WB,g1
T004,18,PLAT:LNY:X2:WB,g1
T004,18,PLAT:LNY:X3:WB,g1
T004,18,SEC:LNY:X1_X2:WB,g1
T004,18,SEC:LNY:X2_X3:WB,g1
T004,19,PLAT:LNY:X1:WB,g1
T004,19,PLAT:LNY:X2:WB,g1
T004,19,PLAT:LNY:X3:WB,g1
T004,19,SEC:LNY:X1_X2:WB,g1
T004,19,SEC:LNY:X2_X3:WB,g1
T004,20,PLAT:LNY:X1:WB,g1
T004,20,PLAT:LNY:X2:WB,g1
T004,20,PLAT:LNY:X3:WB,g1
T004,20,SEC:LNY:X1_X2:WB,g1
T004,20,SEC:LNY:X2_X3:WB,g1
T005,7,PLAT:LNX:X1:EB,g1
T005,7,PLAT:LNX:X2:EB,g1
T005,7,PLAT:LNX:X3:EB,g1
T005,7,SEC:LNX:X1_X2:EB,g1
T005,7,SEC:LNX:X2_X3:EB,g1
T005,9,PLAT:LNX:X1:EB,g1
T005,9,PLAT:LNX:X2:EB,g1
T005,9,PLAT:LNX:X3:EB,g1
T005,9,SEC:LNX:X1_X2:EB,g1
T005,9,SEC:LNX:X2_X3:EB,g1
T005,10,PLAT:LNX:X1:EB,g1
T005,10,PLAT:LNX:X2:EB,g1
T005,10,PLAT:LNX:X3:EB,g1
T005,10,SEC:LNX:X1_X2:EB,g1
T005,10,SEC:LNX:X2_X3:EB,g1
T006,8,PLAT:LNY:X1:WB,g1
T006,8,PLAT:LNY:X2:WB,g1
T006,8,PLAT:LNY:X3:WB,g1
T006,8,SEC:LNY:X1_X2:WB,g1
T006,8,SEC:LNY:X2_X3:WB,g1
T006,11,PLAT:LNY:X1:WB,g1
T006,11,PLAT:LNY:X2:WB,g1
T006,11,PLAT:LNY:X3:WB,g1
T006,11,SEC:LNY:X1_X2:WB,g1
T006,11,SEC:LNY:X2_X3:WB,g1
T006,12,PLAT:LNY:X1:WB,g1
T006,12,PLAT:LNY:X2:WB,g1
T006,12,PLAT:LNY:X3:WB,g1
T006,12,SEC:LNY:X1_X2:WB,g1
T006,12,SEC:LNY:X2_X3:WB,g1
T007,21,PLAT:LNX:X1:EB,g1
T007,21,PLAT:LNX:X2:EB,g1
T007,21,PLAT:LNX:X3:EB,g1
T007,21,SEC:LNX:X1_X2:EB,g1
T007,21,SEC:LNX:X2_X3:EB,g1
T007,22,PLAT:LNX:X1:EB,g1
T007,22,PLAT:LNX:X2:EB,g1
T007,22,PLAT:LNX:X3:EB,g1
T007,22,SEC:LNX:X1_X2:EB,g1
T007,22,SEC:LNX:X2_X3:EB,g1
T007,23,PLAT:LNX:X1:EB,g1
T007,23,PLAT:LNX:X2:EB,g1
T007,23,PLAT:LNX:X3:EB,g1
T007,23,SEC:LNX:X1_X2:EB,g1
T007,23,SEC:LNX:X2_X3:EB,g1
T008,13,PLAT:LNY:X1:WB,g1
T008,13,PLAT:LNY:X2:WB,g1
T008,13,PLAT:LNY:X3:WB,g1
T008,13,SEC:LNY:X1_X2:WB,g1
T008,13,SEC:LNY:X2_X3:WB,g1
T008,14,PLAT:LNY:X1:WB,g1
T008,14,PLAT:LNY:X2:WB,g1
T008,14,PLAT:LNY:X3:WB,g1
T008,14,SEC:LNY:X1_X2:WB,g1
T008,14,SEC:LNY:X2_X3:WB,g1
