activity_id,week,location_id,co_share_group
R01MX1,1,PLAT:R01MPX:R01MPX1:EB,g1
R01MX1,1,PLAT:R01MPX:R01MPX2:EB,g1
R01MX1,1,SEC:R01MPX:R01MPX1_R01MPX2:EB,g1
R01MX1,2,PLAT:R01MPX:R01MPX1:EB,g1
R01MX1,2,PLAT:R01MPX:R01MPX2:EB,g1
R01MX1,2,SEC:R01MPX:R01MPX1_R01MPX2:EB,g1
R01MX2,3,PLAT:R01MPX:R01MPX1:EB,g1
R01MX2,3,PLAT:R01MPX:R01MPX2:EB,g1
R01MX2,3,SEC:R01MPX:R01MPX1_R01MPX2:EB,g1
R01MX2,4,PLAT:R01MPX:R01MPX1:EB,g1
R01MX2,4,PLAT:R01MPX:R01MPX2:EB,g1
R01MX2,4,SEC:R01MPX:R01MPX1_R01MPX2:EB,g1
R01MX2,5,PLAT:R01MPX:R01MPX1:EB,g1
R01MX2,5,PLAT:R01MPX:R01MPX2:EB,g1
R01MX2,5,SEC:R01MPX:R01MPX1_R01MPX2:EB,g1
