activity_id,week,location_id,co_share_group
R02MY1,1,PLAT:R02MPY:R02MPY1:EB,g1
R02MY1,1,PLAT:R02MPY:R02MPY2:EB,g1
R02MY1,1,SEC:R02MPY:R02MPY1_R02MPY2:EB,g1
R02MY1,2,PLAT:R02MPY:R02MPY1:EB,g1
R02MY1,2,PLAT:R02MPY:R02MPY2:EB,g1
R02MY1,2,SEC:R02MPY:R02MPY1_R02MPY2:EB,g1
R02MY2,3,PLAT:R02MPY:R02MPY1:EB,g1
R02MY2,3,PLAT:R02MPY:R02MPY2:EB,g1
R02MY2,3,SEC:R02MPY:R02MPY1_R02MPY2:EB,g1
R02MY2,4,PLAT:R02MPY:R02MPY1:EB,g1
R02MY2,4,PLAT:R02MPY:R02MPY2:EB,g1
R02MY2,4,SEC:R02MPY:R02MPY1_R02MPY2:EB,g1
R02MY2,5,PLAT:R02MPY:R02MPY1:EB,g1
R02MY2,5,PLAT:R02MPY:R02MPY2:EB,g1
R02MY2,5,SEC:R02MPY:R02MPY1_R02MPY2:EB,g1
