activity_id,week,location_id,co_share_group
R11MX1,1,PLAT:R11MPX:R11MPX1:EB,g1
R11MX1,1,PLAT:R11MPX:R11MPX2:EB,g1
R11MX1,1,SEC:R11MPX:R11MPX1_R11MPX2:EB,g1
R11MX1,2,PLAT:R11MPX:R11MPX1:EB,g1
R11MX1,2,PLAT:R11MPX:R11MPX2:EB,g1
R11MX1,2,SEC:R11MPX:R11MPX1_R11MPX2:EB,g1
R11MX2,3,PLAT:R11MPX:R11MPX1:EB,g1
R11MX2,3,PLAT:R11MPX:R11MPX2:EB,g1
R11MX2,3,SEC:R11MPX:R11MPX1_R11MPX2:EB,g1
R11MX2,4,PLAT:R11MPX:R11MPX1:EB,g1
R11MX2,4,PLAT:R11MPX:R11MPX2:EB,g1
R11MX2,4,SEC:R11MPX:R11MPX1_R11MPX2:EB,g1
R11MX2,5,PLAT:R11MPX:R11MPX1:EB,g1
R11MX2,5,PLAT:R11MPX:R11MPX2:EB,g1
R11MX2,5,SEC:R11MPX:R11MPX1_R11MPX2:EB,g1
