location_id,location_kind,line_code,bound,supply_capacity
PLAT:R04MPY:R04MPY1:EB,platform,R04MPY,EB,1
PLAT:R02MPX:R02MPX1:EB,platform,R02MPX,EB,1
PLAT:R16MPX:R16MPX1:EB,platform,R16MPX,EB,1
PLAT:R13MPY:R13MPY2:WB,platform,R13MPY,WB,1
SEC:R08MPX:R08MPX1_R08MPX2:EB,tunnel sector,R08MPX,EB,1
PLAT:R01MPX:R01MPX2:EB,platform,R01MPX,EB,1
SEC:R02MPX:R02MPX1_R02MPX2:WB,tunnel sector,R02MPX,WB,1
PLAT:R11MPY:R11MPY2:EB,platform,R11MPY,EB,1
PLAT:R10MPY:R10MPY1:EB,platform,R10MPY,EB,1
PLAT:R16MPY:R16MPY1:EB,platform,R16MPY,EB,1
PLAT:R08MPX:R08MPX2:WB,platform,R08MPX,WB,1
PLAT:R16MPX:R16MPX2:WB,platform,R16MPX,WB,1
PLAT:R02MPY:R02MPY1:WB,platform,R02MPY,WB,1
SEC:R16MPY:R16MPY1_R16MPY2:EB,tunnel sector,R16MPY,EB,1
PLAT:R05MPX:R05MPX1:EB,platform,R05MPX,EB,1
PLAT:R06MPY:R06MPY1:EB,platform,R06MPY,EB,1
PLAT:R04MPX:R04MPX2:EB,platform,R04MPX,EB,1
PLAT:R03MPY:R03MPY2:WB,platform,R03MPY,WB,1
SEC:R01MPX:R01MPX1_R01MPX2:EB,tunnel sector,R01MPX,EB,1
SEC:R01MPY:R01MPY1_R01MPY2:WB,tunnel sector,R01MPY,WB,1
PLAT:R15MPY:R15MPY2:WB,platform,R15MPY,WB,1
SEC:R04MPY:R04MPY1_R04MPY2:EB,tunnel sector,R04MPY,EB,1
PLAT:R14MPY:R14MPY1:WB,platform,R14MPY,WB,1
PLAT:R03MPY:R03MPY1:WB,platform,R03MPY,WB,1
PLAT:R14MPY:R14MPY2:WB,platform,R14MPY,WB,1
PLAT:R03MPY:R03MPY1:EB,platform,R03MPY,EB,1
PLAT:R16MPY:R16MPY2:EB,platform,R16MPY,EB,1
PLAT:R14MPY:R14MPY1:EB,platform,R14MPY,EB,1
PLAT:R15MPY:R15MPY2:EB,platform,R15MPY,EB,1
SEC:R11MPX:R11MPX1_R11MPX2:WB,tunnel sector,R11MPX,WB,1
PLAT:R12MPX:R12MPX1:EB,platform,R12MPX,EB,1
PLAT:R09MPX:R09MPX2:WB,platform,R09MPX,WB,1
PLAT:R04MPX:R04MPX1:WB,platform,R04MPX,WB,1
PLAT:R01MPY:R01MPY1:EB,platform,R01MPY,EB,1
SEC:R02MPY:R02MPY1_R02MPY2:WB,tunnel sector,R02MPY,WB,1
PLAT:R14MPX:R14MPX1:WB,platform,R14MPX,WB,1
PLAT:R02MPX:R02MPX2:WB,platform,R02MPX,WB,1
PLAT:R01MPY:R01MPY2:EB,platform,R01MPY,EB,1
PLAT:R02MPY:R02MPY2:EB,platform,R02MPY,EB,1
SEC:R04MPX:R04MPX1_R04MPX2:WB,tunnel sector,R04MPX,WB,1
PLAT:R08MPX:R08MPX2:EB,platform,R08MPX,EB,1
SEC:R08MPY:R08MPY1_R08MPY2:WB,tunnel sector,R08MPY,WB,1
PLAT:R10MPY:R10MPY1:WB,platform,R10MPY,WB,1
PLAT:R12MPY:R12MPY2:WB,platform,R12MPY,WB,1
PLAT:R11MPX:R11MPX2:WB,platform,R11MPX,WB,1
PLAT:R10MPX:R10MPX2:EB,platform,R10MPX,EB,1
PLAT:R09MPY:R09MPY1:WB,platform,R09MPY,WB,1
SEC:R03MPY:R03MPY1_R03MPY2:EB,tunnel sector,R03MPY,EB,1
PLAT:R05MPX:R05MPX1:WB,platform,R05MPX,WB,1
PLAT:R16MPY:R16MPY1:WB,platform,R16MPY,WB,1
PLAT:R06MPY:R06MPY1:WB,platform,R06MPY,WB,1
PLAT:R15MPX:R15MPX1:EB,platform,R15MPX,EB,1
PLAT:R15MPY:R15MPY1:WB,platform,R15MPY,WB,1
PLAT:R05MPX:R05MPX2:EB,platform,R05MPX,EB,1
PLAT:R06MPX:R06MPX1:WB,platform,R06MPX,WB,1
