line_code,line_name
R03MPY,R03 Multipass MPY
R11MPY,R11 Multipass MPY
R02MPY,R02 Multipass MPY
R16MPY,R16 Multipass MPY
R04MPX,R04 Multipass MPX
R08MPY,R08 Multipass MPY
R06MPX,R06 Multipass MPX
R09MPY,R09 Multipass MPY
R09MPX,R09 Multipass MPX
R02MPX,R02 Multipass MPX
R13MPY,R13 Multipass MPY
R08MPX,R08 Multipass MPX
R07MPY,R07 Multipass MPY
R10MPX,R10 Multipass MPX
R01MPY,R01 Multipass MPY
R10MPY,R10 Multipass MPY
R05MPX,R05 Multipass MPX
R14MPX,R14 Multipass MPX
R03MPX,R03 Multipass MPX
R06MPY,R06 Multipass MPY
R07MPX,R07 Multipass MPX
R12MPY,R12 Multipass MPY
R15MPY,R15 Multipass MPY
R01MPX,R01 Multipass MPX
R11MPX,R11 Multipass MPX
R04MPY,R04 Multipass MPY
R05MPY,R05 Multipass MPY
R16MPX,R16 Multipass MPX
R14MPY,R14 Multipass MPY
R12MPX,R12 Multipass MPX
R15MPX,R15 Multipass MPX
R13MPX,R13 Multipass MPX
