activity_id,week,location_id,co_share_group
R14MY1,1,PLAT:R14MPY:R14MPY1:EB,g1
R14MY1,1,PLAT:R14MPY:R14MPY2:EB,g1
R14MY1,1,SEC:R14MPY:R14MPY1_R14MPY2:EB,g1
R14MY1,2,PLAT:R14MPY:R14MPY1:EB,g1
R14MY1,2,PLAT:R14MPY:R14MPY2:EB,g1
R14MY1,2,SEC:R14MPY:R14MPY1_R14MPY2:EB,g1
R14MY2,3,PLAT:R14MPY:R14MPY1:EB,g1
R14MY2,3,PLAT:R14MPY:R14MPY2:EB,g1
R14MY2,3,SEC:R14MPY:R14MPY1_R14MPY2:EB,g1
R14MY2,4,PLAT:R14MPY:R14MPY1:EB,g1
R14MY2,4,PLAT:R14MPY:R14MPY2:EB,g1
R14MY2,4,SEC:R14MPY:R14MPY1_R14MPY2:EB,g1
R14MY2,5,PLAT:R14MPY:R14MPY1:EB,g1
R14MY2,5,PLAT:R14MPY:R14MPY2:EB,g1
R14MY2,5,SEC:R14MPY:R14MPY1_R14MPY2:EB,g1
