station_id,line_code,seq,is_interchange
R07MPY2,R07MPY,2,0
R02MPX2,R02MPX,2,0
R04MPX1,R04MPX,1,0
R07MPX2,R07MPX,2,0
R16MPX1,R16MPX,1,0
R12MPX1,R12MPX,1,0
R06MPX1,R06MPX,1,0
R04MPX2,R04MPX,2,0
R09MPX1,R09MPX,1,0
R03MPX1,R03MPX,1,0
R02MPY2,R02MPY,2,0
R06MPY1,R06MPY,1,0
R11MPX1,R11MPX,1,0
R13MPY1,R13MPY,1,0
R13MPX2,R13MPX,2,0
R14MPX1,R14MPX,1,0
R10MPX2,R10MPX,2,0
R12MPX2,R12MPX,2,0
R07MPX1,R07MPX,1,0
R09MPX2,R09MPX,2,0
R08MPX1,R08MPX,1,0
R01MPX1,R01MPX,1,0
R15MPX2,R15MPX,2,0
R07MPY1,R07MPY,1,0
R05MPY2,R05MPY,2,0
R01MPY2,R01MPY,2,0
R16MPX2,R16MPX,2,0
R06MPY2,R06MPY,2,0
R15MPX1,R15MPX,1,0
R04MPY1,R04MPY,1,0
R02MPX1,R02MPX,1,0
R01MPX2,R01MPX,2,0
R01MPY1,R01MPY,1,0
R08MPX2,R08MPX,2,0
R11MPY2,R11MPY,2,0
R06MPX2,R06MPX,2,0
R03MPY1,R03MPY,1,0
R14MPX2,R14MPX,2,0
R05MPX1,R05MPX,1,0
R11MPY1,R11MPY,1,0
R11MPX2,R11MPX,2,0
R03MPY2,R03MPY,2,0
R10MPY1,R10MPY,1,0
R16MPY2,R16MPY,2,0
R05MPY1,R05MPY,1,0
R14MPY1,R14MPY,1,0
R14MPY2,R14MPY,2,0
R04MPY2,R04MPY,2,0
R03MPX2,R03MPX,2,0
R15MPY2,R15MPY,2,0
R10MPY2,R10MPY,2,0
R09MPY1,R09MPY,1,0
R10MPX1,R10MPX,1,0
R12MPY1,R12MPY,1,0
R13MPY2,R13MPY,2,0
R12MPY2,R12MPY,2,0
R13MPX1,R13MPX,1,0
R02MPY1,R02MPY,1,0
R08MPY2,R08MPY,2,0
R15MPY1,R15MPY,1,0
R05MPX2,R05MPX,2,0
R16MPY1,R16MPY,1,0
R08MPY1,R08MPY,1,0
R09MPY2,R09MPY,2,0
