sector_id,line_code,from_station_id,to_station_id,seq,is_shared
SEC:R01MPY:R01MPY1_R01MPY2,R01MPY,R01MPY1,R01MPY2,1,0
SEC:R02MPX:R02MPX1_R02MPX2,R02MPX,R02MPX1,R02MPX2,1,0
SEC:R08MPY:R08MPY1_R08MPY2,R08MPY,R08MPY1,R08MPY2,1,0
SEC:R14MPY:R14MPY1_R14MPY2,R14MPY,R14MPY1,R14MPY2,1,0
SEC:R06MPX:R06MPX1_R06MPX2,R06MPX,R06MPX1,R06MPX2,1,0
SEC:R09MPX:R09MPX1_R09MPX2,R09MPX,R09MPX1,R09MPX2,1,0
SEC:R12MPX:R12MPX1_R12MPX2,R12MPX,R12MPX1,R12MPX2,1,0
SEC:R07MPY:R07MPY1_R07MPY2,R07MPY,R07MPY1,R07MPY2,1,0
SEC:R10MPX:R10MPX1_R10MPX2,R10MPX,R10MPX1,R10MPX2,1,0
SEC:R03MPY:R03MPY1_R03MPY2,R03MPY,R03MPY1,R03MPY2,1,0
SEC:R16MPY:R16MPY1_R16MPY2,R16MPY,R16MPY1,R16MPY2,1,0
SEC:R15MPX:R15MPX1_R15MPX2,R15MPX,R15MPX1,R15MPX2,1,0
SEC:R01MPX:R01MPX1_R01MPX2,R01MPX,R01MPX1,R01MPX2,1,0
SEC:R15MPY:R15MPY1_R15MPY2,R15MPY,R15MPY1,R15MPY2,1,0
SEC:R10MPY:R10MPY1_R10MPY2,R10MPY,R10MPY1,R10MPY2,1,0
SEC:R11MPY:R11MPY1_R11MPY2,R11MPY,R11MPY1,R11MPY2,1,0
SEC:R12MPY:R12MPY1_R12MPY2,R12MPY,R12MPY1,R12MPY2,1,0
SEC:R04MPY:R04MPY1_R04MPY2,R04MPY,R04MPY1,R04MPY2,1,0
SEC:R05MPY:R05MPY1_R05MPY2,R05MPY,R05MPY1,R05MPY2,1,0
SEC:R09MPY:R09MPY1_R09MPY2,R09MPY,R09MPY1,R09MPY2,1,0
SEC:R06MPY:R06MPY1_R06MPY2,R06MPY,R06MPY1,R06MPY2,1,0
SEC:R13MPX:R13MPX1_R13MPX2,R13MPX,R13MPX1,R13MPX2,1,0
SEC:R11MPX:R11MPX1_R11MPX2,R11MPX,R11MPX1,R11MPX2,1,0
SEC:R16MPX:R16MPX1_R16MPX2,R16MPX,R16MPX1,R16MPX2,1,0
SEC:R08MPX:R08MPX1_R08MPX2,R08MPX,R08MPX1,R08MPX2,1,0
SEC:R03MPX:R03MPX1_R03MPX2,R03MPX,R03MPX1,R03MPX2,1,0
SEC:R04MPX:R04MPX1_R04MPX2,R04MPX,R04MPX1,R04MPX2,1,0
SEC:R14MPX:R14MPX1_R14MPX2,R14MPX,R14MPX1,R14MPX2,1,0
SEC:R07MPX:R07MPX1_R07MPX2,R07MPX,R07MPX1,R07MPX2,1,0
SEC:R02MPY:R02MPY1_R02MPY2,R02MPY,R02MPY1,R02MPY2,1,0
SEC:R05MPX:R05MPX1_R05MPX2,R05MPX,R05MPX1,R05MPX2,1,0
SEC:R13MPY:R13MPY1_R13MPY2,R13MPY,R13MPY1,R13MPY2,1,0
