activity_id,week,location_id,co_share_group
R07MY1,1,PLAT:R07MPY:R07MPY1:EB,g1
R07MY1,1,PLAT:R07MPY:R07MPY2:EB,g1
R07MY1,1,SEC:R07MPY:R07MPY1_R07MPY2:EB,g1
R07MY1,2,PLAT:R07MPY:R07MPY1:EB,g1
R07MY1,2,PLAT:R07MPY:R07MPY2:EB,g1
R07MY1,2,SEC:R07MPY:R07MPY1_R07MPY2:EB,g1
R07MY2,3,PLAT:R07MPY:R07MPY1:EB,g1
R07MY2,3,PLAT:R07MPY:R07MPY2:EB,g1
R07MY2,3,SEC:R07MPY:R07MPY1_R07MPY2:EB,g1
R07MY2,4,PLAT:R07MPY:R07MPY1:EB,g1
R07MY2,4,PLAT:R07MPY:R07MPY2:EB,g1
R07MY2,4,SEC:R07MPY:R07MPY1_R07MPY2:EB,g1
R07MY2,5,PLAT:R07MPY:R07MPY1:EB,g1
R07MY2,5,PLAT:R07MPY:R07MPY2:EB,g1
R07MY2,5,SEC:R07MPY:R07MPY1_R07MPY2:EB,g1
