activity_id,week,location_id,co_share_group
R09MY1,1,PLAT:R09MPY:R09MPY1:EB,g1
R09MY1,1,PLAT:R09MPY:R09MPY2:EB,g1
R09MY1,1,SEC:R09MPY:R09MPY1_R09MPY2:EB,g1
R09MY1,2,PLAT:R09MPY:R09MPY1:EB,g1
R09MY1,2,PLAT:R09MPY:R09MPY2:EB,g1
R09MY1,2,SEC:R09MPY:R09MPY1_R09MPY2:EB,g1
R09MY2,3,PLAT:R09MPY:R09MPY1:EB,g1
R09MY2,3,PLAT:R09MPY:R09MPY2:EB,g1
R09MY2,3,SEC:R09MPY:R09MPY1_R09MPY2:EB,g1
R09MY2,4,PLAT:R09MPY:R09MPY1:EB,g1
R09MY2,4,PLAT:R09MPY:R09MPY2:EB,g1
R09MY2,4,SEC:R09MPY:R09MPY1_R09MPY2:EB,g1
R09MY2,5,PLAT:R09MPY:R09MPY1:EB,g1
R09MY2,5,PLAT:R09MPY:R09MPY2:EB,g1
R09MY2,5,SEC:R09MPY:R09MPY1_R09MPY2:EB,g1
